profile_id,instrument_symbol,contract_code,period,previous_binding_id,previous_market_data_file_id,previous_data_version,next_market_data_file_id,next_data_version
intraday_research_v1,a,a.MAIN,1m,263,55976,rqdata_a_standard_1m_20230103_20260711_v2,82765,rqdata_a_standard_1m_20020315_20260711_v2
intraday_research_v1,ag,ag.MAIN,1m,275,55978,rqdata_ag_standard_1m_20230103_20260711_v2,82784,rqdata_ag_standard_1m_20120510_20260711_v2
intraday_research_v1,al,al.MAIN,1m,281,55979,rqdata_al_standard_1m_20230103_20260711_v2,82761,rqdata_al_standard_1m_20000104_20260711_v2
intraday_research_v1,jm,jm.MAIN,1m,460,56009,rqdata_jm_standard_1m_20230103_20260711_v2,82791,rqdata_jm_standard_1m_20130322_20260711_v2
live_observation_v1,jm,jm.MAIN,15m,4539,33207,rqdata_jm_standard_15m_20230103_20260707_v2,71338,rqdata_jm_standard_15m_20200102_20260711_v2
live_observation_v1,jm,jm.MAIN,5m,4544,33206,rqdata_jm_standard_5m_20230103_20260707_v2,71337,rqdata_jm_standard_5m_20200102_20260711_v2
long_horizon_daily_v1,a,a.MAIN,1d,839,56426,rqdata_a_standard_1d_20200102_20260711_v2,82673,rqdata_a_standard_1d_20020315_20260711_v2
long_horizon_daily_v1,a,a.MAIN,1w,840,56427,rqdata_a_standard_1w_20200102_20260711_v2,79765,rqdata_a_standard_1w_20020315_20260711_v2
long_horizon_daily_v1,ag,ag.MAIN,1d,873,56428,rqdata_ag_standard_1d_20200102_20260711_v2,82692,rqdata_ag_standard_1d_20120510_20260711_v2
long_horizon_daily_v1,ag,ag.MAIN,1w,874,56429,rqdata_ag_standard_1w_20200102_20260711_v2,79766,rqdata_ag_standard_1w_20120510_20260711_v2
long_horizon_daily_v1,al,al.MAIN,1d,950,56430,rqdata_al_standard_1d_20200102_20260711_v2,82669,rqdata_al_standard_1d_20000104_20260711_v2
long_horizon_daily_v1,al,al.MAIN,1w,951,56431,rqdata_al_standard_1w_20200102_20260711_v2,82666,rqdata_al_standard_1w_20000104_20260711_v2
long_horizon_daily_v1,jm,JM2305,1d,2436,42428,rq_acb_jm_JM2305_1d_20230103_20230412_v1,86646,rq_acb_jm_JM2305_1d_20221206_20230412_v1
long_horizon_daily_v1,jm,jm.MAIN,1d,2447,56482,rqdata_jm_standard_1d_20200102_20260711_v2,82699,rqdata_jm_standard_1d_20130322_20260711_v2
long_horizon_daily_v1,jm,jm.MAIN,1w,2448,56483,rqdata_jm_standard_1w_20200102_20260711_v2,79791,rqdata_jm_standard_1w_20130322_20260711_v2
