profile_id,instrument_symbol,contract_code,period,status,market_data_file_id_before,market_data_file_id_after,data_version_before,data_version_after,file_path_before,file_path_after,target_start,target_end,coverage_start,coverage_end,covers_target,selection_reason,rollback_method
long_horizon_daily_v1,bc,bc.MAIN,1d,unchanged,56440,56440,rqdata_bc_standard_1d_20201119_20260711_v2,rqdata_bc_standard_1d_20201119_20260711_v2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1d_20201119_20260711_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1d_20201119_20260711_v2.parquet,2020-11-19,2026-07-10,2020-11-19,2026-07-10,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,bc,bc.MAIN,1w,unchanged,56441,56441,rqdata_bc_standard_1w_20201119_20260711_v2,rqdata_bc_standard_1w_20201119_20260711_v2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1w_20201119_20260711_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1w_20201119_20260711_v2.parquet,2020-11-20,2026-07-10,2020-11-20,2026-07-10,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,im,im.MAIN,1d,unchanged,56476,56476,rqdata_im_standard_1d_20220722_20260711_v2,rqdata_im_standard_1d_20220722_20260711_v2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_1d_20220722_20260711_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_1d_20220722_20260711_v2.parquet,2022-07-22,2026-07-10,2022-07-22,2026-07-10,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,im,im.MAIN,1w,unchanged,56477,56477,rqdata_im_standard_1w_20220722_20260711_v2,rqdata_im_standard_1w_20220722_20260711_v2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_1w_20220722_20260711_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_1w_20220722_20260711_v2.parquet,2022-07-22,2026-07-10,2022-07-22,2026-07-10,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2309,1d,unchanged,42430,42430,rq_acb_jm_JM2309_1d_20230413_20230810_v1,rq_acb_jm_JM2309_1d_20230413_20230810_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2309/JM2309_1d_20230413_20230810.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2309/JM2309_1d_20230413_20230810.parquet,2023-04-13,2023-08-10,2023-04-13,2023-08-10,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2401,1d,unchanged,42432,42432,rq_acb_jm_JM2401_1d_20230811_20231206_v1,rq_acb_jm_JM2401_1d_20230811_20231206_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2401/JM2401_1d_20230811_20231206.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2401/JM2401_1d_20230811_20231206.parquet,2023-08-11,2023-12-06,2023-08-11,2023-12-06,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2405,1d,unchanged,42434,42434,rq_acb_jm_JM2405_1d_20231207_20240409_v1,rq_acb_jm_JM2405_1d_20231207_20240409_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2405/JM2405_1d_20231207_20240409.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2405/JM2405_1d_20231207_20240409.parquet,2023-12-07,2024-04-09,2023-12-07,2024-04-09,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2409,1d,unchanged,42436,42436,rq_acb_jm_JM2409_1d_20240410_20240815_v1,rq_acb_jm_JM2409_1d_20240410_20240815_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2409/JM2409_1d_20240410_20240815.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2409/JM2409_1d_20240410_20240815.parquet,2024-04-10,2024-08-15,2024-04-10,2024-08-15,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2501,1d,unchanged,42438,42438,rq_acb_jm_JM2501_1d_20240816_20241217_v1,rq_acb_jm_JM2501_1d_20240816_20241217_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2501/JM2501_1d_20240816_20241217.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2501/JM2501_1d_20240816_20241217.parquet,2024-08-16,2024-12-17,2024-08-16,2024-12-17,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2505,1d,unchanged,42440,42440,rq_acb_jm_JM2505_1d_20241218_20250414_v1,rq_acb_jm_JM2505_1d_20241218_20250414_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2505/JM2505_1d_20241218_20250414.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2505/JM2505_1d_20241218_20250414.parquet,2024-12-18,2025-04-14,2024-12-18,2025-04-14,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
long_horizon_daily_v1,jm,JM2509,1d,unchanged,42442,42442,rq_acb_jm_JM2509_1d_20250415_20250730_v1,rq_acb_jm_JM2509_1d_20250415_20250730_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2509/JM2509_1d_20250415_20250730.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2509/JM2509_1d_20250415_20250730.parquet,2025-04-15,2025-07-30,2025-04-15,2025-07-30,True,covers_target_canonical_current,reactivate exact prior binding id/file id recorded in this row; transaction rollback before commit
