profile_id,instrument_symbol,contract_code,period,contract_role,candidate_status,market_data_file_id,data_version,rulebook_rank,block_reason,file_path,quality_status,disposition,evidence_source,target_start,target_end,target_ranges,coverage_start,coverage_end,covers_target,selection_reason,checksum_status,sealing_status,lineage_status
intraday_research_v1,a,a.MAIN,1m,dominant_main,current,82765,rqdata_a_standard_1m_20020315_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,passed,,rulebook,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",2010-01-04,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
intraday_research_v1,ag,ag.MAIN,1m,dominant_main,current,82784,rqdata_ag_standard_1m_20120510_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,passed,,rulebook,2012-05-10,2026-07-10,"[[""2012-05-10"",""2026-07-10""]]",2012-05-10,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
intraday_research_v1,al,al.MAIN,1m,dominant_main,current,82761,rqdata_al_standard_1m_20000104_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20000104_20260711_v2.parquet,passed,,rulebook,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",2010-01-04,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
intraday_research_v1,jm,jm.MAIN,1m,dominant_main,current,82791,rqdata_jm_standard_1m_20130322_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20130322_20260711_v2.parquet,passed,,rulebook,2013-03-22,2026-07-10,"[[""2013-03-22"",""2026-07-10""]]",2013-03-22,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
live_observation_v1,jm,jm.MAIN,15m,dominant_main,current,71338,rqdata_jm_standard_15m_20200102_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_15m_20200102_20260711_v2.parquet,passed,,rulebook,2023-01-03,2026-07-10,"[[""2023-01-03"",""2026-07-10""]]",2020-01-02,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
live_observation_v1,jm,jm.MAIN,5m,dominant_main,current,71337,rqdata_jm_standard_5m_20200102_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20200102_20260711_v2.parquet,passed,,rulebook,2023-01-03,2026-07-10,"[[""2023-01-03"",""2026-07-10""]]",2020-01-02,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
long_horizon_daily_v1,a,a.MAIN,1d,dominant_main,current,82673,rqdata_a_standard_1d_20020315_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,passed,,rulebook,2002-03-15,2026-07-10,"[[""2002-03-15"",""2026-07-10""]]",2002-03-15,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
long_horizon_daily_v1,a,a.MAIN,1w,dominant_main,current,79765,rqdata_a_standard_1w_20020315_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20020315_20260711_v2.parquet,passed,,rulebook,2002-03-15,2026-07-10,"[[""2002-03-15"",""2026-07-10""]]",2002-03-15,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
long_horizon_daily_v1,ag,ag.MAIN,1d,dominant_main,current,82692,rqdata_ag_standard_1d_20120510_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20120510_20260711_v2.parquet,passed,,rulebook,2012-05-10,2026-07-10,"[[""2012-05-10"",""2026-07-10""]]",2012-05-10,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
long_horizon_daily_v1,ag,ag.MAIN,1w,dominant_main,current,79766,rqdata_ag_standard_1w_20120510_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1w_20120510_20260711_v2.parquet,passed,,rulebook,2012-05-11,2026-07-10,"[[""2012-05-11"",""2026-07-10""]]",2012-05-11,2026-07-10,True,covers_target_canonical_current,checksum_matched,verified,not_required
