residual_scope,product,contract_role,contract,period,source_role,physical_path,status,reason,expected_start,expected_end,observed_start,observed_end,checksum_status,recommended_next_task
expected_coverage,a,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,a,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,a,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,a,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ag,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2012-05-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ag,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2012-05-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ag,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2012-05-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ag,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2012-05-10,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,al,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,al,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,al,dominant_main,,5m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,al,dominant_main,,60m,derived_from_1m,,partial,expected_window_partial,2010-01-04,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ap,dominant_main,,15m,derived_from_1m,,partial,expected_window_partial,2017-12-22,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
expected_coverage,ap,dominant_main,,30m,derived_from_1m,,partial,expected_window_partial,2017-12-22,2026-07-10,2020-01-02,,,B2-04A-physical-coverage-triage
