residual_scope,product,contract_role,contract,period,physical_path,quality_status,reason,recommended_next_task
expected_layer,b,dominant_main,,1d,,warning,expected_layer_quality_warning,B2-04A-quality-root-cause-triage
expected_layer,b,dominant_main,,1d,,warning,expected_layer_quality_warning,B2-04A-quality-root-cause-triage
expected_layer,bb,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,bb,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,bb,dominant_main,,1w,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,fb,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,fb,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,jr,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,jr,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,jr,dominant_main,,1w,,warning,expected_layer_quality_warning,B2-04A-quality-root-cause-triage
expected_layer,pm,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,pm,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,pm,dominant_main,,1w,,warning,expected_layer_quality_warning,B2-04A-quality-root-cause-triage
expected_layer,ri,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,ri,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,ri,dominant_main,,1w,,warning,expected_layer_quality_warning,B2-04A-quality-root-cause-triage
expected_layer,rs,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,rs,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,rs,dominant_main,,1w,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,tf,dominant_main,,1m,,warning,expected_layer_quality_warning,B2-04A-quality-root-cause-triage
expected_layer,wh,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,wh,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,wh,dominant_main,,1w,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,wr,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,wr,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,zc,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
expected_layer,zc,dominant_main,,1d,,failed,expected_layer_quality_failed,B2-04A-quality-root-cause-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20131206_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20230103_20260707_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20230103_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20230103_20260707_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1d_20230103_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20131206_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260707_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260710_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,bb,dominant_main,bb.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,b,dominant_main,b.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1d_20041222_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,fb,dominant_main,fb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1d_20131206_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,fb,dominant_main,fb.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1d_20131118_20260711_v2.parquet,failed,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1d_20200102_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
file_evidence,jr,dominant_main,jr.MAIN,1w,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_1w_20131118_20260711_v2.parquet,warning,quality_evidence_not_strict_passed,B2-04A-quality-evidence-triage
