product,metadata_type,applicability,status,reason,evidence_start,evidence_end,period,residual_scope,recommended_next_task
a,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
a,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
a,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
a,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2007-07-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
a,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ad,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-06-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ad,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-06-10,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ad,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ad,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-06-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ad,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ag,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-05-10,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ag,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-05-10,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ag,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ag,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ag,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
al,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
al,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
al,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
al,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
al,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ao,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-06-19,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ao,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-06-19,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ao,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ao,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-06-19,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ao,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ap,contract_universe,applicable,unverified,blocked_by_trading_calendar,2017-12-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ap,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2017-12-22,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ap,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ap,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2017-12-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ap,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
au,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
au,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2008-01-09,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
au,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
au,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
au,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
b,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
b,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
b,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
b,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
b,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
bb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
bb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-12-06,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bb,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
bc,contract_universe,applicable,unverified,blocked_by_trading_calendar,2020-11-19,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bc,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2020-11-19,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bc,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
bc,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2020-11-19,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
bc,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
br,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-07-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
br,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-07-28,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
br,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
br,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-07-28,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
br,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
