product,period,listing_start,target_start,target_end,boundary_status,physical_coverage,quality,calendar_status,legacy_pre_2020_status,legacy_false_positive,reason,recommended_next_task
a,1w,2002-03-15,2002-03-15,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ad,1w,2025-06-10,2025-06-13,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ag,1w,2012-05-10,2012-05-11,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
al,1w,1999-01-04,2000-01-07,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ao,1w,2023-06-19,2023-06-21,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ap,1w,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
au,1w,2008-01-09,2008-01-11,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
b,1w,2004-12-22,2004-12-24,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
bb,1w,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,covered,failed,gap,covered,False,"[""start_boundary_supported"", ""quality_failed"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
bc,1w,2020-11-19,2020-11-20,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
br,1w,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
bu,1w,2013-10-09,2013-10-11,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
bz,1w,2025-07-08,2025-07-11,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
c,1w,2004-09-22,2004-09-24,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
cf,1w,2004-06-01,2004-06-04,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
cj,1w,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
cs,1w,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
cu,1w,1999-01-04,2000-01-07,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
cy,1w,2017-08-18,2017-08-18,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
eb,1w,2019-09-26,2019-09-27,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ec,1w,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
eg,1w,2018-12-10,2018-12-14,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
fb,1w,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
fg,1w,2012-12-03,2012-12-07,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
fu,1w,2004-08-25,2004-08-27,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
hc,1w,2014-03-21,2014-03-21,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
i,1w,2013-10-18,2013-10-18,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ic,1w,2015-04-16,2015-04-17,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
if,1w,2010-04-16,2010-04-16,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ih,1w,2015-04-16,2015-04-17,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
im,1w,2022-07-22,2022-07-22,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
j,1w,2011-04-15,2011-04-15,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
jd,1w,2013-11-08,2013-11-08,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
jm,1w,2013-03-22,2013-03-22,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
jr,1w,2013-11-18,2013-11-22,2026-07-10,start_boundary_supported,covered,warning,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""quality_warning"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
l,1w,2007-07-31,2007-08-03,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
l_f,1w,2025-10-29,2025-10-31,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
lc,1w,2023-07-21,2023-07-21,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
lg,1w,2024-11-18,2024-11-22,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
lh,1w,2021-01-08,2021-01-08,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
lu,1w,2020-06-22,2020-06-24,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
m,1w,2000-07-17,2000-07-21,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ma,1w,2014-06-17,2014-06-20,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ni,1w,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
nr,1w,2019-08-12,2019-08-16,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
oi,1w,2012-07-16,2012-07-20,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
op,1w,2025-09-10,2025-09-12,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
p,1w,2007-10-29,2007-11-02,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pb,1w,2011-03-24,2011-03-25,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pd,1w,2025-11-27,2025-11-28,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pf,1w,2020-10-12,2020-10-16,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pg,1w,2020-03-30,2020-04-03,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pk,1w,2021-02-01,2021-02-05,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pl,1w,2025-07-22,2025-07-25,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pm,1w,2012-01-17,2012-01-20,2026-07-10,start_boundary_supported,covered,warning,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""quality_warning"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pp,1w,2014-02-28,2014-02-28,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pp_f,1w,2025-10-29,2025-10-31,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pr,1w,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ps,1w,2024-12-26,2024-12-27,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
pt,1w,2025-11-27,2025-11-28,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
px,1w,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
rb,1w,2009-03-27,2009-03-27,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ri,1w,2012-07-24,2012-07-27,2026-07-10,start_boundary_supported,covered,warning,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""quality_warning"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
rm,1w,2012-12-28,2012-12-28,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
rr,1w,2019-08-16,2019-08-16,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
rs,1w,2012-12-28,2012-12-28,2026-07-10,start_boundary_supported,covered,failed,gap,covered,False,"[""start_boundary_supported"", ""quality_failed"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ru,1w,1999-01-04,2000-01-07,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sa,1w,2019-12-06,2019-12-06,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sc,1w,2018-03-26,2018-03-30,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sf,1w,2014-08-08,2014-08-08,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sh,1w,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
si,1w,2022-12-22,2022-12-23,2026-07-10,start_boundary_supported,covered,passed,gap,not_applicable,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sm,1w,2014-08-08,2014-08-08,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sn,1w,2015-03-27,2015-03-27,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sp,1w,2018-11-27,2018-11-30,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
sr,1w,2006-01-06,2006-01-06,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
ss,1w,2019-09-25,2019-09-27,2026-07-10,start_boundary_supported,covered,passed,gap,partial_or_missing_pre2020,True,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
t,1w,2015-03-20,2015-03-20,2026-07-10,start_boundary_supported,covered,passed,gap,covered,False,"[""start_boundary_supported"", ""trading_calendar_incomplete""]",B2-04A-weekly-boundary-and-calendar-triage
