queue_action_id,action_type,target_scope,source_residual_ids,product,contract_role,contract,period,physical_path,current_evidence,recommended_action,requires_code_change,requires_manifest_change,requires_db_write,requires_parquet_write,requires_rqdata,risk_level,rollback_method
ACT-1a179120d88bc2d4,regenerate_processed_summary,data/processed/v1b/bb/bb_v2_incremental_1d_20230103_20260711.json,"[""RES-509666389ba2ef58"",""RES-7546e9b5bf33d831"",""RES-c386180a5993ec59""]",bb,,,1d,,"{""processed_summary"":""data/processed/v1b/bb/bb_v2_incremental_1d_20230103_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-f986b914f4b2c37f,regenerate_processed_summary,data/processed/v1b/bb/bb_v2_incremental_1w_20230103_20260711.json,"[""RES-62dc9eba12d4eddd"",""RES-c6cf0eda4b50d085""]",bb,,,1w,,"{""processed_summary"":""data/processed/v1b/bb/bb_v2_incremental_1w_20230103_20260711.json"",""source_residual_count"":2}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-bbd95278ef179eb2,regenerate_processed_summary,data/processed/v1b/bb/bb_v2_parquet_20131206_20260711.json,"[""RES-509666389ba2ef58"",""RES-69d674aada3861bb"",""RES-7546e9b5bf33d831""]",bb,,,1d,,"{""processed_summary"":""data/processed/v1b/bb/bb_v2_parquet_20131206_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-64f3d73226854910,regenerate_processed_summary,data/processed/v1b/bb/bb_v2_parquet_20230103_20260707.json,"[""RES-509666389ba2ef58"",""RES-7546e9b5bf33d831"",""RES-c0b43353781bb4de""]",bb,,,1d,,"{""processed_summary"":""data/processed/v1b/bb/bb_v2_parquet_20230103_20260707.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-730e76fa24c6da11,regenerate_processed_summary,data/processed/v1b/fb/fb_v2_parquet_20131206_20260711.json,"[""RES-3a6af5b002068f3e"",""RES-beb0611c920c0e24"",""RES-f6e30e4c5b14809f""]",fb,,,1d,,"{""processed_summary"":""data/processed/v1b/fb/fb_v2_parquet_20131206_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-d70fd5a3a31f0837,regenerate_processed_summary,data/processed/v1b/jr/jr_v2_parquet_20131118_20260711.json,"[""RES-861d0567f25f3e9b"",""RES-942d795b8f12898c"",""RES-fc96fa1ec62ed729""]",jr,,,1d,,"{""processed_summary"":""data/processed/v1b/jr/jr_v2_parquet_20131118_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-2c417de23bd58ce9,regenerate_processed_summary,data/processed/v1b/pm/pm_v2_parquet_20120117_20260711.json,"[""RES-7dce3d8217497112"",""RES-b3b1d5ce27eb8880"",""RES-bbc85255573de463""]",pm,,,1d,,"{""processed_summary"":""data/processed/v1b/pm/pm_v2_parquet_20120117_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-43b639affcc20c8a,regenerate_processed_summary,data/processed/v1b/ri/ri_v2_parquet_20120724_20260711.json,"[""RES-3a7a3af3817af7f2"",""RES-46a36c43ed0f7c8a"",""RES-543a352653e4e82f""]",ri,,,1d,,"{""processed_summary"":""data/processed/v1b/ri/ri_v2_parquet_20120724_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-76b9d42713532a3d,regenerate_processed_summary,data/processed/v1b/rs/rs_v2_incremental_1d_20230103_20260711.json,"[""RES-10f8641f6e09caa9"",""RES-852c7e9ffd489323"",""RES-9d33bd2d11ef0346""]",rs,,,1d,,"{""processed_summary"":""data/processed/v1b/rs/rs_v2_incremental_1d_20230103_20260711.json"",""source_residual_count"":3}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
ACT-dc1eae7a3cd796df,regenerate_processed_summary,data/processed/v1b/rs/rs_v2_incremental_1w_20230103_20260711.json,"[""RES-0cb2270c11c12d53"",""RES-cb72cf9fa7c824d6""]",rs,,,1w,,"{""processed_summary"":""data/processed/v1b/rs/rs_v2_incremental_1w_20230103_20260711.json"",""source_residual_count"":2}",Regenerate this processed summary from direct DB and physical evidence without changing quality status.,false,false,false,false,false,low,Restore the prior processed summary JSON from Git or its pre-write copy.
