residual_id,source_report,source_line,classification,asset_identity,product,contract_role,contract,period,provider,data_role,data_version,physical_path,current_evidence,root_cause,recommended_action,requires_code_change,requires_manifest_change,requires_db_write,requires_parquet_write,requires_rqdata,risk_level,rollback_method
RES-a3566160b5657841,physical_residuals.csv,2,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""15m"",""physical_path"":"""",""product"":""a"",""provider"":""rqdata""}",a,dominant_main,,15m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""15m"",""physical_path"":"""",""product"":""a"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-832739f7624673de,physical_residuals.csv,3,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""30m"",""physical_path"":"""",""product"":""a"",""provider"":""rqdata""}",a,dominant_main,,30m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""30m"",""physical_path"":"""",""product"":""a"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-f8c944f36912d0db,physical_residuals.csv,4,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""5m"",""physical_path"":"""",""product"":""a"",""provider"":""rqdata""}",a,dominant_main,,5m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""5m"",""physical_path"":"""",""product"":""a"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-cf967255bd1ed376,physical_residuals.csv,5,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""60m"",""physical_path"":"""",""product"":""a"",""provider"":""rqdata""}",a,dominant_main,,60m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""60m"",""physical_path"":"""",""product"":""a"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-9f0b8e34dbef5bbd,physical_residuals.csv,6,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""15m"",""physical_path"":"""",""product"":""ag"",""provider"":""rqdata""}",ag,dominant_main,,15m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""15m"",""physical_path"":"""",""product"":""ag"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-ecb0bafa675972eb,physical_residuals.csv,7,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""30m"",""physical_path"":"""",""product"":""ag"",""provider"":""rqdata""}",ag,dominant_main,,30m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""30m"",""physical_path"":"""",""product"":""ag"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-da08f122ed8c9234,physical_residuals.csv,8,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""5m"",""physical_path"":"""",""product"":""ag"",""provider"":""rqdata""}",ag,dominant_main,,5m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""5m"",""physical_path"":"""",""product"":""ag"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-e21229bb34036c81,physical_residuals.csv,9,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""60m"",""physical_path"":"""",""product"":""ag"",""provider"":""rqdata""}",ag,dominant_main,,60m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""60m"",""physical_path"":"""",""product"":""ag"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-b8544dd469b0fe04,physical_residuals.csv,10,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""15m"",""physical_path"":"""",""product"":""al"",""provider"":""rqdata""}",al,dominant_main,,15m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""15m"",""physical_path"":"""",""product"":""al"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
RES-7509f334e73a3a86,physical_residuals.csv,11,physical_missing,"{""contract"":"""",""contract_role"":""dominant_main"",""data_role"":"""",""data_version"":"""",""period"":""30m"",""physical_path"":"""",""product"":""al"",""provider"":""rqdata""}",al,dominant_main,,30m,rqdata,,,,"{""source_row"":{""checksum_status"":"""",""contract"":"""",""contract_role"":""dominant_main"",""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_end"":"""",""observed_start"":""2020-01-02"",""period"":""30m"",""physical_path"":"""",""product"":""al"",""reason"":""expected_window_partial"",""recommended_next_task"":""B2-04A-physical-coverage-triage"",""residual_scope"":""expected_coverage"",""source_role"":""derived_from_1m"",""status"":""partial""}}",Derived period coverage begins after the supported 1m source boundary.,Rebuild the missing derived interval locally from canonical 1m after approval; do not call RQData.,false,true,true,true,false,medium,Restore the prior derived Parquet/manifest/DB snapshot and remove only the newly versioned rebuild.
