queue_action_id,action_type,target_scope,source_residual_ids,product,contract_role,contract,period,physical_path,current_evidence,recommended_action,requires_code_change,requires_manifest_change,requires_db_write,requires_parquet_write,requires_rqdata,risk_level,rollback_method
ACT-7069c71f78090864,download_missing_actual_rank1_interval,a:A0505:1d:2005-01-04:2005-03-04,"[""RES-4e73ebbdfa041d2e""]",a,actual_contract,A0505,1d,,"{""db_absent"":true,""expected_end"":""2005-03-04"",""expected_start"":""2005-01-04"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-c5d3a43293af245b,download_missing_actual_rank1_interval,a:A0509:1d:2005-03-07:2005-07-07,"[""RES-f572a7d70b457f67""]",a,actual_contract,A0509,1d,,"{""db_absent"":true,""expected_end"":""2005-07-07"",""expected_start"":""2005-03-07"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-aced74b48861309b,download_missing_actual_rank1_interval,a:A0511:1d:2005-07-08:2005-07-22,"[""RES-fc672ad02f92451a""]",a,actual_contract,A0511,1d,,"{""db_absent"":true,""expected_end"":""2005-07-22"",""expected_start"":""2005-07-08"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-c859d0ca2c4d7f6e,download_missing_actual_rank1_interval,a:A0601:1d:2005-07-25:2005-10-27,"[""RES-f29fbfb0b766c77f""]",a,actual_contract,A0601,1d,,"{""db_absent"":true,""expected_end"":""2005-10-27"",""expected_start"":""2005-07-25"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-030fb252ea2c429f,download_missing_actual_rank1_interval,a:A0605:1d:2005-10-28:2006-02-15,"[""RES-1c6deb556ebb76eb""]",a,actual_contract,A0605,1d,,"{""db_absent"":true,""expected_end"":""2006-02-15"",""expected_start"":""2005-10-28"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-2d79a69744d63335,download_missing_actual_rank1_interval,a:A0609:1d:2006-02-16:2006-08-23,"[""RES-bf1406e6a7c15a18""]",a,actual_contract,A0609,1d,,"{""db_absent"":true,""expected_end"":""2006-08-23"",""expected_start"":""2006-02-16"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-4559cd2be01266a6,download_missing_actual_rank1_interval,a:A0701:1d:2006-08-24:2006-10-31,"[""RES-acb8a7ba4e7af040""]",a,actual_contract,A0701,1d,,"{""db_absent"":true,""expected_end"":""2006-10-31"",""expected_start"":""2006-08-24"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-3db59921d0e6ccb1,download_missing_actual_rank1_interval,a:A0705:1d:2006-11-01:2007-01-31,"[""RES-5b1545f594475cfa""]",a,actual_contract,A0705,1d,,"{""db_absent"":true,""expected_end"":""2007-01-31"",""expected_start"":""2006-11-01"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-0fdea1b4f380ba34,download_missing_actual_rank1_interval,a:A0709:1d:2007-02-01:2007-05-30,"[""RES-b49b7a12cff89d33""]",a,actual_contract,A0709,1d,,"{""db_absent"":true,""expected_end"":""2007-05-30"",""expected_start"":""2007-02-01"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-5f1619c4dc37dfd7,download_missing_actual_rank1_interval,a:A0801:1d:2007-05-31:2007-08-07,"[""RES-4d9643c9f68c1918""]",a,actual_contract,A0801,1d,,"{""db_absent"":true,""expected_end"":""2007-08-07"",""expected_start"":""2007-05-31"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-0af4546e80265595,download_missing_actual_rank1_interval,a:A0805:1d:2007-08-08:2007-11-15,"[""RES-d9818e6443a73cd4""]",a,actual_contract,A0805,1d,,"{""db_absent"":true,""expected_end"":""2007-11-15"",""expected_start"":""2007-08-08"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-b7f0e371afb62461,download_missing_actual_rank1_interval,a:A0809:1d:2007-11-16:2008-02-26,"[""RES-fe90973b1c67137b""]",a,actual_contract,A0809,1d,,"{""db_absent"":true,""expected_end"":""2008-02-26"",""expected_start"":""2007-11-16"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-0fcbc7572dbddca1,download_missing_actual_rank1_interval,a:A0901:1d:2008-02-27:2008-10-14,"[""RES-54d996e2525474e8""]",a,actual_contract,A0901,1d,,"{""db_absent"":true,""expected_end"":""2008-10-14"",""expected_start"":""2008-02-27"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-b0847bd2913e6c6a,download_missing_actual_rank1_interval,a:A0905:1d:2008-10-15:2009-01-12,"[""RES-4fc1c7bb144ac0eb""]",a,actual_contract,A0905,1d,,"{""db_absent"":true,""expected_end"":""2009-01-12"",""expected_start"":""2008-10-15"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-5732b2ec92a31570,download_missing_actual_rank1_interval,a:A0909:1d:2009-01-13:2009-04-14,"[""RES-1503d654aa731942""]",a,actual_contract,A0909,1d,,"{""db_absent"":true,""expected_end"":""2009-04-14"",""expected_start"":""2009-01-13"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-d3a9505809ebe358,download_missing_actual_rank1_interval,a:A1001:1d:2009-04-15:2009-07-09,"[""RES-d757b923cbe9054d""]",a,actual_contract,A1001,1d,,"{""db_absent"":true,""expected_end"":""2009-07-09"",""expected_start"":""2009-04-15"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-d5d2c44f8d005e5b,download_missing_actual_rank1_interval,a:A1005:1d:2009-07-10:2009-10-26,"[""RES-7106caa717169562""]",a,actual_contract,A1005,1d,,"{""db_absent"":true,""expected_end"":""2009-10-26"",""expected_start"":""2009-07-10"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2002-03-15""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
ACT-6b15884f4f737f0d,download_missing_actual_rank1_interval,al:AL0503:1d:2005-01-04:2005-02-16,"[""RES-bdf21c9459eebe42""]",al,actual_contract,AL0503,1d,,"{""db_absent"":true,""expected_end"":""2005-02-16"",""expected_start"":""2005-01-04"",""interval_within_boundary"":true,""manifest_absent"":true,""physical_absent"":true,""supported_boundary"":""2000-01-05""}",Download only this proven missing actual-rank1 interval in a separately approved RQData write task.,false,true,true,true,true,high,Remove only newly versioned downloads and restore manifest/DB snapshots.
