product,contract,contract_role,period,expected_start,expected_end,target_reason
a,A0505,actual_contract,1d,2005-01-04,2005-03-04,main_contract_map_rank1_effective_range
a,A0509,actual_contract,1d,2005-03-07,2005-07-07,main_contract_map_rank1_effective_range
a,A0511,actual_contract,1d,2005-07-08,2005-07-22,main_contract_map_rank1_effective_range
a,A0601,actual_contract,1d,2005-07-25,2005-10-27,main_contract_map_rank1_effective_range
a,A0605,actual_contract,1d,2005-10-28,2006-02-15,main_contract_map_rank1_effective_range
a,A0609,actual_contract,1d,2006-02-16,2006-08-23,main_contract_map_rank1_effective_range
a,A0701,actual_contract,1d,2006-08-24,2006-10-31,main_contract_map_rank1_effective_range
a,A0705,actual_contract,1d,2006-11-01,2007-01-31,main_contract_map_rank1_effective_range
a,A0709,actual_contract,1d,2007-02-01,2007-05-30,main_contract_map_rank1_effective_range
a,A0801,actual_contract,1d,2007-05-31,2007-08-07,main_contract_map_rank1_effective_range
a,A0805,actual_contract,1d,2007-08-08,2007-11-15,main_contract_map_rank1_effective_range
a,A0809,actual_contract,1d,2007-11-16,2008-02-26,main_contract_map_rank1_effective_range
a,A0901,actual_contract,1d,2008-02-27,2008-10-14,main_contract_map_rank1_effective_range
a,A0905,actual_contract,1d,2008-10-15,2009-01-12,main_contract_map_rank1_effective_range
a,A0909,actual_contract,1d,2009-01-13,2009-04-14,main_contract_map_rank1_effective_range
a,A1001,actual_contract,1d,2009-04-15,2009-07-09,main_contract_map_rank1_effective_range
a,A1005,actual_contract,1d,2009-07-10,2009-10-26,main_contract_map_rank1_effective_range
a,A1009,actual_contract,1d,2009-10-27,2010-04-22,main_contract_map_rank1_effective_range
a,A1009,actual_contract,1m,2010-01-04,2010-04-22,main_contract_map_rank1_effective_range
a,A1101,actual_contract,1d,2010-04-23,2010-07-21,main_contract_map_rank1_effective_range
a,A1101,actual_contract,1m,2010-04-23,2010-07-21,main_contract_map_rank1_effective_range
a,A1105,actual_contract,1d,2010-07-22,2010-10-22,main_contract_map_rank1_effective_range
a,A1105,actual_contract,1m,2010-07-22,2010-10-22,main_contract_map_rank1_effective_range
a,A1109,actual_contract,1d,2010-10-25,2011-01-05,main_contract_map_rank1_effective_range
a,A1109,actual_contract,1m,2010-10-25,2011-01-05,main_contract_map_rank1_effective_range
a,A1201,actual_contract,1d,2011-01-06,2011-07-13,main_contract_map_rank1_effective_range
a,A1201,actual_contract,1m,2011-01-06,2011-07-13,main_contract_map_rank1_effective_range
a,A1205,actual_contract,1d,2011-07-14,2011-10-27,main_contract_map_rank1_effective_range
a,A1205,actual_contract,1m,2011-07-14,2011-10-27,main_contract_map_rank1_effective_range
a,A1209,actual_contract,1d,2011-10-28,2012-03-20,main_contract_map_rank1_effective_range
a,A1209,actual_contract,1m,2011-10-28,2012-03-20,main_contract_map_rank1_effective_range
a,A1301,actual_contract,1d,2012-03-21,2012-09-03,main_contract_map_rank1_effective_range
a,A1301,actual_contract,1m,2012-03-21,2012-09-03,main_contract_map_rank1_effective_range
a,A1305,actual_contract,1d,2012-09-04,2013-02-01,main_contract_map_rank1_effective_range
a,A1305,actual_contract,1m,2012-09-04,2013-02-01,main_contract_map_rank1_effective_range
a,A1309,actual_contract,1d,2013-02-04,2013-06-07,main_contract_map_rank1_effective_range
a,A1309,actual_contract,1m,2013-02-04,2013-06-07,main_contract_map_rank1_effective_range
a,A1401,actual_contract,1d,2013-06-13,2013-10-16,main_contract_map_rank1_effective_range
a,A1401,actual_contract,1m,2013-06-13,2013-10-16,main_contract_map_rank1_effective_range
a,A1405,actual_contract,1d,2013-10-17,2013-12-30,main_contract_map_rank1_effective_range
a,A1405,actual_contract,1m,2013-10-17,2013-12-30,main_contract_map_rank1_effective_range
a,A1409,actual_contract,1d,2013-12-31,2014-03-28,main_contract_map_rank1_effective_range
a,A1409,actual_contract,1m,2013-12-31,2014-03-28,main_contract_map_rank1_effective_range
a,A1501,actual_contract,1d,2014-03-31,2014-11-26,main_contract_map_rank1_effective_range
a,A1501,actual_contract,1m,2014-03-31,2014-11-26,main_contract_map_rank1_effective_range
a,A1505,actual_contract,1d,2014-11-27,2015-04-14,main_contract_map_rank1_effective_range
a,A1505,actual_contract,1m,2014-11-27,2015-04-14,main_contract_map_rank1_effective_range
a,A1509,actual_contract,1d,2015-04-15,2015-06-15,main_contract_map_rank1_effective_range
a,A1509,actual_contract,1m,2015-04-15,2015-06-15,main_contract_map_rank1_effective_range
a,A1601,actual_contract,1d,2015-06-16,2015-11-11,main_contract_map_rank1_effective_range
a,A1601,actual_contract,1m,2015-06-16,2015-11-11,main_contract_map_rank1_effective_range
a,A1605,actual_contract,1d,2015-11-12,2016-03-09,main_contract_map_rank1_effective_range
a,A1605,actual_contract,1m,2015-11-12,2016-03-09,main_contract_map_rank1_effective_range
a,A1609,actual_contract,1d,2016-03-10,2016-07-13,main_contract_map_rank1_effective_range
a,A1609,actual_contract,1m,2016-03-10,2016-07-13,main_contract_map_rank1_effective_range
a,A1701,actual_contract,1d,2016-07-14,2016-11-28,main_contract_map_rank1_effective_range
a,A1701,actual_contract,1m,2016-07-14,2016-11-28,main_contract_map_rank1_effective_range
a,A1705,actual_contract,1d,2016-11-29,2017-03-23,main_contract_map_rank1_effective_range
a,A1705,actual_contract,1m,2016-11-29,2017-03-23,main_contract_map_rank1_effective_range
a,A1709,actual_contract,1d,2017-03-24,2017-08-04,main_contract_map_rank1_effective_range
a,A1709,actual_contract,1m,2017-03-24,2017-08-04,main_contract_map_rank1_effective_range
a,A1801,actual_contract,1d,2017-08-07,2017-12-11,main_contract_map_rank1_effective_range
a,A1801,actual_contract,1m,2017-08-07,2017-12-11,main_contract_map_rank1_effective_range
a,A1805,actual_contract,1d,2017-12-12,2018-04-04,main_contract_map_rank1_effective_range
a,A1805,actual_contract,1m,2017-12-12,2018-04-04,main_contract_map_rank1_effective_range
a,A1809,actual_contract,1d,2018-04-09,2018-07-30,main_contract_map_rank1_effective_range
a,A1809,actual_contract,1m,2018-04-09,2018-07-30,main_contract_map_rank1_effective_range
a,A1901,actual_contract,1d,2018-07-31,2018-12-21,main_contract_map_rank1_effective_range
a,A1901,actual_contract,1m,2018-07-31,2018-12-21,main_contract_map_rank1_effective_range
a,A1905,actual_contract,1d,2018-12-24,2019-04-19,main_contract_map_rank1_effective_range
a,A1905,actual_contract,1m,2018-12-24,2019-04-19,main_contract_map_rank1_effective_range
a,A1909,actual_contract,1d,2019-04-22,2019-08-09,main_contract_map_rank1_effective_range
a,A1909,actual_contract,1m,2019-04-22,2019-08-09,main_contract_map_rank1_effective_range
a,A2001,actual_contract,1d,2019-08-12,2019-12-04,main_contract_map_rank1_effective_range
a,A2001,actual_contract,1m,2019-08-12,2019-12-04,main_contract_map_rank1_effective_range
a,A2005,actual_contract,1d,2019-12-05,2020-04-07,main_contract_map_rank1_effective_range
