product,metadata_type,applicability,status,reason,evidence_start,evidence_end
a,asset_registration,applicable,passed,registered_contract_listing,2002-03-15,2026-07-10
a,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
a,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
a,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
a,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
a,trading_parameter,applicable,passed,trading_parameters_present,2007-07-16,2026-07-10
a,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ad,asset_registration,applicable,passed,registered_contract_listing,2025-06-10,2026-07-10
ad,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-06-10,2026-07-07
ad,contract_universe,applicable,passed,contract_universe_present,2025-06-10,2026-07-10
ad,main_contract_map,applicable,passed,rank1_mapping_present,2025-06-10,2026-07-07
ad,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ad,trading_parameter,applicable,passed,trading_parameters_present,2025-06-10,2026-07-10
ad,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ag,asset_registration,applicable,passed,registered_contract_listing,2012-05-10,2026-07-10
ag,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ag,contract_universe,applicable,passed,contract_universe_present,2012-05-10,2026-07-10
ag,main_contract_map,applicable,passed,rank1_mapping_present,2012-05-10,2026-07-07
ag,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ag,trading_parameter,applicable,passed,trading_parameters_present,2012-10-16,2026-07-10
ag,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
al,asset_registration,applicable,passed,registered_contract_listing,1999-01-04,2026-07-10
al,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
al,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
al,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
al,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
al,trading_parameter,applicable,passed,trading_parameters_present,2012-10-16,2026-07-10
al,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ao,asset_registration,applicable,passed,registered_contract_listing,2023-06-19,2026-07-10
ao,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2023-06-19,2026-07-07
ao,contract_universe,applicable,passed,contract_universe_present,2023-06-19,2026-07-10
ao,main_contract_map,applicable,passed,rank1_mapping_present,2023-06-19,2026-07-07
ao,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ao,trading_parameter,applicable,passed,trading_parameters_present,2023-06-19,2026-07-10
ao,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ap,asset_registration,applicable,passed,registered_contract_listing,2017-12-22,2026-07-10
ap,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ap,contract_universe,applicable,passed,contract_universe_present,2017-12-22,2026-07-10
ap,main_contract_map,applicable,passed,rank1_mapping_present,2017-12-22,2026-06-24
ap,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ap,trading_parameter,applicable,passed,trading_parameters_present,2017-12-22,2026-07-10
ap,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
au,asset_registration,applicable,passed,registered_contract_listing,2008-01-09,2026-07-10
au,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
au,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
au,main_contract_map,applicable,passed,rank1_mapping_present,2008-01-09,2026-07-07
au,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
au,trading_parameter,applicable,passed,trading_parameters_present,2012-10-16,2026-07-10
au,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
b,asset_registration,applicable,passed,registered_contract_listing,2004-12-22,2026-07-10
b,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
b,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
b,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
b,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
