product,period,layer,mode,status,detail,gap_start,gap_end
a,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
a,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ad,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
ad,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
ag,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ag,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
al,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
al,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ao,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
ao,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
ap,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ap,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
au,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
au,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
b,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
b,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
bb,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
bb,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
bc,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-11-19,2023-01-02
bc,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-11-19,2023-01-05
br,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
br,1w,layer1,skip,skipped,already backfilled through 2026-07-10,,
bu,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
bu,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
bz,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
bz,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
c,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
c,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
cf,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cf,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
cj,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cj,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
cs,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cs,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
