product,period,layer,mode,status,detail,gap_start,gap_end
jm,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ag,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
au,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sc,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
al,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cu,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ni,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
pb,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sn,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ss,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
zn,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
a,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
b,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
bu,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
c,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cf,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cs,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
cy,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
eb,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
eg,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
fg,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
fu,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
hc,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
i,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
j,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
l,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
m,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ma,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
nr,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
oi,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
p,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
pp,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rb,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rm,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
rr,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ru,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sa,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sp,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
sr,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ta,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
v,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
y,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
zc,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
bc,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-11-19,2023-01-02
pg,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-03-30,2023-01-02
ap,1m,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
si,1m,layer1,prepend,success,prepend historical prefix before existing asset,2022-12-22,2023-01-02
