product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end,estimated_bars,estimated_mb
a,2002-03-15,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2002-03-15,2019-12-31,2002-03-15,2026-07-11,1076880,308.1
ag,2012-05-10,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-05-10,2019-12-31,2012-05-10,2026-07-11,462240,132.25
al,1999-01-04,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11,1209600,346.07
ap,2017-12-22,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2017-12-22,2019-12-31,2017-12-22,2026-07-11,122400,35.02
au,2008-01-09,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2008-01-09,2019-12-31,2008-01-09,2026-07-11,724560,207.3
b,2004-12-22,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-12-22,2019-12-31,2004-12-22,2026-07-11,909120,260.1
bb,2013-12-06,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-12-06,2019-12-31,2013-12-06,2026-07-11,366960,104.99
bu,2013-10-09,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-10-09,2019-12-31,2013-10-09,2026-07-11,376560,107.73
c,2004-09-22,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-09-22,2019-12-31,2004-09-22,2026-07-11,924240,264.43
cf,2004-06-01,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-06-01,2019-12-31,2004-06-01,2026-07-11,942960,269.78
cj,2019-04-30,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-04-30,2019-12-31,2019-04-30,2026-07-11,40560,11.6
cs,2014-12-19,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2014-12-19,2019-12-31,2014-12-19,2026-07-11,304320,87.07
cu,1999-01-04,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11,1209600,346.07
cy,2017-08-18,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2017-08-18,2019-12-31,2017-08-18,2026-07-11,143280,40.99
eb,2019-09-26,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-09-26,2019-12-31,2019-09-26,2026-07-11,15840,4.53
eg,2018-12-10,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2018-12-10,2019-12-31,2018-12-10,2026-07-11,63840,18.26
fb,2013-12-06,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-12-06,2019-12-31,2013-12-06,2026-07-11,366960,104.99
fg,2012-12-03,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-12-03,2019-12-31,2012-12-03,2026-07-11,428160,122.5
fu,2004-08-25,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-08-25,2019-12-31,2004-08-25,2026-07-11,928800,265.73
hc,2014-03-21,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2014-03-21,2019-12-31,2014-03-21,2026-07-11,349680,100.04
i,2013-10-18,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-10-18,2019-12-31,2013-10-18,2026-07-11,375120,107.32
ic,2015-04-16,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2015-04-16,2019-12-31,2015-04-16,2026-07-11,284880,81.5
if,2010-04-16,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2010-04-16,2019-12-31,2010-04-16,2026-07-11,587520,168.09
ih,2015-04-16,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2015-04-16,2019-12-31,2015-04-16,2026-07-11,284880,81.5
j,2011-04-15,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2011-04-15,2019-12-31,2011-04-15,2026-07-11,527040,150.79
jd,2013-11-08,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-11-08,2019-12-31,2013-11-08,2026-07-11,371760,106.36
jm,2013-03-22,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-03-22,2019-12-31,2013-03-22,2026-07-11,409920,117.28
jr,2013-11-18,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2013-11-18,2019-12-31,2013-11-18,2026-07-11,370080,105.88
l,2007-07-31,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2007-07-31,2019-12-31,2007-07-31,2026-07-11,751440,214.99
m,2000-07-17,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-07-17,2019-12-31,2000-07-17,2026-07-11,1177440,336.87
ma,2014-06-17,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2014-06-17,2019-12-31,2014-06-17,2026-07-11,335040,95.86
ni,2015-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2015-03-27,2019-12-31,2015-03-27,2026-07-11,288240,82.47
nr,2019-08-12,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-08-12,2019-12-31,2019-08-12,2026-07-11,23280,6.66
oi,2012-07-16,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-07-16,2019-12-31,2012-07-16,2026-07-11,451200,129.09
p,2007-10-29,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2007-10-29,2019-12-31,2007-10-29,2026-07-11,736560,210.73
pb,2011-03-24,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2011-03-24,2019-12-31,2011-03-24,2026-07-11,530880,151.89
pm,2012-01-17,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-01-17,2019-12-31,2012-01-17,2026-07-11,481200,137.67
pp,2014-02-28,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2014-02-28,2019-12-31,2014-02-28,2026-07-11,353040,101.01
rb,2009-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-03-27,2019-12-31,2009-03-27,2026-07-11,651360,186.36
ri,2012-07-24,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-07-24,2019-12-31,2012-07-24,2026-07-11,450000,128.75
rm,2012-12-28,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-12-28,2019-12-31,2012-12-28,2026-07-11,423840,121.26
rr,2019-08-16,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2019-08-16,2019-12-31,2019-08-16,2026-07-11,22560,6.45
rs,2012-12-28,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2012-12-28,2019-12-31,2012-12-28,2026-07-11,423840,121.26
