instrument_symbol,contract_code,period,primary_count
ag,,,8
al,,,5
au,,,6
bu,,,6
cu,,,5
eg,,,7
fg,,,5
fu,,,5
hc,,,6
i,,,6
j,,,6
jm,,,6
l,,,6
ma,,,5
ni,,,5
pb,,,6
pg,,,6
pp,,,6
rb,,1d,2
rb,,1m,2
rb,,,9
sa,,,5
sc,,,6
sn,,,6
ta,,,5
v,,,6
zn,,,6
,AG1209,1d,2
,AG1209,,2
,AG1210,1d,2
,AG1210,,2
,AG1211,1d,2
,AG1211,,2
,AG1212,1d,2
,AG1212,,2
,AG1301,1d,2
,AG1301,,2
,AG1302,1d,2
,AG1302,,2
,AG1303,1d,2
,AG1303,,2
,AG1304,1d,2
,AG1304,,2
,AG1305,1d,2
,AG1305,,2
,AG1306,1d,2
,AG1306,,2
,AG1307,1d,2
,AG1307,,2
,AG1308,1d,2
,AG1308,,2
,AG1309,1d,2
,AG1309,,2
,AG1310,1d,2
,AG1310,,3
,AG1311,1d,2
,AG1311,,3
,AG1312,1d,2
,AG1312,,3
,AG1401,1d,2
,AG1401,,3
,AG1402,1d,2
,AG1402,,3
,AG1403,1d,2
,AG1403,,3
,AG1404,1d,2
,AG1404,,3
,AG1405,1d,2
,AG1405,,3
,AG1406,1d,2
,AG1406,,3
,AG1407,1d,2
,AG1407,,3
,AG1408,1d,2
,AG1408,,3
,AG1409,1d,2
,AG1409,,3
,AG1410,1d,2
,AG1410,,3
,AG1411,1d,2
,AG1411,,3
,AG1412,1d,2
,AG1412,,3
,AG1501,1d,2
,AG1501,,3
,AG1502,1d,2
,AG1502,,3
,AG1503,1d,2
,AG1503,,3
,AG1504,1d,2
,AG1504,,3
,AG1505,1d,2
,AG1505,,3
,AG1506,1d,2
,AG1506,,3
,AG1507,1d,2
,AG1507,,3
,AG1508,1d,2
,AG1508,,3
,AG1509,1d,2
,AG1509,,3
,AG1510,1d,2
,AG1510,,3
,AG1511,1d,2
,AG1511,,3
,AG1512,1d,2
,AG1512,,3
,AG1601,1d,2
,AG1601,,3
,AG1602,1d,2
,AG1602,,3
,AG1603,1d,2
,AG1603,,3
,AG1604,1d,2
,AG1604,,3
,AG1605,1d,2
,AG1605,,3
,AG1606,1d,2
,AG1606,,3
,AG1607,1d,2
,AG1607,,3
,AG1608,1d,2
,AG1608,,3
,AG1609,1d,2
,AG1609,,3
,AG1610,1d,2
,AG1610,,3
,AG1611,1d,2
,AG1611,,3
,AG1612,1d,2
,AG1612,,3
,AG1701,1d,2
,AG1701,,3
,AG1702,1d,2
,AG1702,,3
,AG1703,1d,2
,AG1703,,3
,AG1704,1d,2
,AG1704,,3
,AG1705,1d,2
,AG1705,,3
,AG1706,1d,2
,AG1706,,3
,AG1707,1d,2
,AG1707,,3
,AG1708,1d,2
,AG1708,,3
,AG1709,1d,2
,AG1709,,3
,AG1710,1d,2
,AG1710,,3
,AG1711,1d,2
,AG1711,,3
,AG1712,1d,2
,AG1712,,3
,AG1801,1d,2
,AG1801,,3
,AG1802,1d,2
,AG1802,,3
,AG1803,1d,2
,AG1803,,3
,AG1804,1d,2
,AG1804,,3
,AG1805,1d,2
,AG1805,,3
,AG1806,1d,2
,AG1806,,3
,AG1807,1d,2
,AG1807,,3
,AG1808,1d,2
,AG1808,,3
,AG1809,1d,2
,AG1809,,3
,AG1810,1d,2
,AG1810,,3
,AG1811,1d,2
,AG1811,,3
,AG1812,1d,2
,AG1812,,3
,AG1901,1d,2
,AG1901,,3
,AG1902,1d,2
,AG1902,,3
,AG1903,1d,2
,AG1903,,3
,AG1904,1d,2
,AG1904,,3
,AG1905,1d,2
,AG1905,,3
,AG1906,1d,2
,AG1906,,3
,AG1907,1d,2
,AG1907,,3
,AG1908,1d,2
,AG1908,,3
,AG1909,1d,2
,AG1909,,3
,AG1910,1d,2
,AG1910,,3
,AG1911,1d,2
,AG1911,,3
,AG1912,1d,2
,AG1912,,3
,AG2001,1d,2
,AG2001,,3
,AG2002,1d,2
,AG2002,,3
,AG2003,1d,2
,AG2003,,3
,AG2004,1d,2
,AG2004,,3
,AG2005,1d,2
,AG2005,,3
,AG2006,1d,2
,AG2006,,3
,AG2007,1d,2
,AG2007,,3
,AG2008,1d,2
,AG2008,,3
,AG2009,1d,2
,AG2009,,3
,AG2010,1d,2
,AG2010,,3
,AG2011,1d,2
,AG2011,,3
,AG2012,1d,2
,AG2012,,3
,AG2101,1d,2
,AG2101,,3
,AG2102,1d,2
,AG2102,,3
,AG2103,1d,2
,AG2103,,3
,AG2104,1d,2
,AG2104,,3
,AG2105,1d,2
,AG2105,,3
,AG2106,1d,2
,AG2106,,3
,AG2107,1d,2
,AG2107,,3
,AG2108,1d,2
,AG2108,,3
,AG2109,1d,2
,AG2109,,3
,AG2110,1d,2
,AG2110,,3
,AG2111,1d,2
,AG2111,,3
,AG2112,1d,2
,AG2112,,3
,AG2201,1d,2
,AG2201,,3
,AG2202,1d,2
,AG2202,,3
,AG2203,1d,2
,AG2203,,3
,AG2204,1d,2
,AG2204,,3
,AG2205,1d,2
,AG2205,,3
,AG2206,1d,2
,AG2206,,3
,AG2207,1d,2
,AG2207,,3
,AG2208,1d,2
,AG2208,,3
,AG2209,1d,2
,AG2209,,3
,AG2210,1d,2
,AG2210,,3
,AG2211,1d,2
,AG2211,,3
,AG2212,1d,2
,AG2212,,3
,AG2301,1d,2
,AG2301,,3
,AG2302,1d,2
,AG2302,,3
,AG2303,1d,2
,AG2303,,3
,AG2304,1d,2
,AG2304,,3
,AG2305,1d,2
,AG2305,,3
,AG2306,1d,2
,AG2306,,3
,AG2307,1d,2
,AG2307,,3
,AG2308,1d,2
,AG2308,,3
,AG2309,1d,2
,AG2309,,3
,AG2310,1d,2
,AG2310,,3
,AG2311,1d,2
,AG2311,,3
,AG2312,1d,2
,AG2312,,3
,AG2401,1d,2
,AG2401,,3
,AG2402,1d,2
,AG2402,,3
,AG2403,1d,2
,AG2403,,3
,AG2404,1d,2
,AG2404,,3
,AG2405,1d,2
,AG2405,,3
,AG2406,1d,2
,AG2406,,3
,AG2407,1d,2
,AG2407,,3
,AG2408,1d,2
,AG2408,,3
,AG2409,1d,2
,AG2409,,3
,AG2410,1d,2
,AG2410,,3
,AG2411,1d,2
,AG2411,,3
,AG2412,1d,2
,AG2412,,3
,AG2501,1d,2
,AG2501,,3
,AG2502,1d,2
,AG2502,,3
,AG2503,1d,2
,AG2503,,3
,AG2504,1d,2
,AG2504,,3
,AG2505,1d,2
,AG2505,,3
,AG2506,1d,2
,AG2506,,3
,AG2507,1d,2
,AG2507,,3
,AG2508,1d,2
,AG2508,,3
,AG2509,1d,2
,AG2509,,3
,AG2510,1d,2
,AG2510,,3
,AG2511,1d,2
,AG2511,,3
,AG2512,1d,2
,AG2512,,3
,AG2601,1d,2
,AG2601,,3
,AG2602,1d,2
,AG2602,,3
,AG2603,1d,2
,AG2603,,3
,AG2604,1d,2
,AG2604,,3
,AG2605,1d,2
,AG2605,,3
,AG2606,1d,2
,AG2606,,3
,AG2607,1d,2
,AG2607,,3
,AG2608,1d,2
,AG2608,,3
,AG2609,1d,2
,AG2609,,3
,AG2610,1d,2
,AG2610,,3
,AG2611,1d,2
