instrument_symbol,contract_code,period,primary_count
a,A2305,1d,2
a,A2609,15m,3
a,A2609,1d,3
a,A2609,1m,3
a,A2609,30m,3
a,A2609,5m,3
a,A2609,60m,3
a,a.MAIN,15m,2
a,a.MAIN,1d,4
a,a.MAIN,1m,3
a,a.MAIN,1w,4
a,a.MAIN,30m,2
a,a.MAIN,5m,2
a,a.MAIN,60m,2
ad,AD2609,15m,3
ad,AD2609,1d,3
ad,AD2609,1m,3
ad,AD2609,30m,3
ad,AD2609,5m,3
ad,AD2609,60m,3
ad,ad.MAIN,15m,2
ad,ad.MAIN,1d,3
ad,ad.MAIN,1m,3
ad,ad.MAIN,1w,4
ad,ad.MAIN,30m,2
ad,ad.MAIN,5m,2
ad,ad.MAIN,60m,2
ag,AG2608,15m,3
ag,AG2608,1d,3
ag,AG2608,1m,3
ag,AG2608,30m,3
ag,AG2608,5m,3
ag,AG2608,60m,3
ag,ag.MAIN,15m,2
ag,ag.MAIN,1d,4
ag,ag.MAIN,1m,4
ag,ag.MAIN,1w,4
ag,ag.MAIN,30m,2
ag,ag.MAIN,5m,2
ag,ag.MAIN,60m,2
al,AL2608,15m,3
al,AL2608,1d,3
al,AL2608,1m,3
al,AL2608,30m,3
al,AL2608,5m,3
al,AL2608,60m,3
al,al.MAIN,15m,2
al,al.MAIN,1d,4
al,al.MAIN,1m,3
al,al.MAIN,1w,4
al,al.MAIN,30m,2
al,al.MAIN,5m,2
al,al.MAIN,60m,2
ao,AO2609,15m,3
ao,AO2609,1d,3
ao,AO2609,1m,3
ao,AO2609,30m,3
ao,AO2609,5m,3
ao,AO2609,60m,3
ao,ao.MAIN,15m,2
ao,ao.MAIN,1d,3
ao,ao.MAIN,1m,3
ao,ao.MAIN,1w,3
ao,ao.MAIN,30m,2
ao,ao.MAIN,5m,2
ao,ao.MAIN,60m,2
ap,AP2305,1d,2
ap,AP2610,15m,3
ap,AP2610,1d,3
ap,AP2610,1m,3
ap,AP2610,30m,3
ap,AP2610,5m,3
ap,AP2610,60m,3
ap,ap.MAIN,15m,2
ap,ap.MAIN,1d,4
ap,ap.MAIN,1m,3
ap,ap.MAIN,1w,4
ap,ap.MAIN,30m,2
ap,ap.MAIN,5m,2
ap,ap.MAIN,60m,2
au,AU2608,15m,3
au,AU2608,1d,3
au,AU2608,1m,3
au,AU2608,30m,3
au,AU2608,5m,3
au,AU2608,60m,3
au,au.MAIN,15m,2
au,au.MAIN,1d,4
au,au.MAIN,1m,4
au,au.MAIN,1w,4
au,au.MAIN,30m,2
au,au.MAIN,5m,2
au,au.MAIN,60m,2
b,B2609,15m,3
b,B2609,1d,3
b,B2609,1m,3
b,B2609,30m,3
b,B2609,5m,3
b,B2609,60m,3
b,b.MAIN,15m,2
b,b.MAIN,1d,4
b,b.MAIN,1m,3
b,b.MAIN,1w,4
b,b.MAIN,30m,2
b,b.MAIN,5m,2
b,b.MAIN,60m,2
bb,BB2301,1d,2
bb,BB2609,15m,3
bb,BB2609,1d,3
bb,BB2609,1m,3
bb,BB2609,30m,3
bb,BB2609,5m,3
bb,BB2609,60m,3
bb,bb.MAIN,15m,2
bb,bb.MAIN,1d,3
bb,bb.MAIN,1m,3
bb,bb.MAIN,1w,3
bb,bb.MAIN,30m,2
bb,bb.MAIN,5m,2
bb,bb.MAIN,60m,2
bc,BC2303,1d,2
bc,BC2608,15m,3
bc,BC2608,1d,3
