profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,a,a.MAIN,15m,a|a.MAIN|15m,frozen_baseline_reference,40884,rulebook
intraday_research_v1,a,a.MAIN,1d,a|a.MAIN|1d,frozen_baseline_reference,40887,rulebook
intraday_research_v1,a,a.MAIN,1m,a|a.MAIN|1m,frozen_baseline_reference,40882,rulebook
intraday_research_v1,a,a.MAIN,30m,a|a.MAIN|30m,frozen_baseline_reference,40885,rulebook
intraday_research_v1,a,a.MAIN,5m,a|a.MAIN|5m,frozen_baseline_reference,40883,rulebook
intraday_research_v1,a,a.MAIN,60m,a|a.MAIN|60m,frozen_baseline_reference,40886,rulebook
intraday_research_v1,ad,ad.MAIN,15m,ad|ad.MAIN|15m,frozen_baseline_reference,40890,rulebook
intraday_research_v1,ad,ad.MAIN,1d,ad|ad.MAIN|1d,frozen_baseline_reference,40893,rulebook
intraday_research_v1,ad,ad.MAIN,1m,ad|ad.MAIN|1m,frozen_baseline_reference,40888,rulebook
intraday_research_v1,ad,ad.MAIN,30m,ad|ad.MAIN|30m,frozen_baseline_reference,40891,rulebook
intraday_research_v1,ad,ad.MAIN,5m,ad|ad.MAIN|5m,frozen_baseline_reference,40889,rulebook
intraday_research_v1,ad,ad.MAIN,60m,ad|ad.MAIN|60m,frozen_baseline_reference,40892,rulebook
intraday_research_v1,ag,ag.MAIN,15m,ag|ag.MAIN|15m,frozen_baseline_reference,40896,rulebook
intraday_research_v1,ag,ag.MAIN,1d,ag|ag.MAIN|1d,frozen_baseline_reference,40899,rulebook
intraday_research_v1,ag,ag.MAIN,1m,ag|ag.MAIN|1m,frozen_baseline_reference,40894,rulebook
intraday_research_v1,ag,ag.MAIN,30m,ag|ag.MAIN|30m,frozen_baseline_reference,40897,rulebook
intraday_research_v1,ag,ag.MAIN,5m,ag|ag.MAIN|5m,frozen_baseline_reference,40895,rulebook
intraday_research_v1,ag,ag.MAIN,60m,ag|ag.MAIN|60m,frozen_baseline_reference,40898,rulebook
intraday_research_v1,al,al.MAIN,15m,al|al.MAIN|15m,frozen_baseline_reference,40902,rulebook
intraday_research_v1,al,al.MAIN,1d,al|al.MAIN|1d,frozen_baseline_reference,40905,rulebook
intraday_research_v1,al,al.MAIN,1m,al|al.MAIN|1m,frozen_baseline_reference,40900,rulebook
intraday_research_v1,al,al.MAIN,30m,al|al.MAIN|30m,frozen_baseline_reference,40903,rulebook
intraday_research_v1,al,al.MAIN,5m,al|al.MAIN|5m,frozen_baseline_reference,40901,rulebook
intraday_research_v1,al,al.MAIN,60m,al|al.MAIN|60m,frozen_baseline_reference,40904,rulebook
intraday_research_v1,ao,ao.MAIN,15m,ao|ao.MAIN|15m,frozen_baseline_reference,40908,rulebook
intraday_research_v1,ao,ao.MAIN,1d,ao|ao.MAIN|1d,frozen_baseline_reference,40911,rulebook
intraday_research_v1,ao,ao.MAIN,1m,ao|ao.MAIN|1m,frozen_baseline_reference,40906,rulebook
intraday_research_v1,ao,ao.MAIN,30m,ao|ao.MAIN|30m,frozen_baseline_reference,40909,rulebook
intraday_research_v1,ao,ao.MAIN,5m,ao|ao.MAIN|5m,frozen_baseline_reference,40907,rulebook
intraday_research_v1,ao,ao.MAIN,60m,ao|ao.MAIN|60m,frozen_baseline_reference,40910,rulebook
intraday_research_v1,ap,ap.MAIN,15m,ap|ap.MAIN|15m,frozen_baseline_reference,40914,rulebook
intraday_research_v1,ap,ap.MAIN,1d,ap|ap.MAIN|1d,frozen_baseline_reference,40917,rulebook
intraday_research_v1,ap,ap.MAIN,1m,ap|ap.MAIN|1m,frozen_baseline_reference,40912,rulebook
intraday_research_v1,ap,ap.MAIN,30m,ap|ap.MAIN|30m,frozen_baseline_reference,40915,rulebook
intraday_research_v1,ap,ap.MAIN,5m,ap|ap.MAIN|5m,frozen_baseline_reference,40913,rulebook
intraday_research_v1,ap,ap.MAIN,60m,ap|ap.MAIN|60m,frozen_baseline_reference,40916,rulebook
intraday_research_v1,au,au.MAIN,15m,au|au.MAIN|15m,frozen_baseline_reference,40920,rulebook
intraday_research_v1,au,au.MAIN,1d,au|au.MAIN|1d,frozen_baseline_reference,40923,rulebook
intraday_research_v1,au,au.MAIN,1m,au|au.MAIN|1m,frozen_baseline_reference,40918,rulebook
intraday_research_v1,au,au.MAIN,30m,au|au.MAIN|30m,frozen_baseline_reference,40921,rulebook
intraday_research_v1,au,au.MAIN,5m,au|au.MAIN|5m,frozen_baseline_reference,40919,rulebook
intraday_research_v1,au,au.MAIN,60m,au|au.MAIN|60m,frozen_baseline_reference,40922,rulebook
intraday_research_v1,b,b.MAIN,15m,b|b.MAIN|15m,frozen_baseline_reference,40926,rulebook
intraday_research_v1,b,b.MAIN,1d,b|b.MAIN|1d,frozen_baseline_reference,40929,rulebook
