batch_id,apply_order,dataset,target_table,year,candidate_rows,product_count,candidate_start_date,candidate_end_date,products,execution_mode,writes_database_if_approved,calls_rqdata_if_approved,writes_parquet_if_approved,writes_market_data_files_if_approved,writes_quality_status_if_approved,human_gate
batch_01_contract_universe_2020,1,contract_universe,futures_contract_universe,2020,67,67,2020-01-01,2020-12-31,a|ag|al|ap|au|b|bb|bc|bu|c|cf|cj|cs|cu|cy|eb|eg|fb|fg|fu|hc|i|ic|if|ih|j|jd|jm|jr|l|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pm|pp|rb|ri|rm|rr|rs|ru|sa|sc|sf|sm|sn|sp|sr|ss|t|ta|tf|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_02_contract_universe_2021,2,contract_universe,futures_contract_universe,2021,69,69,2021-01-01,2021-12-31,a|ag|al|ap|au|b|bb|bc|bu|c|cf|cj|cs|cu|cy|eb|eg|fb|fg|fu|hc|i|ic|if|ih|j|jd|jm|jr|l|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|rb|ri|rm|rr|rs|ru|sa|sc|sf|sm|sn|sp|sr|ss|t|ta|tf|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_03_contract_universe_2022,3,contract_universe,futures_contract_universe,2022,71,71,2022-01-01,2022-12-31,a|ag|al|ap|au|b|bb|bc|bu|c|cf|cj|cs|cu|cy|eb|eg|fb|fg|fu|hc|i|ic|if|ih|im|j|jd|jm|jr|l|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|rb|ri|rm|rr|rs|ru|sa|sc|sf|si|sm|sn|sp|sr|ss|t|ta|tf|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_04_contract_universe_2023,4,contract_universe,futures_contract_universe,2023,78,78,2023-01-01,2023-12-31,a|ag|al|ao|ap|au|b|bb|bc|br|bu|c|cf|cj|cs|cu|cy|eb|ec|eg|fb|fg|fu|hc|i|ic|if|ih|im|j|jd|jm|jr|l|lc|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|px|rb|ri|rm|rr|rs|ru|sa|sc|sf|sh|si|sm|sn|sp|sr|ss|t|ta|tf|tl|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_05_continuous_contract_map_2020,5,continuous_contract_map,futures_continuous_contract_map,2020,67,67,2020-01-01,2020-12-31,a|ag|al|ap|au|b|bb|bc|bu|c|cf|cj|cs|cu|cy|eb|eg|fb|fg|fu|hc|i|ic|if|ih|j|jd|jm|jr|l|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pm|pp|rb|ri|rm|rr|rs|ru|sa|sc|sf|sm|sn|sp|sr|ss|t|ta|tf|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_06_continuous_contract_map_2021,6,continuous_contract_map,futures_continuous_contract_map,2021,69,69,2021-01-01,2021-12-31,a|ag|al|ap|au|b|bb|bc|bu|c|cf|cj|cs|cu|cy|eb|eg|fb|fg|fu|hc|i|ic|if|ih|j|jd|jm|jr|l|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|rb|ri|rm|rr|rs|ru|sa|sc|sf|sm|sn|sp|sr|ss|t|ta|tf|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_07_continuous_contract_map_2022,7,continuous_contract_map,futures_continuous_contract_map,2022,71,71,2022-01-01,2022-12-31,a|ag|al|ap|au|b|bb|bc|bu|c|cf|cj|cs|cu|cy|eb|eg|fb|fg|fu|hc|i|ic|if|ih|im|j|jd|jm|jr|l|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|rb|ri|rm|rr|rs|ru|sa|sc|sf|si|sm|sn|sp|sr|ss|t|ta|tf|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_08_continuous_contract_map_2023,8,continuous_contract_map,futures_continuous_contract_map,2023,78,78,2023-01-01,2023-12-31,a|ag|al|ao|ap|au|b|bb|bc|br|bu|c|cf|cj|cs|cu|cy|eb|ec|eg|fb|fg|fu|hc|i|ic|if|ih|im|j|jd|jm|jr|l|lc|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|px|rb|ri|rm|rr|rs|ru|sa|sc|sf|sh|si|sm|sn|sp|sr|ss|t|ta|tf|tl|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_09_continuous_contract_map_2024,9,continuous_contract_map,futures_continuous_contract_map,2024,81,81,2024-01-01,2024-12-31,a|ag|al|ao|ap|au|b|bb|bc|br|bu|c|cf|cj|cs|cu|cy|eb|ec|eg|fb|fg|fu|hc|i|ic|if|ih|im|j|jd|jm|jr|l|lc|lg|lh|lu|m|ma|ni|nr|oi|p|pb|pf|pg|pk|pm|pp|pr|ps|px|rb|ri|rm|rr|rs|ru|sa|sc|sf|sh|si|sm|sn|sp|sr|ss|t|ta|tf|tl|ts|ur|v|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
batch_10_continuous_contract_map_2025,10,continuous_contract_map,futures_continuous_contract_map,2025,90,90,2025-01-01,2025-12-31,a|ad|ag|al|ao|ap|au|b|bb|bc|br|bu|bz|c|cf|cj|cs|cu|cy|eb|ec|eg|fb|fg|fu|hc|i|ic|if|ih|im|j|jd|jm|jr|l|l_f|lc|lg|lh|lu|m|ma|ni|nr|oi|op|p|pb|pd|pf|pg|pk|pl|pm|pp|pp_f|pr|ps|pt|px|rb|ri|rm|rr|rs|ru|sa|sc|sf|sh|si|sm|sn|sp|sr|ss|t|ta|tf|tl|ts|ur|v|v_f|wh|wr|y|zc|zn,one_product_year_command_per_candidate,True,True,False,False,False,required_before_apply
