anomaly_type,physical_path,repair_type,needs_new_data_version,followup_task,canonical_file_id
checksum_mismatch,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,requires_manual_review,false,DIRECTION-A3-APPLY-METADATA-SYNC,
checksum_mismatch,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=INE/symbol=ec/contract=ec.MAIN/ec_MAIN_1w_20230103_20260707_v2.parquet,requires_manual_review,false,DIRECTION-A3-APPLY-METADATA-SYNC,
checksum_mismatch,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=op/contract=op.MAIN/op_MAIN_1w_20230103_20260707_v2.parquet,requires_manual_review,false,DIRECTION-A3-APPLY-METADATA-SYNC,
orphan_parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1w_20230103_20260707_v2.parquet,archive-only,false,DIRECTION-A3-APPLY-ORPHAN-ARCHIVE,
orphan_parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=wh/contract=wh.MAIN/wh_MAIN_1w_20230103_20260707_v2.parquet,archive-only,false,DIRECTION-A3-APPLY-ORPHAN-ARCHIVE,
orphan_parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260707_v2.parquet,archive-only,false,DIRECTION-A3-APPLY-ORPHAN-ARCHIVE,
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=IC2607/IC2607_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34059
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=IF2607/IF2607_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34066
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=IH2607/IH2607_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34073
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=IM2607/IM2607_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34080
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=AP2610/AP2610_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33905
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33968
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=CJ2609/CJ2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33975
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=CY2609/CY2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33996
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=FG2609/FG2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34031
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=JR2607/JR2607_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34108
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ma/contract=MA2609/MA2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34164
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=oi/contract=OI2609/OI2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34185
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pf/contract=PF2609/PF2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34220
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pk/contract=PK2610/PK2610_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34234
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pl/contract=PL2609/PL2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34241
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pm/contract=PM2607/PM2607_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34248
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=sa/contract=SA2609/SA2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34339
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ta/contract=TA2609/TA2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34416
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33870
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=b/contract=B2609/B2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33919
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=bb/contract=BB2609/BB2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33926
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=bz/contract=BZ2608/BZ2608_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33954
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=c/contract=C2609/C2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33961
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=cs/contract=CS2609/CS2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,33982
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=eb/contract=EB2608/EB2608_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34003
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=eg/contract=EG2609/EG2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34017
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=fb/contract=FB2609/FB2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34024
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=i/contract=I2609/I2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34052
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=j/contract=J2609/J2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34087
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jd/contract=JD2609/JD2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34094
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=JM2609/JM2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34101
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l/contract=L2609/L2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34115
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34129
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=lg/contract=LG2609/LG2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34136
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=lh/contract=LH2609/LH2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34143
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=m/contract=M2609/M2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34157
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=p/contract=P2609/P2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34199
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pg/contract=PG2608/PG2608_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34227
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp/contract=PP2609/PP2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34255
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=v/contract=V2609/V2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34451
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=GFEX/symbol=lc/contract=LC2609/LC2609_15m_20260401_20260707.parquet,supersede,false,DIRECTION-A3-APPLY-DUP-SUPERSEDE,34122
