product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
rb,get_continuous_contracts,continuous_contracts,2024-01-02,2024-01-31,2026-06-24,90,0,1,0,0,needs_rerun
hc,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
i,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
j,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
jm,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ta,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ma,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
eg,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
l,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
pp,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
v,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
sa,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
fg,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
sc,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
fu,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
bu,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
pg,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
cu,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
al,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
zn,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
pb,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ni,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
sn,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
au,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ag,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
