candidate_id,product,period,contract,standard_path,db_market_data_file_id,before_checksum,after_checksum,before_file_size,after_file_size,before_row_count,after_row_count,before_min_datetime,after_min_datetime,before_max_datetime,after_max_datetime,manifest_updates,processed_summary_updates,db_updates,writes_parquet,writes_manifest,writes_processed_summary,writes_database,applied,skipped,skip_reason,blocked_reason,error_message,backup_paths
source_interval_0001,ic,15m,ic.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,41045,db43a8f645534984705f61fe118487fd06a62f80360c501d756e37c97c14a918,ecdec8c0ef54209eaf0f090397b160dffad0fd96c53898df5e29d51ef06f2b68,595170,595441,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,0,0,0,False,False,False,False,False,True,already_applied,,,
source_interval_0002,if,15m,if.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,41051,c94cae2423c2cbabed99894556e58c470c8f3db80b3519499c279fdf2e0d8a8f,ed4a042f6c16a51885b904dc7fb2190e6a7d0723ce89dc9730e06c5cdae5d2b8,555874,556145,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,0,0,0,False,False,False,False,False,True,already_applied,,,
source_interval_0003,ih,15m,ih.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,41057,efe48395361c02804a7aca4b0cde228e9b2457176edc093ee53183a4077d8c97,ceb88ee71f629e315812a0c01bf57432cc80976ca20b6295a9e3956ef58fc54e,507058,507329,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,0,0,0,False,False,False,False,False,True,already_applied,,,
source_interval_0004,im,15m,im.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,41063,efda96002d4317ea0ef60fb9349d78375e33a94c62974b884e9f08bc8c4cb2d4,f9a1359275a1b7892db31b0a5ff059c5cfa014acb5e21fc5a484c58f096d3312,616443,616714,13568,13568,2023-01-03 09:45:00,2023-01-03 09:45:00,2026-07-07 15:00:00,2026-07-07 15:00:00,0,0,0,False,False,False,False,False,True,already_applied,,,
source_interval_0005,ap,15m,ap.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,40914,a56fbf5dd7754e503ae459f68cac9f290c3e7040cd257221063a08d33e3d72e3,33ab378e80050bcd42006738edc7ac67ae13d6ab0e2626d750be94f704f7402d,487462,487733,12720,12720,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,0,0,0,False,False,False,False,False,True,already_applied,,,
source_interval_0006,cf,15m,cf.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,40967,48109bd218d738db576c88bd48375d565cf30e6f313218abb3386993b419e1af,04091d2201cf83e22aafb40e4f60338c7b9fd5085a3af557e5bf33217c7f95f3,683421,683692,19312,19312,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0006/01_cf_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cf_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0006/02_rqdata_cf_v2_history_20230103_20260707.csv
source_interval_0007,cj,15m,cj.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20230103_20260707_v2.parquet,40973,44c680abc5af55c4bea3893cc84f17536c8233e58b5c99f6928f57133de0ae65,348851ae701970f7c999026642babb866dbf9bd3362bb813fe5c4086b1fd4478,445096,445367,12720,12720,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0007/01_cj_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cj_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0007/02_rqdata_cj_v2_history_20230103_20260707.csv
source_interval_0008,cy,15m,cy.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_15m_20230103_20260707_v2.parquet,40991,cb6162efeddf71bff521988e01c615c7bdd45112eb7fffb7871b82e8969a24d2,9dca7f46bf7b4f9836a357a7a11e917d62bcbb4929310ec62ba6caddbb9c15b6,564250,564521,19312,19312,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0008/01_cy_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cy_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0008/02_rqdata_cy_v2_history_20230103_20260707.csv
source_interval_0009,fg,15m,fg.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_15m_20230103_20260707_v2.parquet,41021,f41b77b5d1cf82886c2063ac53c4e4d2136864654cec2961605369742519b235,61f62132f9d816ae3b9e35a497c3288bb030ba36ce546ac22647bff27d902f08,707110,707381,19312,19312,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0009/01_fg_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_fg_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0009/02_rqdata_fg_v2_history_20230103_20260707.csv
source_interval_0010,jr,15m,jr.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_15m_20230103_20260707_v2.parquet,41081,2205ca2fa98c9ee9e74be429c48496bd7f67700d58a211968bb4844820ac44bd,7c0ec5aae41438a8dc4f4914d112cde83de8312690dd4b4494f02007e8c6c31e,122056,122327,12720,12720,2023-01-03 09:15:00,2023-01-03 09:15:00,2026-07-07 15:00:00,2026-07-07 15:00:00,1,0,1,True,True,False,True,True,False,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_15m_20230103_20260707_v2.parquet=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0010/01_jr_MAIN_15m_20230103_20260707_v2.parquet|/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_jr_v2_history_20230103_20260707.csv=>data/reports/source_interval_provenance_repair_apply_full_20260712/backups/source_interval_0010/02_rqdata_jr_v2_history_20230103_20260707.csv
