candidate_id,product,period,contract,standard_path,affected_target_rows,affected_years,db_market_data_file_id,data_role,quality_status,row_count,duckdb_row_count,min_datetime,max_datetime,columns_before,source_interval_status,observed_source_interval_values,proposed_source_interval,checksum_before,file_size_before,manifest_path,processed_summary_path,manifest_checksum_matches_before,processed_summary_checksum_matches_before,db_checksum_sync_required,manifest_checksum_sync_required,processed_summary_checksum_sync_required,db_file_size_sync_required,apply_eligible,blocked_reason,read_error
source_interval_0001,ic,15m,ic.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41045,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,db43a8f645534984705f61fe118487fd06a62f80360c501d756e37c97c14a918,595170,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ic_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0002,if,15m,if.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41051,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,c94cae2423c2cbabed99894556e58c470c8f3db80b3519499c279fdf2e0d8a8f,555874,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_if_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0003,ih,15m,ih.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41057,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,efe48395361c02804a7aca4b0cde228e9b2457176edc093ee53183a4077d8c97,507058,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ih_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0004,im,15m,im.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41063,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,efda96002d4317ea0ef60fb9349d78375e33a94c62974b884e9f08bc8c4cb2d4,616443,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_im_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0005,ap,15m,ap.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40914,primary,passed,12720,12720,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,a56fbf5dd7754e503ae459f68cac9f290c3e7040cd257221063a08d33e3d72e3,487462,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ap_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0006,cf,15m,cf.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40967,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,48109bd218d738db576c88bd48375d565cf30e6f313218abb3386993b419e1af,683421,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cf_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0007,cj,15m,cj.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40973,primary,passed,12720,12720,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,44c680abc5af55c4bea3893cc84f17536c8233e58b5c99f6928f57133de0ae65,445096,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cj_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0008,cy,15m,cy.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40991,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,cb6162efeddf71bff521988e01c615c7bdd45112eb7fffb7871b82e8969a24d2,564250,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cy_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0009,fg,15m,fg.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41021,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,f41b77b5d1cf82886c2063ac53c4e4d2136864654cec2961605369742519b235,707110,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_fg_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0010,jr,15m,jr.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41081,primary,passed,12720,12720,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,2205ca2fa98c9ee9e74be429c48496bd7f67700d58a211968bb4844820ac44bd,122056,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_jr_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
source_interval_0011,ma,15m,ma.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ma/contract=ma.MAIN/ma_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41129,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at,source_interval_column_missing,,1m,3d16c8ffc4edc957070e6530e090fb47ffe01e076667390d1b1c65aaee9c7a8c,709491,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ma_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,True,,
