candidate_id,product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,quality_status,row_count,db_market_data_file_id,standard_path,root_cause_bucket,candidate_apply_eligible,candidate_blocked_reason
source_interval_0001,ic,dominant_main,ic.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,13568,41045,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0001,ic,dominant_main,ic.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,13568,41045,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0001,ic,dominant_main,ic.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,13568,41045,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0001,ic,dominant_main,ic.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,13568,41045,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0002,if,dominant_main,if.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,13568,41051,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0002,if,dominant_main,if.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,13568,41051,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0002,if,dominant_main,if.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,13568,41051,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0002,if,dominant_main,if.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,13568,41051,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0003,ih,dominant_main,ih.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,13568,41057,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0003,ih,dominant_main,ih.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,13568,41057,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0003,ih,dominant_main,ih.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,13568,41057,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0003,ih,dominant_main,ih.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,13568,41057,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0004,im,dominant_main,im.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,13568,41063,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0004,im,dominant_main,im.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,13568,41063,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
