candidate_id,product,period,contract,standard_path,affected_target_rows,affected_years,db_market_data_file_id,data_role,quality_status,row_count,duckdb_row_count,min_datetime,max_datetime,columns_before,source_interval_status,observed_source_interval_values,proposed_source_interval,checksum_before,file_size_before,manifest_path,processed_summary_path,manifest_checksum_matches_before,processed_summary_checksum_matches_before,db_checksum_sync_required,manifest_checksum_sync_required,processed_summary_checksum_sync_required,db_file_size_sync_required,apply_eligible,blocked_reason,read_error
source_interval_0001,ic,15m,ic.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41045,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,ecdec8c0ef54209eaf0f090397b160dffad0fd96c53898df5e29d51ef06f2b68,595441,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ic_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0002,if,15m,if.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41051,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,ed4a042f6c16a51885b904dc7fb2190e6a7d0723ce89dc9730e06c5cdae5d2b8,556145,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_if_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0003,ih,15m,ih.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41057,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,ceb88ee71f629e315812a0c01bf57432cc80976ca20b6295a9e3956ef58fc54e,507329,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ih_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0004,im,15m,im.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41063,primary,passed,13568,13568,2023-01-03 09:45:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,f9a1359275a1b7892db31b0a5ff059c5cfa014acb5e21fc5a484c58f096d3312,616714,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_im_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0005,ap,15m,ap.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40914,primary,passed,12720,12720,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,33ab378e80050bcd42006738edc7ac67ae13d6ab0e2626d750be94f704f7402d,487733,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_ap_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0006,cf,15m,cf.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40967,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,04091d2201cf83e22aafb40e4f60338c7b9fd5085a3af557e5bf33217c7f95f3,683692,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cf_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0007,cj,15m,cj.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40973,primary,passed,12720,12720,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,348851ae701970f7c999026642babb866dbf9bd3362bb813fe5c4086b1fd4478,445367,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cj_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0008,cy,15m,cy.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,40991,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,9dca7f46bf7b4f9836a357a7a11e917d62bcbb4929310ec62ba6caddbb9c15b6,564521,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_cy_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0009,fg,15m,fg.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41021,primary,passed,19312,19312,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,61f62132f9d816ae3b9e35a497c3288bb030ba36ce546ac22647bff27d902f08,707381,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_fg_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
source_interval_0010,jr,15m,jr.MAIN,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_15m_20230103_20260707_v2.parquet,4,2023|2024|2025|2026,41081,primary,passed,12720,12720,2023-01-03 09:15:00,2026-07-07 15:00:00,symbol|contract|exchange|vt_symbol|datetime|trading_day|interval|period|open|high|low|close|volume|turnover|open_interest|source|provider|source_symbol|data_role|quality_status|data_version|created_at|source_interval,already_source_interval_1m,1m,1m,7c0ec5aae41438a8dc4f4914d112cde83de8312690dd4b4494f02007e8c6c31e,122327,/Volumes/扩展盘/guiyi-quant-workstation/data/manifests/rqdata_jr_v2_history_20230103_20260707.csv,,matched,not_found,True,True,False,True,False,already_source_interval_1m,
