product,asset_scope,contract,period,gate_status,blocked_reasons,manifest_status,manifest_quality_status,manifest_data_role,manifest_row_count,db_market_data_file_id,db_quality_status,db_row_count,data_quality_report_status,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,standard_path
a,dominant_main,a.MAIN,1d,active_passed,,success,passed,primary,848,40887.0,passed,848.0,passed,848,2023-01-03T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20230103_20260707_v2.parquet
a,actual_contract,A2305,1d,active_passed,,success,passed,primary,62,41264.0,passed,62.0,passed,62,2023-01-03T00:00:00,2023-04-06T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20230103_20230406.parquet
a,actual_contract,A2307,1d,active_passed,,success,passed,primary,44,41266.0,passed,44.0,passed,44,2023-04-07T00:00:00,2023-06-12T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2307/A2307_1d_20230407_20230612.parquet
a,actual_contract,A2309,1d,active_passed,,success,passed,primary,45,41268.0,passed,45.0,passed,45,2023-06-13T00:00:00,2023-08-16T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2309/A2309_1d_20230613_20230816.parquet
a,actual_contract,A2311,1d,active_passed,,success,passed,primary,38,41270.0,passed,38.0,passed,38,2023-08-17T00:00:00,2023-10-17T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2311/A2311_1d_20230817_20231017.parquet
a,actual_contract,A2401,1d,active_passed,,success,passed,primary,41,41272.0,passed,41.0,passed,41,2023-10-18T00:00:00,2023-12-13T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2401/A2401_1d_20231018_20231213.parquet
a,actual_contract,A2403,1d,active_passed,,success,passed,primary,44,41274.0,passed,44.0,passed,44,2023-12-14T00:00:00,2024-02-22T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2403/A2403_1d_20231214_20240222.parquet
a,actual_contract,A2405,1d,active_passed,,success,passed,primary,39,41276.0,passed,39.0,passed,39,2024-02-23T00:00:00,2024-04-19T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2405/A2405_1d_20240223_20240419.parquet
a,actual_contract,A2407,1d,active_passed,,success,passed,primary,35,41278.0,passed,35.0,passed,35,2024-04-22T00:00:00,2024-06-13T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2407/A2407_1d_20240422_20240613.parquet
a,actual_contract,A2409,1d,active_passed,,success,passed,primary,43,41280.0,passed,43.0,passed,43,2024-06-14T00:00:00,2024-08-13T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2409/A2409_1d_20240614_20240813.parquet
a,actual_contract,A2501,1d,active_passed,,success,passed,primary,83,41282.0,passed,83.0,passed,83,2024-08-14T00:00:00,2024-12-17T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2501/A2501_1d_20240814_20241217.parquet
a,actual_contract,A2505,1d,active_passed,,success,passed,primary,77,41284.0,passed,77.0,passed,77,2024-12-18T00:00:00,2025-04-15T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2505/A2505_1d_20241218_20250415.parquet
a,actual_contract,A2507,1d,active_passed,,success,passed,primary,33,41286.0,passed,33.0,passed,33,2025-04-16T00:00:00,2025-06-05T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2507/A2507_1d_20250416_20250605.parquet
a,actual_contract,A2509,1d,active_passed,,success,passed,primary,42,41288.0,passed,42.0,passed,42,2025-06-06T00:00:00,2025-08-04T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2509/A2509_1d_20250606_20250804.parquet
a,actual_contract,A2511,1d,active_passed,,success,passed,primary,43,41290.0,passed,43.0,passed,43,2025-08-05T00:00:00,2025-10-10T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2511/A2511_1d_20250805_20251010.parquet
a,actual_contract,A2601,1d,active_passed,,success,passed,primary,49,41292.0,passed,49.0,passed,49,2025-10-13T00:00:00,2025-12-18T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2601/A2601_1d_20251013_20251218.parquet
a,actual_contract,A2605,1d,active_passed,,success,passed,primary,72,41294.0,passed,72.0,passed,72,2025-12-19T00:00:00,2026-04-10T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2605/A2605_1d_20251219_20260410.parquet
a,actual_contract,A2607,1d,active_passed,,success,passed,primary,44,41296.0,passed,44.0,passed,44,2026-04-13T00:00:00,2026-06-16T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2607/A2607_1d_20260413_20260616.parquet
a,actual_contract,A2609,1d,active_passed,,success,passed,primary,76,33873.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260401_20260707.parquet
a,actual_contract,A2609,1d,active_passed,,success,passed,primary,14,41298.0,passed,14.0,passed,14,2026-06-17T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2609/A2609_1d_20260617_20260707.parquet
ad,dominant_main,ad.MAIN,1d,active_passed,,success,passed,primary,262,40893.0,passed,262.0,passed,262,2025-06-10T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet
ad,actual_contract,AD2511,1d,active_passed,,success,passed,primary,71,41300.0,passed,71.0,passed,71,2025-06-10T00:00:00,2025-09-16T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2511/AD2511_1d_20250610_20250916.parquet
ad,actual_contract,AD2512,1d,active_passed,,success,passed,primary,23,41302.0,passed,23.0,passed,23,2025-09-17T00:00:00,2025-10-27T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2512/AD2512_1d_20250917_20251027.parquet
ad,actual_contract,AD2601,1d,active_passed,,success,passed,primary,22,41304.0,passed,22.0,passed,22,2025-10-28T00:00:00,2025-11-26T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2601/AD2601_1d_20251028_20251126.parquet
ad,actual_contract,AD2602,1d,active_passed,,success,passed,primary,22,41306.0,passed,22.0,passed,22,2025-11-27T00:00:00,2025-12-26T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2602/AD2602_1d_20251127_20251226.parquet
ad,actual_contract,AD2603,1d,active_passed,,success,passed,primary,22,41308.0,passed,22.0,passed,22,2025-12-29T00:00:00,2026-01-29T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2603/AD2603_1d_20251229_20260129.parquet
ad,actual_contract,AD2604,1d,active_passed,,success,passed,primary,15,41310.0,passed,15.0,passed,15,2026-01-30T00:00:00,2026-02-27T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2604/AD2604_1d_20260130_20260227.parquet
ad,actual_contract,AD2605,1d,active_passed,,success,passed,primary,22,41312.0,passed,22.0,passed,22,2026-03-02T00:00:00,2026-03-31T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2605/AD2605_1d_20260302_20260331.parquet
ad,actual_contract,AD2606,1d,active_passed,,success,passed,primary,22,41314.0,passed,22.0,passed,22,2026-04-01T00:00:00,2026-05-06T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2606/AD2606_1d_20260401_20260506.parquet
ad,actual_contract,AD2607,1d,active_passed,,success,passed,primary,17,41316.0,passed,17.0,passed,17,2026-05-07T00:00:00,2026-05-29T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2607/AD2607_1d_20260507_20260529.parquet
ad,actual_contract,AD2608,1d,active_passed,,success,passed,primary,17,41318.0,passed,17.0,passed,17,2026-06-01T00:00:00,2026-06-24T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2608/AD2608_1d_20260601_20260624.parquet
ad,actual_contract,AD2609,1d,active_passed,,success,passed,primary,76,33880.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2609/AD2609_1d_20260401_20260707.parquet
ad,actual_contract,AD2609,1d,active_passed,,success,passed,primary,1,41320.0,passed,1.0,passed,1,2026-07-07T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2609/AD2609_1d_20260707_20260707.parquet
ag,dominant_main,ag.MAIN,1d,active_passed,,success,passed,primary,848,40899.0,passed,848.0,passed,848,2023-01-03T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20230103_20260707_v2.parquet
ag,actual_contract,AG2608,1d,active_passed,,success,passed,primary,76,33887.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2608/AG2608_1d_20260401_20260707.parquet
ag,actual_contract,AG2608,1d,active_passed,,success,passed,primary,38,41322.0,passed,38.0,passed,38,2026-05-14T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2608/AG2608_1d_20260514_20260707.parquet
al,dominant_main,al.MAIN,1d,active_passed,,success,passed,primary,848,40905.0,passed,848.0,passed,848,2023-01-03T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20230103_20260707_v2.parquet
al,actual_contract,AL2608,1d,active_passed,,success,passed,primary,76,33894.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2608/AL2608_1d_20260401_20260707.parquet
al,actual_contract,AL2608,1d,active_passed,,success,passed,primary,11,41326.0,passed,11.0,passed,11,2026-06-23T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2608/AL2608_1d_20260623_20260707.parquet
ao,dominant_main,ao.MAIN,1d,active_passed,,success,passed,primary,738,40911.0,passed,738.0,passed,738,2023-06-19T00:00:00,2026-07-07T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1d_20230103_20260707_v2.parquet
ao,actual_contract,AO2311,1d,active_passed,,success,passed,primary,70,41330.0,passed,70.0,passed,70,2023-06-19T00:00:00,2023-09-26T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2311/AO2311_1d_20230619_20230926.parquet
ao,actual_contract,AO2312,1d,active_passed,,success,passed,primary,17,41332.0,passed,17.0,passed,17,2023-09-27T00:00:00,2023-10-27T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2312/AO2312_1d_20230927_20231027.parquet
ao,actual_contract,AO2401,1d,active_passed,,success,passed,primary,22,41334.0,passed,22.0,passed,22,2023-10-30T00:00:00,2023-11-28T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=AO2401/AO2401_1d_20231030_20231128.parquet
