product,product_status,active_passed,audit_pending,failed,missing,total_assets
a,active_passed,2,0,0,0,2
ad,active_passed,2,0,0,0,2
ag,active_passed,2,0,0,0,2
al,active_passed,2,0,0,0,2
ao,active_passed,2,0,0,0,2
ap,active_passed,2,0,0,0,2
au,active_passed,2,0,0,0,2
b,active_passed,2,0,0,0,2
bb,active_partial,1,1,0,0,2
bc,active_passed,2,0,0,0,2
br,active_passed,2,0,0,0,2
bu,active_passed,2,0,0,0,2
bz,active_passed,2,0,0,0,2
c,active_passed,2,0,0,0,2
cf,active_passed,2,0,0,0,2
cj,active_passed,2,0,0,0,2
cs,active_passed,2,0,0,0,2
cu,active_passed,2,0,0,0,2
cy,active_passed,2,0,0,0,2
eb,active_passed,2,0,0,0,2
ec,active_passed,2,0,0,0,2
eg,active_passed,2,0,0,0,2
fb,active_passed,2,0,0,0,2
fg,active_passed,2,0,0,0,2
fu,active_passed,2,0,0,0,2
hc,active_passed,2,0,0,0,2
i,active_passed,2,0,0,0,2
ic,active_passed,2,0,0,0,2
if,active_passed,2,0,0,0,2
ih,active_passed,2,0,0,0,2
im,active_passed,2,0,0,0,2
j,active_passed,2,0,0,0,2
jd,active_passed,2,0,0,0,2
jm,active_passed,3,0,0,0,3
jr,active_passed,2,0,0,0,2
l,active_partial,2,1,0,0,3
l_f,active_passed,2,0,0,0,2
lc,active_passed,2,0,0,0,2
lg,active_passed,2,0,0,0,2
lh,active_passed,2,0,0,0,2
lu,active_passed,2,0,0,0,2
m,active_passed,2,0,0,0,2
ma,active_passed,2,0,0,0,2
ni,active_passed,2,0,0,0,2
nr,active_passed,2,0,0,0,2
oi,active_passed,2,0,0,0,2
op,active_passed,2,0,0,0,2
p,active_passed,2,0,0,0,2
pb,active_passed,2,0,0,0,2
pd,active_passed,2,0,0,0,2
pf,active_passed,2,0,0,0,2
pg,active_passed,2,0,0,0,2
pk,active_passed,2,0,0,0,2
pl,active_passed,2,0,0,0,2
pm,active_passed,2,0,0,0,2
pp,active_partial,2,1,0,0,3
pp_f,active_passed,2,0,0,0,2
pr,active_passed,2,0,0,0,2
ps,active_passed,2,0,0,0,2
pt,active_passed,2,0,0,0,2
px,active_passed,2,0,0,0,2
rb,active_passed,2,0,0,0,2
ri,active_passed,2,0,0,0,2
rm,active_passed,2,0,0,0,2
rr,active_passed,2,0,0,0,2
rs,active_partial,1,1,0,0,2
ru,active_passed,2,0,0,0,2
sa,active_passed,2,0,0,0,2
sc,active_passed,2,0,0,0,2
sf,active_passed,2,0,0,0,2
sh,active_passed,2,0,0,0,2
si,active_passed,2,0,0,0,2
sm,active_passed,2,0,0,0,2
sn,active_passed,2,0,0,0,2
sp,active_passed,2,0,0,0,2
sr,active_passed,2,0,0,0,2
ss,active_passed,2,0,0,0,2
t,active_passed,2,0,0,0,2
ta,active_passed,2,0,0,0,2
tf,active_passed,2,0,0,0,2
tl,active_passed,2,0,0,0,2
ts,active_passed,2,0,0,0,2
ur,active_passed,2,0,0,0,2
v,active_partial,2,1,0,0,3
v_f,active_passed,2,0,0,0,2
wh,active_partial,1,1,0,0,2
wr,active_partial,1,1,0,0,2
y,active_passed,2,0,0,0,2
zc,active_partial,1,1,0,0,2
zn,active_passed,2,0,0,0,2
