product,actual_contracts,active_actual_periods,stage9_status,blocked_reasons
a,A2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ad,AD2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ag,AG2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
al,AL2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ao,AO2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ap,AP2610,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
au,AU2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
b,B2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bb,BB2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bc,BC2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
br,BR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bu,BU2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bz,BZ2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
c,C2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cf,CF2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cj,CJ2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cs,CS2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cu,CU2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cy,CY2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
eb,EB2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ec,EC2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
eg,EG2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
fb,FB2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
fg,FG2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
fu,FU2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
hc,HC2610,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
i,I2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ic,IC2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
if,IF2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ih,IH2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
im,IM2607,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
j,J2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
