product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,target_reason,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,db_market_data_file_id,standard_path,recommended_next_task
a,dominant_main,a.MAIN,1d,2020,covered_passed,,2020-01-02,2020-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1d,2021,covered_passed,,2021-01-01,2021-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1d,2022,covered_passed,,2022-01-01,2022-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1d,2023,covered_passed,,2023-01-01,2023-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1d,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1d,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1d,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56426,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2020,covered_passed,,2020-01-02,2020-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2021,covered_passed,,2021-01-01,2021-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2022,covered_passed,,2022-01-01,2022-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2023,covered_passed,,2023-01-01,2023-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2024,covered_passed,,2024-01-01,2024-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2025,covered_passed,,2025-01-01,2025-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
a,dominant_main,a.MAIN,1w,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2020-01-03,2026-07-10,334,56427,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20200102_20260711_v2.parquet,
