product,year,dataset,status,issue_type,db_available,recommended_next_task
a,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
a,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
a,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
a,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
a,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
a,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
a,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
a,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
a,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
a,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
a,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ad,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ad,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ag,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ag,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ag,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ag,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ag,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
al,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ao,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
au,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
au,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
au,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
au,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
b,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
b,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
b,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
b,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
b,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
