product,contract_role,symbol_or_contract,period,year,status,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,standard_path,registration_scope,root_cause_bucket,recommended_next_task
l,actual_contract,L2602F,15m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-12-26,981,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_15m_20251029_20251226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2602F,1m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-12-26,14715,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_1m_20251029_20251226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2602F,30m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-12-26,512,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_30m_20251029_20251226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2602F,5m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-12-26,2943,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_5m_20251029_20251226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2602F,60m,2025,missing_db_registration,manifest,rqdata,primary,passed,2025-10-29,2025-12-26,299,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2602F/L2602F_60m_20251029_20251226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2603F,15m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-10,2026-02-26,130,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l_f/contract=L2603F/L2603F_15m_20260211_20260226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2603F,1m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-10,2026-02-26,1950,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=l_f/contract=L2603F/L2603F_1m_20260211_20260226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2603F,30m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-10,2026-02-26,68,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=l_f/contract=L2603F/L2603F_30m_20260211_20260226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2603F,5m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-10,2026-02-26,390,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=l_f/contract=L2603F/L2603F_5m_20260211_20260226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
l,actual_contract,L2603F,60m,2026,missing_db_registration,manifest,rqdata,primary,passed,2026-02-10,2026-02-26,40,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=l_f/contract=L2603F/L2603F_60m_20260211_20260226.parquet,candidate_only_no_write,manifest_physical_asset_without_market_data_file_registration,controlled_metadata_registration_plan
