product,period,status,tqsdk_rows,trader_rows,overlap_rows,overlap_ratio,max_price_diff,max_volume_diff,warnings
rb,5m,no_overlap,1218,344534,0,0,,,missing session_id; used trading_day-only grouping
rb,15m,no_overlap,406,85496,0,0,,,missing session_id; used trading_day-only grouping
rb,30m,no_overlap,212,44836,0,0,,,missing session_id; used trading_day-only grouping
rb,60m,no_overlap,106,22606,0,0,,,missing session_id; used trading_day-only grouping
hc,5m,no_overlap,1218,202200,0,0,,,missing session_id; used trading_day-only grouping
hc,15m,no_overlap,406,67400,0,0,,,missing session_id; used trading_day-only grouping
hc,30m,no_overlap,212,35184,0,0,,,missing session_id; used trading_day-only grouping
hc,60m,no_overlap,106,17774,0,0,,,missing session_id; used trading_day-only grouping
i,5m,no_overlap,1218,207498,0,0,,,missing session_id; used trading_day-only grouping
i,15m,no_overlap,406,69166,0,0,,,missing session_id; used trading_day-only grouping
i,30m,no_overlap,212,36119,0,0,,,missing session_id; used trading_day-only grouping
i,60m,no_overlap,106,18744,0,0,,,missing session_id; used trading_day-only grouping
j,5m,no_overlap,1218,242922,0,0,,,missing session_id; used trading_day-only grouping
j,15m,no_overlap,406,80974,0,0,,,missing session_id; used trading_day-only grouping
j,30m,no_overlap,212,42326,0,0,,,missing session_id; used trading_day-only grouping
j,60m,no_overlap,106,21921,0,0,,,missing session_id; used trading_day-only grouping
jm,5m,no_overlap,1218,214023,0,0,,,missing session_id; used trading_day-only grouping
jm,15m,no_overlap,406,71341,0,0,,,missing session_id; used trading_day-only grouping
jm,30m,no_overlap,212,37274,0,0,,,missing session_id; used trading_day-only grouping
jm,60m,no_overlap,106,19329,0,0,,,missing session_id; used trading_day-only grouping
TA,5m,no_overlap,1218,280959,0,0,,,missing session_id; used trading_day-only grouping
TA,15m,no_overlap,406,93653,0,0,,,missing session_id; used trading_day-only grouping
TA,30m,no_overlap,212,49190,0,0,,,missing session_id; used trading_day-only grouping
TA,60m,no_overlap,106,25380,0,0,,,missing session_id; used trading_day-only grouping
MA,5m,no_overlap,1218,227508,0,0,,,missing session_id; used trading_day-only grouping
MA,15m,no_overlap,406,75836,0,0,,,missing session_id; used trading_day-only grouping
MA,30m,no_overlap,212,39691,0,0,,,missing session_id; used trading_day-only grouping
MA,60m,no_overlap,106,20656,0,0,,,missing session_id; used trading_day-only grouping
pp,5m,no_overlap,1218,172110,0,0,,,missing session_id; used trading_day-only grouping
pp,15m,no_overlap,406,57370,0,0,,,missing session_id; used trading_day-only grouping
pp,30m,no_overlap,212,30176,0,0,,,missing session_id; used trading_day-only grouping
pp,60m,no_overlap,106,15192,0,0,,,missing session_id; used trading_day-only grouping
v,5m,no_overlap,1218,224064,0,0,,,missing session_id; used trading_day-only grouping
v,15m,no_overlap,406,74688,0,0,,,missing session_id; used trading_day-only grouping
v,30m,no_overlap,212,39412,0,0,,,missing session_id; used trading_day-only grouping
v,60m,no_overlap,106,19808,0,0,,,missing session_id; used trading_day-only grouping
eg,5m,no_overlap,1218,118722,0,0,,,missing session_id; used trading_day-only grouping
eg,15m,no_overlap,406,39574,0,0,,,missing session_id; used trading_day-only grouping
eg,30m,no_overlap,212,20688,0,0,,,missing session_id; used trading_day-only grouping
eg,60m,no_overlap,106,10450,0,0,,,missing session_id; used trading_day-only grouping
SA,5m,no_overlap,1218,104121,0,0,,,missing session_id; used trading_day-only grouping
SA,15m,no_overlap,406,34707,0,0,,,missing session_id; used trading_day-only grouping
SA,30m,no_overlap,212,18140,0,0,,,missing session_id; used trading_day-only grouping
SA,60m,no_overlap,106,9162,0,0,,,missing session_id; used trading_day-only grouping
fu,5m,no_overlap,1218,127917,0,0,,,missing session_id; used trading_day-only grouping
fu,15m,no_overlap,406,42639,0,0,,,missing session_id; used trading_day-only grouping
fu,30m,no_overlap,212,22276,0,0,,,missing session_id; used trading_day-only grouping
fu,60m,no_overlap,106,11252,0,0,,,missing session_id; used trading_day-only grouping
bu,5m,no_overlap,1218,191571,0,0,,,missing session_id; used trading_day-only grouping
bu,15m,no_overlap,406,63857,0,0,,,missing session_id; used trading_day-only grouping
bu,30m,no_overlap,212,33368,0,0,,,missing session_id; used trading_day-only grouping
bu,60m,no_overlap,106,18206,0,0,,,missing session_id; used trading_day-only grouping
sc,5m,no_overlap,1932,207099,0,0,,,missing session_id; used trading_day-only grouping
sc,15m,no_overlap,644,69033,0,0,,,missing session_id; used trading_day-only grouping
sc,30m,no_overlap,331,35502,0,0,,,missing session_id; used trading_day-only grouping
sc,60m,no_overlap,174,19002,0,0,,,missing session_id; used trading_day-only grouping
cu,5m,no_overlap,1626,365834,0,0,,,missing session_id; used trading_day-only grouping
cu,15m,no_overlap,542,126205,0,0,,,missing session_id; used trading_day-only grouping
cu,30m,no_overlap,280,65824,0,0,,,missing session_id; used trading_day-only grouping
cu,60m,no_overlap,140,33284,0,0,,,missing session_id; used trading_day-only grouping
al,5m,no_overlap,1626,365920,0,0,,,missing session_id; used trading_day-only grouping
