datetime,datetime_nano,CZCE.MA105.open,CZCE.MA105.high,CZCE.MA105.low,CZCE.MA105.close,CZCE.MA105.volume,CZCE.MA105.open_oi,CZCE.MA105.close_oi
2021-01-29 21:00:00.000000000,1611925200000000000,2306,2306,2301,2302,16284,989481,984744
2021-01-29 21:01:00.000000000,1611925260000000000,2302,2309,2300,2308,11700,984744,979443
2021-01-29 21:02:00.000000000,1611925320000000000,2308,2312,2308,2310,14111,979443,972753
2021-01-29 21:03:00.000000000,1611925380000000000,2310,2314,2310,2313,8802,972753,969974
2021-01-29 21:04:00.000000000,1611925440000000000,2313,2315,2312,2314,9809,969974,968450
2021-01-29 21:05:00.000000000,1611925500000000000,2314,2317,2314,2314,11090,968450,965982
2021-01-29 21:06:00.000000000,1611925560000000000,2314,2315,2310,2312,8402,965982,962091
2021-01-29 21:07:00.000000000,1611925620000000000,2312,2317,2311,2316,8174,962091,960448
2021-01-29 21:08:00.000000000,1611925680000000000,2316,2318,2316,2316,7687,960448,958545
2021-01-29 21:09:00.000000000,1611925740000000000,2316,2320,2316,2319,10285,958545,955753
2021-01-29 21:10:00.000000000,1611925800000000000,2319,2319,2317,2318,5513,955753,954353
2021-01-29 21:11:00.000000000,1611925860000000000,2318,2318,2313,2313,8217,954353,950737
2021-01-29 21:12:00.000000000,1611925920000000000,2313,2316,2312,2315,4634,950737,948706
2021-01-29 21:13:00.000000000,1611925980000000000,2315,2317,2314,2316,3457,948706,947327
2021-01-29 21:14:00.000000000,1611926040000000000,2316,2319,2316,2319,4743,947327,946537
2021-01-29 21:15:00.000000000,1611926100000000000,2319,2319,2317,2318,3737,946537,945484
2021-01-29 21:16:00.000000000,1611926160000000000,2318,2318,2316,2316,4119,945484,944433
2021-01-29 21:17:00.000000000,1611926220000000000,2316,2318,2316,2318,2508,944433,944246
2021-01-29 21:18:00.000000000,1611926280000000000,2318,2318,2315,2315,2396,944246,943635
2021-01-29 21:19:00.000000000,1611926340000000000,2315,2318,2315,2317,1758,943635,943114
2021-01-29 21:20:00.000000000,1611926400000000000,2317,2318,2313,2313,3809,943114,941825
2021-01-29 21:21:00.000000000,1611926460000000000,2313,2317,2313,2317,1999,941825,940590
2021-01-29 21:22:00.000000000,1611926520000000000,2317,2317,2313,2314,1967,940590,939729
2021-01-29 21:23:00.000000000,1611926580000000000,2314,2315,2311,2313,3944,939729,937678
2021-01-29 21:24:00.000000000,1611926640000000000,2313,2315,2312,2314,3086,937678,935570
2021-01-29 21:25:00.000000000,1611926700000000000,2314,2315,2313,2314,2052,935570,935393
2021-01-29 21:26:00.000000000,1611926760000000000,2314,2316,2313,2314,2906,935393,934955
2021-01-29 21:27:00.000000000,1611926820000000000,2314,2315,2312,2312,1980,934955,934559
2021-01-29 21:28:00.000000000,1611926880000000000,2312,2314,2312,2313,2086,934559,934488
2021-01-29 21:29:00.000000000,1611926940000000000,2313,2315,2312,2314,2574,934488,933439
2021-01-29 21:30:00.000000000,1611927000000000000,2314,2315,2314,2314,1007,933439,933225
2021-01-29 21:31:00.000000000,1611927060000000000,2314,2316,2314,2315,1671,933225,932788
2021-01-29 21:32:00.000000000,1611927120000000000,2315,2316,2314,2315,2635,932788,932556
2021-01-29 21:33:00.000000000,1611927180000000000,2315,2315,2312,2314,2496,932556,931834
2021-01-29 21:34:00.000000000,1611927240000000000,2314,2315,2313,2313,1324,931834,931434
2021-01-29 21:35:00.000000000,1611927300000000000,2313,2315,2312,2315,1743,931434,930526
2021-01-29 21:36:00.000000000,1611927360000000000,2315,2317,2314,2316,2368,930526,929927
2021-01-29 21:37:00.000000000,1611927420000000000,2316,2318,2316,2318,2641,929927,929424
2021-01-29 21:38:00.000000000,1611927480000000000,2318,2319,2317,2318,3828,929424,928773
2021-01-29 21:39:00.000000000,1611927540000000000,2318,2320,2318,2318,4743,928773,927289
2021-01-29 21:40:00.000000000,1611927600000000000,2318,2319,2316,2318,2768,927289,926474
2021-01-29 21:41:00.000000000,1611927660000000000,2318,2318,2314,2314,2793,926474,925049
2021-01-29 21:42:00.000000000,1611927720000000000,2314,2317,2314,2317,1538,925049,924486
2021-01-29 21:43:00.000000000,1611927780000000000,2317,2317,2315,2316,793,924486,924400
2021-01-29 21:44:00.000000000,1611927840000000000,2316,2317,2315,2316,1402,924400,923870
2021-01-29 21:45:00.000000000,1611927900000000000,2316,2317,2315,2316,1495,923870,923162
2021-01-29 21:46:00.000000000,1611927960000000000,2316,2316,2314,2315,739,923162,922797
2021-01-29 21:47:00.000000000,1611928020000000000,2315,2317,2314,2316,1124,922797,922299
2021-01-29 21:48:00.000000000,1611928080000000000,2316,2316,2314,2314,1087,922299,921777
