datetime,datetime_nano,CZCE.SA401.open,CZCE.SA401.high,CZCE.SA401.low,CZCE.SA401.close,CZCE.SA401.volume,CZCE.SA401.open_oi,CZCE.SA401.close_oi
2023-10-09 09:00:00.000000000,1696813200000000000,1720,1749,1720,1744,37205,820169,820356
2023-10-09 09:01:00.000000000,1696813260000000000,1744,1757,1744,1750,17845,820356,821217
2023-10-09 09:02:00.000000000,1696813320000000000,1750,1750,1737,1740,12027,821217,823619
2023-10-09 09:03:00.000000000,1696813380000000000,1740,1749,1739,1749,8024,823619,824743
2023-10-09 09:04:00.000000000,1696813440000000000,1749,1753,1749,1752,7217,824743,825106
2023-10-09 09:05:00.000000000,1696813500000000000,1752,1757,1751,1753,7914,825106,826272
2023-10-09 09:06:00.000000000,1696813560000000000,1753,1764,1752,1761,9976,826272,826295
2023-10-09 09:07:00.000000000,1696813620000000000,1761,1761,1755,1757,5912,826295,826384
2023-10-09 09:08:00.000000000,1696813680000000000,1757,1758,1751,1751,5113,826384,827554
2023-10-09 09:09:00.000000000,1696813740000000000,1751,1758,1750,1757,6045,827554,829184
2023-10-09 09:10:00.000000000,1696813800000000000,1757,1758,1752,1753,3950,829184,829813
2023-10-09 09:11:00.000000000,1696813860000000000,1753,1754,1750,1750,3082,829813,830400
2023-10-09 09:12:00.000000000,1696813920000000000,1750,1753,1750,1750,3210,830400,830872
2023-10-09 09:13:00.000000000,1696813980000000000,1750,1751,1746,1746,4693,830872,831388
2023-10-09 09:14:00.000000000,1696814040000000000,1746,1752,1746,1752,4722,831388,833048
2023-10-09 09:15:00.000000000,1696814100000000000,1752,1752,1749,1750,2376,833048,833671
2023-10-09 09:16:00.000000000,1696814160000000000,1750,1750,1745,1749,3577,833671,834426
2023-10-09 09:17:00.000000000,1696814220000000000,1749,1752,1749,1751,2635,834426,835383
2023-10-09 09:18:00.000000000,1696814280000000000,1751,1756,1751,1755,3103,835383,835840
2023-10-09 09:19:00.000000000,1696814340000000000,1755,1756,1752,1754,2720,835840,835580
2023-10-09 09:20:00.000000000,1696814400000000000,1754,1756,1753,1755,2423,835580,835514
2023-10-09 09:21:00.000000000,1696814460000000000,1755,1755,1751,1753,2736,835514,835520
2023-10-09 09:22:00.000000000,1696814520000000000,1753,1755,1752,1754,1866,835520,835247
2023-10-09 09:23:00.000000000,1696814580000000000,1754,1755,1752,1753,1990,835247,835090
2023-10-09 09:24:00.000000000,1696814640000000000,1753,1758,1753,1758,2625,835090,835674
2023-10-09 09:25:00.000000000,1696814700000000000,1758,1760,1757,1758,4071,835674,835826
2023-10-09 09:26:00.000000000,1696814760000000000,1758,1758,1755,1757,2407,835826,835901
2023-10-09 09:27:00.000000000,1696814820000000000,1757,1758,1756,1758,1357,835901,835953
2023-10-09 09:28:00.000000000,1696814880000000000,1758,1760,1758,1759,1833,835953,836096
2023-10-09 09:29:00.000000000,1696814940000000000,1759,1759,1757,1758,1651,836096,836313
2023-10-09 09:30:00.000000000,1696815000000000000,1758,1758,1755,1756,1504,836313,836594
2023-10-09 09:31:00.000000000,1696815060000000000,1756,1756,1751,1751,2058,836594,837007
2023-10-09 09:32:00.000000000,1696815120000000000,1751,1753,1750,1751,2078,837007,837259
2023-10-09 09:33:00.000000000,1696815180000000000,1751,1753,1750,1752,1417,837259,837897
2023-10-09 09:34:00.000000000,1696815240000000000,1752,1752,1751,1751,959,837897,838208
2023-10-09 09:35:00.000000000,1696815300000000000,1751,1752,1750,1750,1025,838208,838488
2023-10-09 09:36:00.000000000,1696815360000000000,1750,1751,1746,1749,3598,838488,839658
2023-10-09 09:37:00.000000000,1696815420000000000,1749,1751,1748,1751,1265,839658,840292
2023-10-09 09:38:00.000000000,1696815480000000000,1751,1751,1748,1750,1233,840292,840462
2023-10-09 09:39:00.000000000,1696815540000000000,1750,1755,1750,1753,1479,840462,840287
2023-10-09 09:40:00.000000000,1696815600000000000,1753,1755,1752,1754,1302,840287,840170
2023-10-09 09:41:00.000000000,1696815660000000000,1754,1756,1754,1755,1532,840170,839605
2023-10-09 09:42:00.000000000,1696815720000000000,1755,1755,1752,1752,1056,839605,839624
2023-10-09 09:43:00.000000000,1696815780000000000,1752,1753,1748,1748,997,839624,839764
2023-10-09 09:44:00.000000000,1696815840000000000,1748,1751,1748,1750,1170,839764,839725
2023-10-09 09:45:00.000000000,1696815900000000000,1750,1751,1748,1748,988,839725,840104
2023-10-09 09:46:00.000000000,1696815960000000000,1748,1749,1747,1748,983,840104,840500
2023-10-09 09:47:00.000000000,1696816020000000000,1748,1748,1747,1747,842,840500,840922
2023-10-09 09:48:00.000000000,1696816080000000000,1747,1749,1746,1747,1730,840922,841551
2023-10-09 09:49:00.000000000,1696816140000000000,1747,1749,1746,1749,847,841551,841860
2023-10-09 09:50:00.000000000,1696816200000000000,1749,1751,1748,1751,693,841860,841958
2023-10-09 09:51:00.000000000,1696816260000000000,1751,1751,1750,1750,441,841958,842158
2023-10-09 09:52:00.000000000,1696816320000000000,1750,1751,1750,1751,460,842158,842307
2023-10-09 09:53:00.000000000,1696816380000000000,1751,1755,1750,1755,1984,842307,842231
2023-10-09 09:54:00.000000000,1696816440000000000,1755,1758,1754,1757,2748,842231,842270
2023-10-09 09:55:00.000000000,1696816500000000000,1757,1757,1755,1757,2057,842270,842249
2023-10-09 09:56:00.000000000,1696816560000000000,1757,1759,1757,1757,2911,842249,841634
