datetime,datetime_nano,CZCE.TA309.open,CZCE.TA309.high,CZCE.TA309.low,CZCE.TA309.close,CZCE.TA309.volume,CZCE.TA309.open_oi,CZCE.TA309.close_oi
2023-06-30 21:00:00.000000000,1688130000000000000,5578,5590,5574,5586,29483,1619641,1620566
2023-06-30 21:01:00.000000000,1688130060000000000,5586,5596,5584,5596,15312,1620566,1625558
2023-06-30 21:02:00.000000000,1688130120000000000,5596,5596,5588,5590,9521,1625558,1626801
2023-06-30 21:03:00.000000000,1688130180000000000,5590,5598,5590,5594,12293,1626801,1629200
2023-06-30 21:04:00.000000000,1688130240000000000,5594,5594,5588,5590,7942,1629200,1629565
2023-06-30 21:05:00.000000000,1688130300000000000,5590,5590,5582,5586,9317,1629565,1631099
2023-06-30 21:06:00.000000000,1688130360000000000,5586,5586,5582,5584,5266,1631099,1629509
2023-06-30 21:07:00.000000000,1688130420000000000,5584,5588,5580,5586,6047,1629509,1630945
2023-06-30 21:08:00.000000000,1688130480000000000,5586,5588,5584,5586,2762,1630945,1631275
2023-06-30 21:09:00.000000000,1688130540000000000,5586,5590,5584,5588,4017,1631275,1632369
2023-06-30 21:10:00.000000000,1688130600000000000,5588,5588,5586,5588,2503,1632369,1633082
2023-06-30 21:11:00.000000000,1688130660000000000,5588,5588,5584,5588,3624,1633082,1633924
2023-06-30 21:12:00.000000000,1688130720000000000,5588,5590,5586,5588,1953,1633924,1634937
2023-06-30 21:13:00.000000000,1688130780000000000,5588,5592,5582,5582,8334,1634937,1636076
2023-06-30 21:14:00.000000000,1688130840000000000,5582,5584,5580,5582,4028,1636076,1636988
2023-06-30 21:15:00.000000000,1688130900000000000,5582,5588,5582,5586,2268,1636988,1637581
2023-06-30 21:16:00.000000000,1688130960000000000,5586,5588,5586,5588,2291,1637581,1637908
2023-06-30 21:17:00.000000000,1688131020000000000,5588,5590,5586,5588,2280,1637908,1638155
2023-06-30 21:18:00.000000000,1688131080000000000,5588,5588,5586,5586,2117,1638155,1638861
2023-06-30 21:19:00.000000000,1688131140000000000,5586,5590,5584,5590,3468,1638861,1640164
2023-06-30 21:20:00.000000000,1688131200000000000,5590,5596,5590,5596,10117,1640164,1645082
2023-06-30 21:21:00.000000000,1688131260000000000,5596,5596,5588,5590,6019,1645082,1645370
2023-06-30 21:22:00.000000000,1688131320000000000,5590,5590,5586,5588,2966,1645370,1645882
2023-06-30 21:23:00.000000000,1688131380000000000,5588,5588,5582,5584,4410,1645882,1646855
2023-06-30 21:24:00.000000000,1688131440000000000,5584,5586,5582,5586,2023,1646855,1647464
2023-06-30 21:25:00.000000000,1688131500000000000,5586,5586,5582,5584,1726,1647464,1647492
2023-06-30 21:26:00.000000000,1688131560000000000,5584,5584,5582,5582,1269,1647492,1647464
2023-06-30 21:27:00.000000000,1688131620000000000,5582,5584,5582,5582,1080,1647464,1647840
2023-06-30 21:28:00.000000000,1688131680000000000,5582,5586,5582,5586,1808,1647840,1647895
2023-06-30 21:29:00.000000000,1688131740000000000,5586,5588,5582,5588,1286,1647895,1647990
2023-06-30 21:30:00.000000000,1688131800000000000,5588,5588,5584,5586,3038,1647990,1647741
2023-06-30 21:31:00.000000000,1688131860000000000,5586,5588,5584,5586,2180,1647741,1648331
2023-06-30 21:32:00.000000000,1688131920000000000,5586,5590,5586,5590,2018,1648331,1648892
2023-06-30 21:33:00.000000000,1688131980000000000,5590,5590,5586,5588,1263,1648892,1648973
2023-06-30 21:34:00.000000000,1688132040000000000,5588,5588,5582,5582,2535,1648973,1649265
2023-06-30 21:35:00.000000000,1688132100000000000,5582,5588,5582,5588,2210,1649265,1649652
2023-06-30 21:36:00.000000000,1688132160000000000,5588,5588,5584,5586,1979,1649652,1649509
2023-06-30 21:37:00.000000000,1688132220000000000,5586,5588,5584,5586,1994,1649509,1649396
2023-06-30 21:38:00.000000000,1688132280000000000,5586,5590,5586,5590,1678,1649396,1649766
2023-06-30 21:39:00.000000000,1688132340000000000,5590,5596,5588,5596,8306,1649766,1653572
2023-06-30 21:40:00.000000000,1688132400000000000,5596,5602,5596,5596,19386,1653572,1659175
2023-06-30 21:41:00.000000000,1688132460000000000,5596,5598,5594,5596,3708,1659175,1659483
2023-06-30 21:42:00.000000000,1688132520000000000,5596,5600,5594,5600,3720,1659483,1660021
2023-06-30 21:43:00.000000000,1688132580000000000,5600,5600,5590,5590,6574,1660021,1660699
2023-06-30 21:44:00.000000000,1688132640000000000,5590,5594,5590,5592,2327,1660699,1660656
2023-06-30 21:45:00.000000000,1688132700000000000,5592,5594,5588,5592,5373,1660656,1660432
2023-06-30 21:46:00.000000000,1688132760000000000,5592,5596,5590,5592,1951,1660432,1660156
2023-06-30 21:47:00.000000000,1688132820000000000,5592,5600,5592,5600,2245,1660156,1660684
2023-06-30 21:48:00.000000000,1688132880000000000,5600,5602,5598,5600,4172,1660684,1661813
2023-06-30 21:49:00.000000000,1688132940000000000,5600,5600,5594,5596,3604,1661813,1662449
2023-06-30 21:50:00.000000000,1688133000000000000,5596,5600,5594,5598,2343,1662449,1662751
2023-06-30 21:51:00.000000000,1688133060000000000,5598,5602,5598,5598,2513,1662751,1663054
2023-06-30 21:52:00.000000000,1688133120000000000,5598,5602,5598,5602,2056,1663054,1663396
2023-06-30 21:53:00.000000000,1688133180000000000,5602,5606,5600,5600,7784,1663396,1663508
2023-06-30 21:54:00.000000000,1688133240000000000,5600,5610,5600,5608,9869,1663508,1666673
2023-06-30 21:55:00.000000000,1688133300000000000,5608,5610,5606,5608,6713,1666673,1668574
2023-06-30 21:56:00.000000000,1688133360000000000,5608,5610,5608,5608,3614,1668574,1670201
2023-06-30 21:57:00.000000000,1688133420000000000,5608,5612,5608,5610,7936,1670201,1673718
2023-06-30 21:58:00.000000000,1688133480000000000,5610,5614,5610,5612,9203,1673718,1676373
2023-06-30 21:59:00.000000000,1688133540000000000,5612,5614,5610,5612,4217,1676373,1677127
2023-06-30 22:00:00.000000000,1688133600000000000,5612,5616,5610,5614,7131,1677127,1678674
2023-06-30 22:01:00.000000000,1688133660000000000,5614,5618,5614,5614,9344,1678674,1680947
2023-06-30 22:02:00.000000000,1688133720000000000,5614,5616,5610,5610,5592,1680947,1681835
2023-06-30 22:03:00.000000000,1688133780000000000,5610,5614,5610,5612,4977,1681835,1682810
2023-06-30 22:04:00.000000000,1688133840000000000,5612,5612,5608,5610,4814,1682810,1683299
2023-06-30 22:05:00.000000000,1688133900000000000,5610,5612,5608,5610,2919,1683299,1683288
2023-06-30 22:06:00.000000000,1688133960000000000,5610,5612,5608,5608,2309,1683288,1683002
2023-06-30 22:07:00.000000000,1688134020000000000,5608,5612,5606,5610,4861,1683002,1684218
2023-06-30 22:08:00.000000000,1688134080000000000,5610,5610,5602,5602,6847,1684218,1683041
2023-06-30 22:09:00.000000000,1688134140000000000,5602,5608,5602,5608,4311,1683041,1682781
2023-06-30 22:10:00.000000000,1688134200000000000,5608,5608,5602,5604,2030,1682781,1682822
2023-06-30 22:11:00.000000000,1688134260000000000,5604,5606,5602,5606,1182,1682822,1682864
2023-06-30 22:12:00.000000000,1688134320000000000,5606,5610,5606,5608,1889,1682864,1682654
2023-06-30 22:13:00.000000000,1688134380000000000,5608,5610,5606,5610,1625,1682654,1682514
2023-06-30 22:14:00.000000000,1688134440000000000,5610,5610,5608,5610,4107,1682514,1684031
2023-06-30 22:15:00.000000000,1688134500000000000,5610,5614,5610,5612,3123,1684031,1684332
2023-06-30 22:16:00.000000000,1688134560000000000,5612,5614,5610,5612,3704,1684332,1685029
2023-06-30 22:17:00.000000000,1688134620000000000,5612,5614,5608,5610,2642,1685029,1685194
2023-06-30 22:18:00.000000000,1688134680000000000,5610,5612,5608,5612,2374,1685194,1685539
2023-06-30 22:19:00.000000000,1688134740000000000,5612,5614,5610,5612,2195,1685539,1685230
2023-06-30 22:20:00.000000000,1688134800000000000,5612,5612,5608,5610,1781,1685230,1685614
2023-06-30 22:21:00.000000000,1688134860000000000,5610,5610,5604,5604,3401,1685614,1685996
2023-06-30 22:22:00.000000000,1688134920000000000,5604,5608,5604,5604,2829,1685996,1686312
2023-06-30 22:23:00.000000000,1688134980000000000,5604,5606,5602,5602,1731,1686312,1685871
2023-06-30 22:24:00.000000000,1688135040000000000,5602,5606,5602,5602,1961,1685871,1685626
2023-06-30 22:25:00.000000000,1688135100000000000,5602,5608,5602,5606,1697,1685626,1685919
2023-06-30 22:26:00.000000000,1688135160000000000,5606,5610,5606,5608,1550,1685919,1686034
2023-06-30 22:27:00.000000000,1688135220000000000,5608,5608,5602,5602,2034,1686034,1685823
