datetime,datetime_nano,DCE.eg2505.open,DCE.eg2505.high,DCE.eg2505.low,DCE.eg2505.close,DCE.eg2505.volume,DCE.eg2505.open_oi,DCE.eg2505.close_oi
2024-12-05 21:00:00.000000000,1733403600000000000,4755,4755,4751,4754,366,129723,129791
2024-12-05 21:01:00.000000000,1733403660000000000,4754,4760,4753,4760,605,129791,130166
2024-12-05 21:02:00.000000000,1733403720000000000,4760,4760,4757,4757,351,130166,130249
2024-12-05 21:03:00.000000000,1733403780000000000,4757,4759,4754,4759,162,130249,130321
2024-12-05 21:04:00.000000000,1733403840000000000,4759,4760,4757,4760,187,130321,130424
2024-12-05 21:05:00.000000000,1733403900000000000,4760,4760,4756,4757,321,130424,130542
2024-12-05 21:06:00.000000000,1733403960000000000,4757,4758,4756,4758,143,130542,130518
2024-12-05 21:07:00.000000000,1733404020000000000,4758,4758,4756,4757,133,130518,130573
2024-12-05 21:08:00.000000000,1733404080000000000,4757,4759,4755,4755,145,130573,130572
2024-12-05 21:09:00.000000000,1733404140000000000,4755,4759,4755,4759,158,130572,130646
2024-12-05 21:10:00.000000000,1733404200000000000,4759,4759,4757,4758,65,130646,130684
2024-12-05 21:11:00.000000000,1733404260000000000,4758,4761,4757,4761,244,130684,130700
2024-12-05 21:12:00.000000000,1733404320000000000,4761,4765,4761,4762,378,130700,130827
2024-12-05 21:13:00.000000000,1733404380000000000,4762,4765,4762,4764,86,130827,130880
2024-12-05 21:14:00.000000000,1733404440000000000,4764,4765,4762,4763,103,130880,130915
2024-12-05 21:15:00.000000000,1733404500000000000,4763,4765,4761,4762,252,130915,130966
2024-12-05 21:16:00.000000000,1733404560000000000,4762,4762,4758,4758,145,130966,131034
2024-12-05 21:17:00.000000000,1733404620000000000,4758,4760,4758,4760,88,131034,131011
2024-12-05 21:18:00.000000000,1733404680000000000,4760,4760,4758,4759,78,131011,131054
2024-12-05 21:19:00.000000000,1733404740000000000,4759,4759,4759,4759,45,131054,131061
2024-12-05 21:20:00.000000000,1733404800000000000,4759,4759,4755,4756,325,131061,131115
2024-12-05 21:21:00.000000000,1733404860000000000,4756,4756,4754,4756,273,131115,130999
2024-12-05 21:22:00.000000000,1733404920000000000,4756,4757,4754,4756,99,130999,130963
2024-12-05 21:23:00.000000000,1733404980000000000,4756,4756,4752,4752,215,130963,130929
2024-12-05 21:24:00.000000000,1733405040000000000,4752,4756,4752,4755,105,130929,130893
2024-12-05 21:25:00.000000000,1733405100000000000,4755,4756,4754,4756,56,130893,130903
2024-12-05 21:26:00.000000000,1733405160000000000,4756,4757,4755,4757,110,130903,130917
2024-12-05 21:27:00.000000000,1733405220000000000,4757,4757,4756,4756,63,130917,130882
2024-12-05 21:28:00.000000000,1733405280000000000,4756,4758,4756,4758,40,130882,130893
2024-12-05 21:29:00.000000000,1733405340000000000,4758,4759,4758,4758,38,130893,130912
2024-12-05 21:30:00.000000000,1733405400000000000,4758,4759,4757,4758,42,130912,130918
2024-12-05 21:31:00.000000000,1733405460000000000,4758,4759,4755,4757,68,130918,130924
2024-12-05 21:32:00.000000000,1733405520000000000,4757,4759,4757,4758,9,130924,130920
2024-12-05 21:33:00.000000000,1733405580000000000,4758,4758,4756,4756,37,130920,130919
2024-12-05 21:34:00.000000000,1733405640000000000,4756,4756,4755,4756,45,130919,130907
2024-12-05 21:35:00.000000000,1733405700000000000,4756,4756,4754,4755,36,130907,130893
2024-12-05 21:36:00.000000000,1733405760000000000,4755,4756,4754,4754,70,130893,130889
2024-12-05 21:37:00.000000000,1733405820000000000,4754,4756,4754,4756,75,130889,130872
2024-12-05 21:38:00.000000000,1733405880000000000,4756,4756,4753,4753,38,130872,130890
2024-12-05 21:39:00.000000000,1733405940000000000,4753,4756,4752,4755,113,130890,130895
2024-12-05 21:40:00.000000000,1733406000000000000,4755,4755,4754,4754,17,130895,130907
2024-12-05 21:41:00.000000000,1733406060000000000,4754,4755,4754,4754,4,130907,130905
2024-12-05 21:42:00.000000000,1733406120000000000,4754,4755,4753,4755,71,130905,130936
2024-12-05 21:43:00.000000000,1733406180000000000,4755,4755,4752,4754,23,130936,130920
2024-12-05 21:44:00.000000000,1733406240000000000,4754,4757,4754,4756,76,130920,130939
2024-12-05 21:45:00.000000000,1733406300000000000,4756,4757,4754,4755,59,130939,130925
2024-12-05 21:46:00.000000000,1733406360000000000,4755,4756,4754,4755,12,130925,130918
2024-12-05 21:47:00.000000000,1733406420000000000,4755,4756,4755,4756,6,130918,130920
2024-12-05 21:48:00.000000000,1733406480000000000,4756,4757,4756,4757,28,130920,130909
2024-12-05 21:49:00.000000000,1733406540000000000,4757,4760,4757,4759,187,130909,130954
2024-12-05 21:50:00.000000000,1733406600000000000,4759,4760,4759,4759,27,130954,130954
2024-12-05 21:51:00.000000000,1733406660000000000,4759,4760,4758,4760,22,130954,130955
2024-12-05 21:52:00.000000000,1733406720000000000,4760,4760,4758,4759,27,130955,130954
2024-12-05 21:53:00.000000000,1733406780000000000,4759,4759,4757,4758,68,130954,130961
2024-12-05 21:54:00.000000000,1733406840000000000,4758,4759,4757,4757,7,130961,130960
2024-12-05 21:55:00.000000000,1733406900000000000,4757,4758,4756,4758,70,130960,130959
2024-12-05 21:56:00.000000000,1733406960000000000,4758,4758,4756,4758,23,130959,130956
2024-12-05 21:57:00.000000000,1733407020000000000,4758,4758,4756,4758,159,130956,130986
2024-12-05 21:58:00.000000000,1733407080000000000,4758,4758,4757,4757,13,130986,130988
2024-12-05 21:59:00.000000000,1733407140000000000,4757,4758,4757,4758,15,130988,130986
2024-12-05 22:00:00.000000000,1733407200000000000,4758,4759,4757,4759,33,130986,130970
2024-12-05 22:01:00.000000000,1733407260000000000,4759,4760,4758,4759,34,130970,130974
2024-12-05 22:02:00.000000000,1733407320000000000,4759,4759,4757,4757,22,130974,130982
2024-12-05 22:03:00.000000000,1733407380000000000,4757,4760,4757,4759,45,130982,130987
2024-12-05 22:04:00.000000000,1733407440000000000,4759,4760,4759,4760,15,130987,130990
2024-12-05 22:05:00.000000000,1733407500000000000,4760,4761,4757,4757,192,130990,131035
2024-12-05 22:06:00.000000000,1733407560000000000,4757,4758,4757,4758,11,131035,131032
2024-12-05 22:07:00.000000000,1733407620000000000,4758,4759,4757,4759,19,131032,131022
2024-12-05 22:08:00.000000000,1733407680000000000,4759,4759,4757,4758,6,131022,131017
2024-12-05 22:09:00.000000000,1733407740000000000,4758,4759,4758,4759,41,131017,131021
2024-12-05 22:10:00.000000000,1733407800000000000,4759,4759,4757,4757,49,131021,130995
2024-12-05 22:11:00.000000000,1733407860000000000,4757,4758,4757,4757,5,130995,130997
2024-12-05 22:12:00.000000000,1733407920000000000,4757,4757,4755,4755,85,130997,130954
2024-12-05 22:13:00.000000000,1733407980000000000,4755,4755,4754,4755,24,130954,130942
2024-12-05 22:14:00.000000000,1733408040000000000,4755,4755,4755,4755,4,130942,130941
