datetime,datetime_nano,DCE.i2105.open,DCE.i2105.high,DCE.i2105.low,DCE.i2105.close,DCE.i2105.volume,DCE.i2105.open_oi,DCE.i2105.close_oi
2021-03-31 21:00:00.000000000,1617195600000000000,1071.0,1080.0,1071.0,1077.5,6859,279136,274416
2021-03-31 21:01:00.000000000,1617195660000000000,1077.5,1077.5,1071.5,1072.5,3329,274416,272576
2021-03-31 21:02:00.000000000,1617195720000000000,1072.5,1074.0,1070.5,1071.0,2169,272576,271331
2021-03-31 21:03:00.000000000,1617195780000000000,1071.0,1072.0,1068.0,1069.5,2307,271331,270119
2021-03-31 21:04:00.000000000,1617195840000000000,1069.5,1069.5,1063.5,1066.0,2993,270119,269467
2021-03-31 21:05:00.000000000,1617195900000000000,1066.0,1068.5,1066.0,1068.0,2096,269467,269237
2021-03-31 21:06:00.000000000,1617195960000000000,1068.0,1068.0,1061.5,1065.0,3448,269237,268182
2021-03-31 21:07:00.000000000,1617196020000000000,1065.0,1068.0,1064.5,1068.0,1954,268182,267708
2021-03-31 21:08:00.000000000,1617196080000000000,1068.0,1069.5,1066.5,1069.0,1281,267708,267192
2021-03-31 21:09:00.000000000,1617196140000000000,1069.0,1070.0,1067.0,1068.0,1500,267192,266479
2021-03-31 21:10:00.000000000,1617196200000000000,1068.0,1068.5,1066.5,1066.5,1273,266479,265817
2021-03-31 21:11:00.000000000,1617196260000000000,1066.5,1069.5,1066.5,1069.0,774,265817,265485
2021-03-31 21:12:00.000000000,1617196320000000000,1069.0,1069.5,1068.0,1068.0,769,265485,265004
2021-03-31 21:13:00.000000000,1617196380000000000,1068.0,1069.0,1067.5,1068.5,762,265004,264591
2021-03-31 21:14:00.000000000,1617196440000000000,1068.5,1069.5,1068.5,1069.5,729,264591,264236
2021-03-31 21:15:00.000000000,1617196500000000000,1069.5,1070.5,1068.0,1068.5,835,264236,263878
2021-03-31 21:16:00.000000000,1617196560000000000,1068.5,1074.0,1068.0,1074.0,1369,263878,263022
2021-03-31 21:17:00.000000000,1617196620000000000,1074.0,1074.0,1072.5,1072.5,1124,263022,262440
2021-03-31 21:18:00.000000000,1617196680000000000,1072.5,1074.0,1072.0,1073.5,580,262440,262229
2021-03-31 21:19:00.000000000,1617196740000000000,1073.5,1075.5,1073.0,1074.5,977,262229,261841
2021-03-31 21:20:00.000000000,1617196800000000000,1074.5,1074.5,1073.0,1074.0,578,261841,261560
2021-03-31 21:21:00.000000000,1617196860000000000,1074.0,1074.0,1072.5,1072.5,430,261560,261391
2021-03-31 21:22:00.000000000,1617196920000000000,1072.5,1073.5,1072.0,1073.0,340,261391,261234
2021-03-31 21:23:00.000000000,1617196980000000000,1073.0,1073.0,1071.5,1072.5,258,261234,261148
2021-03-31 21:24:00.000000000,1617197040000000000,1072.5,1073.0,1072.0,1073.0,588,261148,260871
2021-03-31 21:25:00.000000000,1617197100000000000,1073.0,1073.0,1071.0,1072.0,403,260871,260692
2021-03-31 21:26:00.000000000,1617197160000000000,1072.0,1073.0,1071.5,1072.5,493,260692,260463
2021-03-31 21:27:00.000000000,1617197220000000000,1072.5,1074.5,1071.5,1074.5,376,260463,260329
2021-03-31 21:28:00.000000000,1617197280000000000,1074.5,1074.5,1072.0,1074.0,292,260329,260192
2021-03-31 21:29:00.000000000,1617197340000000000,1074.0,1074.0,1072.5,1072.5,184,260192,260147
2021-03-31 21:30:00.000000000,1617197400000000000,1072.5,1075.0,1072.5,1074.0,335,260147,260051
2021-03-31 21:31:00.000000000,1617197460000000000,1074.0,1075.5,1073.5,1075.0,504,260051,259954
2021-03-31 21:32:00.000000000,1617197520000000000,1075.0,1075.5,1074.5,1074.5,162,259954,259916
2021-03-31 21:33:00.000000000,1617197580000000000,1074.5,1077.5,1074.5,1077.0,829,259916,259604
2021-03-31 21:34:00.000000000,1617197640000000000,1077.0,1077.5,1075.5,1075.5,438,259604,259515
2021-03-31 21:35:00.000000000,1617197700000000000,1075.5,1077.5,1075.5,1077.5,572,259515,259326
2021-03-31 21:36:00.000000000,1617197760000000000,1077.5,1080.0,1077.5,1080.0,1566,259326,258873
2021-03-31 21:37:00.000000000,1617197820000000000,1080.0,1080.0,1077.5,1078.0,383,258873,258788
2021-03-31 21:38:00.000000000,1617197880000000000,1078.0,1080.5,1078.0,1080.5,728,258788,258721
2021-03-31 21:39:00.000000000,1617197940000000000,1080.5,1082.5,1079.5,1082.5,1157,258721,258495
2021-03-31 21:40:00.000000000,1617198000000000000,1082.5,1082.5,1079.0,1079.0,725,258495,258200
2021-03-31 21:41:00.000000000,1617198060000000000,1079.0,1080.0,1078.0,1078.5,371,258200,258083
2021-03-31 21:42:00.000000000,1617198120000000000,1078.5,1080.0,1078.5,1080.0,250,258083,258020
2021-03-31 21:43:00.000000000,1617198180000000000,1080.0,1080.0,1079.5,1079.5,247,258020,257967
2021-03-31 21:44:00.000000000,1617198240000000000,1079.5,1079.5,1078.5,1078.5,280,257967,257871
2021-03-31 21:45:00.000000000,1617198300000000000,1078.5,1079.5,1078.5,1079.0,161,257871,257880
2021-03-31 21:46:00.000000000,1617198360000000000,1079.0,1080.0,1079.0,1080.0,121,257880,257898
2021-03-31 21:47:00.000000000,1617198420000000000,1080.0,1080.0,1078.5,1079.0,365,257898,257807
2021-03-31 21:48:00.000000000,1617198480000000000,1079.0,1080.0,1079.0,1080.0,115,257807,257861
2021-03-31 21:49:00.000000000,1617198540000000000,1080.0,1080.0,1079.0,1080.0,254,257861,257847
2021-03-31 21:50:00.000000000,1617198600000000000,1080.0,1081.5,1079.5,1081.5,934,257847,257598
2021-03-31 21:51:00.000000000,1617198660000000000,1081.5,1081.5,1080.0,1080.5,343,257598,257694
2021-03-31 21:52:00.000000000,1617198720000000000,1080.5,1081.5,1080.0,1081.5,247,257694,257699
2021-03-31 21:53:00.000000000,1617198780000000000,1081.5,1082.0,1081.0,1081.0,288,257699,257822
2021-03-31 21:54:00.000000000,1617198840000000000,1081.0,1083.0,1081.0,1082.0,530,257822,257793
2021-03-31 21:55:00.000000000,1617198900000000000,1082.0,1084.0,1082.0,1083.5,875,257793,257550
2021-03-31 21:56:00.000000000,1617198960000000000,1083.5,1085.0,1083.0,1084.0,714,257550,257724
2021-03-31 21:57:00.000000000,1617199020000000000,1084.0,1084.5,1083.0,1084.0,464,257724,257711
2021-03-31 21:58:00.000000000,1617199080000000000,1084.0,1085.0,1084.0,1084.5,256,257711,257685
2021-03-31 21:59:00.000000000,1617199140000000000,1084.5,1084.5,1081.5,1082.0,252,257685,257674
2021-03-31 22:00:00.000000000,1617199200000000000,1082.0,1084.0,1081.5,1084.0,659,257674,257617
2021-03-31 22:01:00.000000000,1617199260000000000,1084.0,1085.0,1083.5,1084.0,340,257617,257620
