datetime,datetime_nano,DCE.j2605.open,DCE.j2605.high,DCE.j2605.low,DCE.j2605.close,DCE.j2605.volume,DCE.j2605.open_oi,DCE.j2605.close_oi
2026-01-05 09:00:00.000000000,1767574800000000000,1692.5,1695.0,1682.5,1683.0,1155,32379,32475
2026-01-05 09:01:00.000000000,1767574860000000000,1683.0,1683.0,1665.0,1671.5,1145,32475,32573
2026-01-05 09:02:00.000000000,1767574920000000000,1671.5,1676.5,1671.0,1673.5,412,32573,32567
2026-01-05 09:03:00.000000000,1767574980000000000,1673.5,1684.0,1673.5,1684.0,306,32567,32618
2026-01-05 09:04:00.000000000,1767575040000000000,1684.0,1687.5,1684.0,1684.5,273,32618,32683
2026-01-05 09:05:00.000000000,1767575100000000000,1684.5,1684.5,1680.0,1681.5,250,32683,32678
2026-01-05 09:06:00.000000000,1767575160000000000,1681.5,1682.5,1680.0,1682.5,135,32678,32690
2026-01-05 09:07:00.000000000,1767575220000000000,1682.5,1684.0,1680.5,1681.0,109,32690,32699
2026-01-05 09:08:00.000000000,1767575280000000000,1681.0,1682.0,1680.0,1681.5,117,32699,32738
2026-01-05 09:09:00.000000000,1767575340000000000,1681.5,1683.0,1680.5,1680.5,118,32738,32771
2026-01-05 09:10:00.000000000,1767575400000000000,1680.5,1681.5,1672.5,1675.5,169,32771,32815
2026-01-05 09:11:00.000000000,1767575460000000000,1675.5,1676.0,1672.0,1672.5,183,32815,32818
2026-01-05 09:12:00.000000000,1767575520000000000,1672.5,1675.0,1670.0,1675.0,153,32818,32864
2026-01-05 09:13:00.000000000,1767575580000000000,1675.0,1677.5,1675.0,1677.0,158,32864,32902
2026-01-05 09:14:00.000000000,1767575640000000000,1677.0,1677.0,1673.0,1673.0,77,32902,32920
2026-01-05 09:15:00.000000000,1767575700000000000,1673.0,1676.0,1671.0,1673.0,146,32920,32914
2026-01-05 09:16:00.000000000,1767575760000000000,1673.0,1676.0,1673.0,1675.5,56,32914,32931
2026-01-05 09:17:00.000000000,1767575820000000000,1675.5,1678.0,1674.5,1678.0,46,32931,32948
2026-01-05 09:18:00.000000000,1767575880000000000,1678.0,1679.0,1677.0,1678.0,51,32948,32957
2026-01-05 09:19:00.000000000,1767575940000000000,1678.0,1678.5,1675.5,1675.5,123,32957,33015
2026-01-05 09:20:00.000000000,1767576000000000000,1675.5,1676.5,1675.0,1675.5,43,33015,33024
2026-01-05 09:21:00.000000000,1767576060000000000,1675.5,1680.0,1674.5,1679.5,52,33024,33030
2026-01-05 09:22:00.000000000,1767576120000000000,1679.5,1680.0,1678.0,1680.0,105,33030,33067
