datetime,datetime_nano,DCE.pp2309.open,DCE.pp2309.high,DCE.pp2309.low,DCE.pp2309.close,DCE.pp2309.volume,DCE.pp2309.open_oi,DCE.pp2309.close_oi
2023-03-31 21:00:00.000000000,1680267600000000000,7630,7632,7620,7622,1620,190314,190424
2023-03-31 21:01:00.000000000,1680267660000000000,7622,7624,7619,7622,1026,190424,190737
2023-03-31 21:02:00.000000000,1680267720000000000,7622,7623,7620,7621,817,190737,191195
2023-03-31 21:03:00.000000000,1680267780000000000,7621,7625,7621,7624,485,191195,191414
2023-03-31 21:04:00.000000000,1680267840000000000,7624,7625,7621,7622,525,191414,191631
2023-03-31 21:05:00.000000000,1680267900000000000,7622,7625,7620,7624,321,191631,191753
2023-03-31 21:06:00.000000000,1680267960000000000,7624,7630,7624,7627,294,191753,191845
2023-03-31 21:07:00.000000000,1680268020000000000,7627,7629,7623,7627,352,191845,191978
2023-03-31 21:08:00.000000000,1680268080000000000,7627,7628,7623,7623,170,191978,192089
2023-03-31 21:09:00.000000000,1680268140000000000,7623,7624,7620,7620,327,192089,192201
2023-03-31 21:10:00.000000000,1680268200000000000,7620,7623,7618,7623,253,192201,192334
2023-03-31 21:11:00.000000000,1680268260000000000,7623,7623,7619,7621,144,192334,192359
2023-03-31 21:12:00.000000000,1680268320000000000,7621,7626,7621,7626,400,192359,192332
2023-03-31 21:13:00.000000000,1680268380000000000,7626,7628,7625,7627,195,192332,192269
2023-03-31 21:14:00.000000000,1680268440000000000,7627,7627,7625,7626,56,192269,192245
2023-03-31 21:15:00.000000000,1680268500000000000,7626,7627,7624,7625,153,192245,192258
2023-03-31 21:16:00.000000000,1680268560000000000,7625,7625,7622,7623,53,192258,192269
2023-03-31 21:17:00.000000000,1680268620000000000,7623,7624,7623,7623,27,192269,192266
2023-03-31 21:18:00.000000000,1680268680000000000,7623,7623,7618,7619,115,192266,192250
2023-03-31 21:19:00.000000000,1680268740000000000,7619,7619,7615,7615,287,192250,192305
2023-03-31 21:20:00.000000000,1680268800000000000,7615,7617,7613,7615,170,192305,192325
2023-03-31 21:21:00.000000000,1680268860000000000,7615,7617,7614,7617,105,192325,192381
2023-03-31 21:22:00.000000000,1680268920000000000,7617,7618,7615,7615,89,192381,192432
2023-03-31 21:23:00.000000000,1680268980000000000,7615,7617,7615,7617,24,192432,192435
2023-03-31 21:24:00.000000000,1680269040000000000,7617,7619,7615,7619,170,192435,192450
2023-03-31 21:25:00.000000000,1680269100000000000,7619,7620,7618,7619,132,192450,192490
2023-03-31 21:26:00.000000000,1680269160000000000,7619,7620,7619,7619,101,192490,192536
2023-03-31 21:27:00.000000000,1680269220000000000,7619,7620,7618,7620,123,192536,192614
2023-03-31 21:28:00.000000000,1680269280000000000,7620,7623,7620,7621,156,192614,192560
2023-03-31 21:29:00.000000000,1680269340000000000,7621,7622,7619,7620,104,192560,192557
2023-03-31 21:30:00.000000000,1680269400000000000,7620,7622,7619,7622,156,192557,192584
2023-03-31 21:31:00.000000000,1680269460000000000,7622,7625,7619,7619,126,192584,192572
2023-03-31 21:32:00.000000000,1680269520000000000,7619,7621,7619,7621,67,192572,192582
2023-03-31 21:33:00.000000000,1680269580000000000,7621,7623,7619,7623,104,192582,192572
2023-03-31 21:34:00.000000000,1680269640000000000,7623,7623,7621,7622,117,192572,192624
2023-03-31 21:35:00.000000000,1680269700000000000,7622,7626,7622,7625,118,192624,192643
2023-03-31 21:36:00.000000000,1680269760000000000,7625,7626,7623,7624,91,192643,192655
2023-03-31 21:37:00.000000000,1680269820000000000,7624,7626,7620,7620,277,192655,192678
2023-03-31 21:38:00.000000000,1680269880000000000,7620,7621,7619,7620,151,192678,192662
2023-03-31 21:39:00.000000000,1680269940000000000,7620,7620,7617,7619,102,192662,192644
2023-03-31 21:40:00.000000000,1680270000000000000,7619,7620,7618,7620,60,192644,192658
2023-03-31 21:41:00.000000000,1680270060000000000,7620,7621,7618,7621,217,192658,192795
2023-03-31 21:42:00.000000000,1680270120000000000,7621,7623,7619,7621,187,192795,192930
2023-03-31 21:43:00.000000000,1680270180000000000,7621,7621,7618,7620,275,192930,193128
2023-03-31 21:44:00.000000000,1680270240000000000,7620,7622,7620,7622,276,193128,193128
2023-03-31 21:45:00.000000000,1680270300000000000,7622,7626,7622,7623,257,193128,193221
2023-03-31 21:46:00.000000000,1680270360000000000,7623,7627,7623,7627,84,193221,193207
2023-03-31 21:47:00.000000000,1680270420000000000,7627,7627,7624,7625,104,193207,193224
2023-03-31 21:48:00.000000000,1680270480000000000,7625,7625,7624,7624,76,193224,193245
2023-03-31 21:49:00.000000000,1680270540000000000,7624,7624,7623,7624,44,193245,193245
2023-03-31 21:50:00.000000000,1680270600000000000,7624,7625,7624,7625,24,193245,193238
2023-03-31 21:51:00.000000000,1680270660000000000,7625,7625,7620,7624,151,193238,193316
2023-03-31 21:52:00.000000000,1680270720000000000,7624,7627,7624,7626,74,193316,193349
2023-03-31 21:53:00.000000000,1680270780000000000,7626,7628,7626,7627,151,193349,193368
2023-03-31 21:54:00.000000000,1680270840000000000,7627,7629,7626,7628,113,193368,193414
2023-03-31 21:55:00.000000000,1680270900000000000,7628,7629,7626,7628,143,193414,193482
2023-03-31 21:56:00.000000000,1680270960000000000,7628,7629,7625,7625,142,193482,193492
2023-03-31 21:57:00.000000000,1680271020000000000,7625,7627,7625,7627,137,193492,193485
2023-03-31 21:58:00.000000000,1680271080000000000,7627,7628,7626,7627,162,193485,193530
2023-03-31 21:59:00.000000000,1680271140000000000,7627,7629,7626,7629,83,193530,193555
2023-03-31 22:00:00.000000000,1680271200000000000,7629,7629,7625,7626,97,193555,193564
2023-03-31 22:01:00.000000000,1680271260000000000,7626,7627,7625,7626,33,193564,193553
2023-03-31 22:02:00.000000000,1680271320000000000,7626,7626,7624,7625,60,193553,193554
2023-03-31 22:03:00.000000000,1680271380000000000,7625,7625,7623,7623,30,193554,193555
2023-03-31 22:04:00.000000000,1680271440000000000,7623,7627,7623,7627,51,193555,193531
2023-03-31 22:05:00.000000000,1680271500000000000,7627,7628,7627,7627,48,193531,193508
2023-03-31 22:06:00.000000000,1680271560000000000,7627,7628,7626,7626,35,193508,193494
2023-03-31 22:07:00.000000000,1680271620000000000,7626,7627,7626,7626,66,193494,193491
2023-03-31 22:08:00.000000000,1680271680000000000,7626,7628,7626,7628,63,193491,193497
2023-03-31 22:09:00.000000000,1680271740000000000,7628,7628,7626,7626,82,193497,193497
2023-03-31 22:10:00.000000000,1680271800000000000,7626,7627,7622,7624,207,193497,193475
2023-03-31 22:11:00.000000000,1680271860000000000,7624,7625,7623,7624,45,193475,193486
2023-03-31 22:12:00.000000000,1680271920000000000,7624,7624,7622,7624,47,193486,193474
2023-03-31 22:13:00.000000000,1680271980000000000,7624,7626,7624,7626,42,193474,193471
