datetime,datetime_nano,DCE.v2505.open,DCE.v2505.high,DCE.v2505.low,DCE.v2505.close,DCE.v2505.volume,DCE.v2505.open_oi,DCE.v2505.close_oi
2024-12-06 21:00:00.000000000,1733490000000000000,5270,5281,5267,5280,3622,364813,365166
2024-12-06 21:01:00.000000000,1733490060000000000,5280,5280,5273,5277,1778,365166,365359
2024-12-06 21:02:00.000000000,1733490120000000000,5277,5287,5276,5281,2392,365359,365995
2024-12-06 21:03:00.000000000,1733490180000000000,5281,5284,5278,5284,1130,365995,366035
2024-12-06 21:04:00.000000000,1733490240000000000,5284,5285,5283,5283,660,366035,366167
2024-12-06 21:05:00.000000000,1733490300000000000,5283,5286,5283,5286,936,366167,366531
2024-12-06 21:06:00.000000000,1733490360000000000,5286,5287,5285,5286,583,366531,366755
2024-12-06 21:07:00.000000000,1733490420000000000,5286,5286,5284,5284,394,366755,366885
2024-12-06 21:08:00.000000000,1733490480000000000,5284,5284,5278,5279,817,366885,366907
2024-12-06 21:09:00.000000000,1733490540000000000,5279,5282,5279,5280,696,366907,367076
2024-12-06 21:10:00.000000000,1733490600000000000,5280,5280,5276,5277,1021,367076,367588
2024-12-06 21:11:00.000000000,1733490660000000000,5277,5282,5277,5282,510,367588,367782
2024-12-06 21:12:00.000000000,1733490720000000000,5282,5285,5282,5285,595,367782,367857
2024-12-06 21:13:00.000000000,1733490780000000000,5285,5285,5282,5284,467,367857,367985
2024-12-06 21:14:00.000000000,1733490840000000000,5284,5284,5282,5283,264,367985,368047
2024-12-06 21:15:00.000000000,1733490900000000000,5283,5286,5283,5284,642,368047,368198
2024-12-06 21:16:00.000000000,1733490960000000000,5284,5284,5280,5284,605,368198,368317
2024-12-06 21:17:00.000000000,1733491020000000000,5284,5286,5283,5284,461,368317,368253
2024-12-06 21:18:00.000000000,1733491080000000000,5284,5286,5284,5285,637,368253,368442
2024-12-06 21:19:00.000000000,1733491140000000000,5285,5286,5283,5285,426,368442,368445
2024-12-06 21:20:00.000000000,1733491200000000000,5285,5285,5281,5284,990,368445,368746
2024-12-06 21:21:00.000000000,1733491260000000000,5284,5286,5283,5283,454,368746,368800
2024-12-06 21:22:00.000000000,1733491320000000000,5283,5285,5279,5280,614,368800,369042
2024-12-06 21:23:00.000000000,1733491380000000000,5280,5281,5279,5280,494,369042,369356
2024-12-06 21:24:00.000000000,1733491440000000000,5280,5281,5279,5280,675,369356,369761
2024-12-06 21:25:00.000000000,1733491500000000000,5280,5281,5279,5279,297,369761,369820
2024-12-06 21:26:00.000000000,1733491560000000000,5279,5281,5278,5280,409,369820,369995
2024-12-06 21:27:00.000000000,1733491620000000000,5280,5282,5280,5281,412,369995,370224
2024-12-06 21:28:00.000000000,1733491680000000000,5281,5281,5279,5280,739,370224,370787
2024-12-06 21:29:00.000000000,1733491740000000000,5280,5280,5278,5279,289,370787,370872
2024-12-06 21:30:00.000000000,1733491800000000000,5279,5282,5279,5281,886,370872,370995
2024-12-06 21:31:00.000000000,1733491860000000000,5281,5283,5278,5278,849,370995,371215
2024-12-06 21:32:00.000000000,1733491920000000000,5278,5282,5278,5281,552,371215,371097
2024-12-06 21:33:00.000000000,1733491980000000000,5281,5285,5281,5285,455,371097,371119
2024-12-06 21:34:00.000000000,1733492040000000000,5285,5285,5281,5282,269,371119,371128
2024-12-06 21:35:00.000000000,1733492100000000000,5282,5283,5281,5281,306,371128,371189
2024-12-06 21:36:00.000000000,1733492160000000000,5281,5284,5280,5283,216,371189,371260
2024-12-06 21:37:00.000000000,1733492220000000000,5283,5288,5283,5285,1398,371260,371415
2024-12-06 21:38:00.000000000,1733492280000000000,5285,5288,5285,5288,459,371415,371159
2024-12-06 21:39:00.000000000,1733492340000000000,5288,5293,5287,5292,1643,371159,370786
2024-12-06 21:40:00.000000000,1733492400000000000,5292,5292,5289,5290,435,370786,370806
2024-12-06 21:41:00.000000000,1733492460000000000,5290,5291,5288,5288,372,370806,370804
2024-12-06 21:42:00.000000000,1733492520000000000,5288,5288,5287,5287,173,370804,370797
2024-12-06 21:43:00.000000000,1733492580000000000,5287,5287,5286,5286,209,370797,370842
2024-12-06 21:44:00.000000000,1733492640000000000,5286,5288,5286,5287,173,370842,370860
2024-12-06 21:45:00.000000000,1733492700000000000,5287,5288,5287,5288,243,370860,370988
2024-12-06 21:46:00.000000000,1733492760000000000,5288,5288,5285,5285,676,370988,371197
2024-12-06 21:47:00.000000000,1733492820000000000,5285,5288,5285,5287,299,371197,371094
2024-12-06 21:48:00.000000000,1733492880000000000,5287,5288,5286,5287,196,371094,371112
2024-12-06 21:49:00.000000000,1733492940000000000,5287,5288,5286,5287,139,371112,371124
2024-12-06 21:50:00.000000000,1733493000000000000,5287,5287,5286,5287,128,371124,371163
2024-12-06 21:51:00.000000000,1733493060000000000,5287,5287,5286,5286,160,371163,371180
2024-12-06 21:52:00.000000000,1733493120000000000,5286,5287,5282,5283,362,371180,371175
2024-12-06 21:53:00.000000000,1733493180000000000,5283,5284,5283,5283,108,371175,371166
2024-12-06 21:54:00.000000000,1733493240000000000,5283,5286,5283,5284,139,371166,371164
2024-12-06 21:55:00.000000000,1733493300000000000,5284,5285,5283,5283,78,371164,371173
2024-12-06 21:56:00.000000000,1733493360000000000,5283,5284,5283,5284,42,371173,371173
2024-12-06 21:57:00.000000000,1733493420000000000,5284,5285,5283,5283,336,371173,371189
2024-12-06 21:58:00.000000000,1733493480000000000,5283,5284,5283,5284,88,371189,371173
2024-12-06 21:59:00.000000000,1733493540000000000,5284,5284,5276,5276,1066,371173,371200
2024-12-06 22:00:00.000000000,1733493600000000000,5276,5280,5276,5279,411,371200,371233
2024-12-06 22:01:00.000000000,1733493660000000000,5279,5279,5273,5275,784,371233,371247
2024-12-06 22:02:00.000000000,1733493720000000000,5275,5276,5272,5273,907,371247,371705
2024-12-06 22:03:00.000000000,1733493780000000000,5273,5273,5265,5270,2260,371705,372048
2024-12-06 22:04:00.000000000,1733493840000000000,5270,5271,5268,5268,544,372048,372328
2024-12-06 22:05:00.000000000,1733493900000000000,5268,5271,5268,5271,520,372328,372549
2024-12-06 22:06:00.000000000,1733493960000000000,5271,5273,5270,5271,730,372549,372770
2024-12-06 22:07:00.000000000,1733494020000000000,5271,5271,5268,5268,439,372770,373025
2024-12-06 22:08:00.000000000,1733494080000000000,5268,5270,5268,5269,446,373025,373208
2024-12-06 22:09:00.000000000,1733494140000000000,5269,5270,5269,5270,257,373208,373313
2024-12-06 22:10:00.000000000,1733494200000000000,5270,5271,5268,5269,309,373313,373376
2024-12-06 22:11:00.000000000,1733494260000000000,5269,5269,5267,5267,626,373376,373410
2024-12-06 22:12:00.000000000,1733494320000000000,5267,5270,5267,5270,517,373410,373593
2024-12-06 22:13:00.000000000,1733494380000000000,5270,5271,5269,5270,319,373593,373673
2024-12-06 22:14:00.000000000,1733494440000000000,5270,5271,5267,5268,311,373673,373863
2024-12-06 22:15:00.000000000,1733494500000000000,5268,5270,5268,5270,289,373863,373881
2024-12-06 22:16:00.000000000,1733494560000000000,5270,5270,5261,5261,1866,373881,374126
2024-12-06 22:17:00.000000000,1733494620000000000,5261,5264,5260,5263,2154,374126,374280
2024-12-06 22:18:00.000000000,1733494680000000000,5263,5264,5262,5262,741,374280,374475
2024-12-06 22:19:00.000000000,1733494740000000000,5262,5265,5262,5264,456,374475,374662
2024-12-06 22:20:00.000000000,1733494800000000000,5264,5264,5262,5262,339,374662,374748
2024-12-06 22:21:00.000000000,1733494860000000000,5262,5265,5262,5265,443,374748,374878
2024-12-06 22:22:00.000000000,1733494920000000000,5265,5265,5263,5263,395,374878,374955
2024-12-06 22:23:00.000000000,1733494980000000000,5263,5265,5263,5263,430,374955,375009
