datetime,datetime_nano,INE.sc2503.open,INE.sc2503.high,INE.sc2503.low,INE.sc2503.close,INE.sc2503.volume,INE.sc2503.open_oi,INE.sc2503.close_oi
2025-02-05 09:00:00.000000000,1738717200000000000,597.9,599.9,595.6,596.5,2914,22182,22313
2025-02-05 09:01:00.000000000,1738717260000000000,596.5,596.6,593.7,595.4,2049,22313,22256
2025-02-05 09:02:00.000000000,1738717320000000000,595.4,595.6,593.0,593.9,1247,22256,22324
2025-02-05 09:03:00.000000000,1738717380000000000,593.9,594.9,592.6,594.9,1613,22324,22563
2025-02-05 09:04:00.000000000,1738717440000000000,594.9,597.5,594.4,597.4,1159,22563,22654
2025-02-05 09:05:00.000000000,1738717500000000000,597.4,598.2,595.6,597.8,1692,22654,22790
2025-02-05 09:06:00.000000000,1738717560000000000,597.8,599.2,597.6,598.9,841,22790,22790
2025-02-05 09:07:00.000000000,1738717620000000000,598.9,600.4,598.8,599.9,1117,22790,22871
2025-02-05 09:08:00.000000000,1738717680000000000,599.9,600.3,599.1,599.6,892,22871,22909
2025-02-05 09:09:00.000000000,1738717740000000000,599.6,600.5,599.5,600.3,694,22909,23015
2025-02-05 09:10:00.000000000,1738717800000000000,600.3,600.5,599.7,600.2,440,23015,23115
2025-02-05 09:11:00.000000000,1738717860000000000,600.2,602.2,600.2,601.9,790,23115,23182
2025-02-05 09:12:00.000000000,1738717920000000000,601.9,603.4,601.3,603.2,719,23182,23220
2025-02-05 09:13:00.000000000,1738717980000000000,603.2,604.3,603.2,603.2,851,23220,23274
2025-02-05 09:14:00.000000000,1738718040000000000,603.2,603.7,603.0,603.1,316,23274,23299
2025-02-05 09:15:00.000000000,1738718100000000000,603.1,603.4,601.6,601.7,542,23299,23270
2025-02-05 09:16:00.000000000,1738718160000000000,601.7,602.2,600.7,601.3,549,23270,23235
2025-02-05 09:17:00.000000000,1738718220000000000,601.3,601.7,601.0,601.6,246,23235,23227
2025-02-05 09:18:00.000000000,1738718280000000000,601.6,601.7,600.9,601.4,483,23227,23375
2025-02-05 09:19:00.000000000,1738718340000000000,601.4,601.8,601.3,601.8,193,23375,23433
2025-02-05 09:20:00.000000000,1738718400000000000,601.8,602.4,601.7,602.2,342,23433,23523
2025-02-05 09:21:00.000000000,1738718460000000000,602.2,602.2,601.7,602.0,179,23523,23534
2025-02-05 09:22:00.000000000,1738718520000000000,602.0,602.2,601.7,602.1,119,23534,23525
2025-02-05 09:23:00.000000000,1738718580000000000,602.1,602.1,601.7,601.7,198,23525,23597
2025-02-05 09:24:00.000000000,1738718640000000000,601.7,601.9,601.7,601.7,96,23597,23603
2025-02-05 09:25:00.000000000,1738718700000000000,601.7,602.3,601.6,601.6,163,23603,23604
2025-02-05 09:26:00.000000000,1738718760000000000,601.6,602.0,601.6,601.8,112,23604,23633
2025-02-05 09:27:00.000000000,1738718820000000000,601.8,602.2,601.6,601.9,114,23633,23663
2025-02-05 09:28:00.000000000,1738718880000000000,601.9,602.0,601.6,601.9,121,23663,23676
2025-02-05 09:29:00.000000000,1738718940000000000,601.9,602.7,601.7,602.6,365,23676,23774
2025-02-05 09:30:00.000000000,1738719000000000000,602.6,603.1,602.6,602.9,251,23774,23810
2025-02-05 09:31:00.000000000,1738719060000000000,602.9,602.9,601.9,602.3,265,23810,23758
2025-02-05 09:32:00.000000000,1738719120000000000,602.3,602.4,601.2,601.2,240,23758,23745
2025-02-05 09:33:00.000000000,1738719180000000000,601.2,601.8,601.2,601.7,168,23745,23738
2025-02-05 09:34:00.000000000,1738719240000000000,601.7,601.7,601.2,601.4,293,23738,23792
2025-02-05 09:35:00.000000000,1738719300000000000,601.4,601.4,600.8,601.0,251,23792,23762
2025-02-05 09:36:00.000000000,1738719360000000000,601.0,601.2,600.7,600.9,317,23762,23856
2025-02-05 09:37:00.000000000,1738719420000000000,600.9,601.3,600.4,600.8,534,23856,24058
2025-02-05 09:38:00.000000000,1738719480000000000,600.8,601.5,600.8,601.4,326,24058,24222
2025-02-05 09:39:00.000000000,1738719540000000000,601.4,601.4,600.9,601.1,287,24222,24315
2025-02-05 09:40:00.000000000,1738719600000000000,601.1,601.1,600.7,600.7,340,24315,24416
2025-02-05 09:41:00.000000000,1738719660000000000,600.7,601.0,600.5,600.9,262,24416,24452
2025-02-05 09:42:00.000000000,1738719720000000000,600.9,600.9,600.7,600.8,88,24452,24458
2025-02-05 09:43:00.000000000,1738719780000000000,600.8,601.1,600.7,600.9,139,24458,24460
2025-02-05 09:44:00.000000000,1738719840000000000,600.9,601.1,600.9,601.1,122,24460,24510
2025-02-05 09:45:00.000000000,1738719900000000000,601.1,601.4,601.1,601.3,118,24510,24547
2025-02-05 09:46:00.000000000,1738719960000000000,601.3,601.4,601.1,601.3,62,24547,24537
2025-02-05 09:47:00.000000000,1738720020000000000,601.3,601.4,601.1,601.3,48,24537,24535
2025-02-05 09:48:00.000000000,1738720080000000000,601.3,601.4,601.2,601.2,102,24535,24577
2025-02-05 09:49:00.000000000,1738720140000000000,601.2,601.3,600.9,600.9,117,24577,24629
2025-02-05 09:50:00.000000000,1738720200000000000,600.9,601.0,600.5,600.5,102,24629,24663
2025-02-05 09:51:00.000000000,1738720260000000000,600.5,601.0,600.5,601.0,102,24663,24694
2025-02-05 09:52:00.000000000,1738720320000000000,601.0,601.2,600.7,601.2,106,24694,24699
2025-02-05 09:53:00.000000000,1738720380000000000,601.2,601.7,601.2,601.7,121,24699,24691
2025-02-05 09:54:00.000000000,1738720440000000000,601.7,602.0,601.6,602.0,156,24691,24715
2025-02-05 09:55:00.000000000,1738720500000000000,602.0,602.5,602.0,602.3,230,24715,24790
2025-02-05 09:56:00.000000000,1738720560000000000,602.3,602.6,602.1,602.5,222,24790,24870
2025-02-05 09:57:00.000000000,1738720620000000000,602.5,602.9,602.5,602.6,188,24870,24928
2025-02-05 09:58:00.000000000,1738720680000000000,602.6,602.6,601.4,601.7,254,24928,24910
2025-02-05 09:59:00.000000000,1738720740000000000,601.7,601.9,601.4,601.5,138,24910,24900
2025-02-05 10:00:00.000000000,1738720800000000000,601.5,601.7,601.3,601.5,159,24900,24924
2025-02-05 10:01:00.000000000,1738720860000000000,601.5,601.6,601.3,601.4,161,24924,24951
2025-02-05 10:02:00.000000000,1738720920000000000,601.4,601.7,601.2,601.6,176,24951,24915
2025-02-05 10:03:00.000000000,1738720980000000000,601.6,602.0,601.6,601.8,70,24915,24889
2025-02-05 10:04:00.000000000,1738721040000000000,601.8,601.9,601.5,601.5,111,24889,24925
2025-02-05 10:05:00.000000000,1738721100000000000,601.5,601.6,601.4,601.5,98,24925,24942
2025-02-05 10:06:00.000000000,1738721160000000000,601.5,601.6,601.4,601.6,64,24942,24922
2025-02-05 10:07:00.000000000,1738721220000000000,601.6,601.9,601.6,601.8,81,24922,24906
2025-02-05 10:08:00.000000000,1738721280000000000,601.8,602.0,601.6,601.6,98,24906,24919
2025-02-05 10:09:00.000000000,1738721340000000000,601.6,601.7,601.5,601.5,52,24919,24916
2025-02-05 10:10:00.000000000,1738721400000000000,601.5,601.6,601.5,601.5,52,24916,24919
2025-02-05 10:11:00.000000000,1738721460000000000,601.5,601.7,601.5,601.6,52,24919,24901
2025-02-05 10:12:00.000000000,1738721520000000000,601.6,602.0,601.6,601.9,215,24901,24868
