datetime,datetime_nano,SHFE.bu2308.open,SHFE.bu2308.high,SHFE.bu2308.low,SHFE.bu2308.close,SHFE.bu2308.volume,SHFE.bu2308.open_oi,SHFE.bu2308.close_oi
2023-05-31 21:00:00.000000000,1685538000000000000,3583,3583,3556,3571,9891,153163,153814
2023-05-31 21:01:00.000000000,1685538060000000000,3571,3577,3568,3574,4199,153814,153708
2023-05-31 21:02:00.000000000,1685538120000000000,3574,3582,3574,3577,2541,153708,154052
2023-05-31 21:03:00.000000000,1685538180000000000,3577,3581,3575,3577,1735,154052,153953
2023-05-31 21:04:00.000000000,1685538240000000000,3577,3579,3576,3579,1318,153953,153873
2023-05-31 21:05:00.000000000,1685538300000000000,3579,3580,3572,3572,1357,153873,153744
2023-05-31 21:06:00.000000000,1685538360000000000,3572,3579,3572,3578,1514,153744,154151
2023-05-31 21:07:00.000000000,1685538420000000000,3578,3587,3578,3585,2075,154151,153953
2023-05-31 21:08:00.000000000,1685538480000000000,3585,3586,3581,3586,1336,153953,154022
2023-05-31 21:09:00.000000000,1685538540000000000,3586,3588,3583,3586,1538,154022,153837
2023-05-31 21:10:00.000000000,1685538600000000000,3586,3588,3580,3587,1050,153837,153752
2023-05-31 21:11:00.000000000,1685538660000000000,3587,3593,3584,3593,1467,153752,153719
2023-05-31 21:12:00.000000000,1685538720000000000,3593,3597,3587,3596,1933,153719,153155
2023-05-31 21:13:00.000000000,1685538780000000000,3596,3599,3593,3596,1322,153155,152896
2023-05-31 21:14:00.000000000,1685538840000000000,3596,3602,3594,3600,1463,152896,152713
2023-05-31 21:15:00.000000000,1685538900000000000,3600,3603,3596,3602,1140,152713,152613
2023-05-31 21:16:00.000000000,1685538960000000000,3602,3606,3600,3605,1102,152613,152504
2023-05-31 21:17:00.000000000,1685539020000000000,3605,3609,3602,3608,916,152504,152683
2023-05-31 21:18:00.000000000,1685539080000000000,3608,3617,3607,3610,2036,152683,152304
2023-05-31 21:19:00.000000000,1685539140000000000,3610,3611,3605,3609,1379,152304,152203
2023-05-31 21:20:00.000000000,1685539200000000000,3609,3614,3608,3614,865,152203,152107
2023-05-31 21:21:00.000000000,1685539260000000000,3614,3615,3608,3614,969,152107,151985
2023-05-31 21:22:00.000000000,1685539320000000000,3614,3628,3614,3624,2842,151985,152050
2023-05-31 21:23:00.000000000,1685539380000000000,3624,3625,3617,3617,1206,152050,151821
2023-05-31 21:24:00.000000000,1685539440000000000,3617,3619,3614,3617,1152,151821,151886
2023-05-31 21:25:00.000000000,1685539500000000000,3617,3620,3614,3615,665,151886,151834
2023-05-31 21:26:00.000000000,1685539560000000000,3615,3616,3613,3613,547,151834,152007
2023-05-31 21:27:00.000000000,1685539620000000000,3613,3618,3613,3618,529,152007,152050
2023-05-31 21:28:00.000000000,1685539680000000000,3618,3621,3616,3620,528,152050,152055
2023-05-31 21:29:00.000000000,1685539740000000000,3620,3622,3617,3622,736,152055,152067
2023-05-31 21:30:00.000000000,1685539800000000000,3622,3623,3619,3621,704,152067,151961
2023-05-31 21:31:00.000000000,1685539860000000000,3621,3635,3621,3628,2917,151961,152012
2023-05-31 21:32:00.000000000,1685539920000000000,3628,3633,3627,3629,781,152012,151854
2023-05-31 21:33:00.000000000,1685539980000000000,3629,3629,3624,3628,816,151854,151945
