datetime,datetime_nano,SHFE.fu2501.open,SHFE.fu2501.high,SHFE.fu2501.low,SHFE.fu2501.close,SHFE.fu2501.volume,SHFE.fu2501.open_oi,SHFE.fu2501.close_oi
2024-10-31 21:00:00.000000000,1730379600000000000,3000,3007,2996,2998,12529,193140,192799
2024-10-31 21:01:00.000000000,1730379660000000000,2998,3000,2995,3000,5037,192799,192940
2024-10-31 21:02:00.000000000,1730379720000000000,3000,3002,2997,3002,3965,192940,193373
2024-10-31 21:03:00.000000000,1730379780000000000,3002,3005,3001,3005,4424,193373,193928
2024-10-31 21:04:00.000000000,1730379840000000000,3005,3008,3004,3007,4377,193928,193870
2024-10-31 21:05:00.000000000,1730379900000000000,3007,3007,3003,3003,2501,193870,193998
2024-10-31 21:06:00.000000000,1730379960000000000,3003,3005,3003,3005,1238,193998,194158
2024-10-31 21:07:00.000000000,1730380020000000000,3005,3007,3004,3006,2496,194158,194422
2024-10-31 21:08:00.000000000,1730380080000000000,3006,3006,3004,3005,1583,194422,194543
2024-10-31 21:09:00.000000000,1730380140000000000,3005,3006,3003,3005,2102,194543,194626
2024-10-31 21:10:00.000000000,1730380200000000000,3005,3006,3004,3005,2288,194626,194639
2024-10-31 21:11:00.000000000,1730380260000000000,3005,3006,3004,3004,1022,194639,194653
2024-10-31 21:12:00.000000000,1730380320000000000,3004,3005,3003,3003,1186,194653,194733
2024-10-31 21:13:00.000000000,1730380380000000000,3003,3003,3000,3000,3285,194733,194133
2024-10-31 21:14:00.000000000,1730380440000000000,3000,3001,2997,2999,3192,194133,194260
2024-10-31 21:15:00.000000000,1730380500000000000,2999,3000,2996,2996,2015,194260,194632
2024-10-31 21:16:00.000000000,1730380560000000000,2996,2998,2996,2997,2388,194632,194739
2024-10-31 21:17:00.000000000,1730380620000000000,2997,2999,2995,2995,3387,194739,195206
2024-10-31 21:18:00.000000000,1730380680000000000,2995,2998,2995,2997,1815,195206,195445
2024-10-31 21:19:00.000000000,1730380740000000000,2997,2998,2996,2996,1646,195445,195822
2024-10-31 21:20:00.000000000,1730380800000000000,2996,2998,2995,2996,1799,195822,196134
2024-10-31 21:21:00.000000000,1730380860000000000,2996,2998,2995,2996,1316,196134,196493
2024-10-31 21:22:00.000000000,1730380920000000000,2996,2996,2992,2993,2759,196493,196780
2024-10-31 21:23:00.000000000,1730380980000000000,2993,2994,2992,2994,2240,196780,196734
2024-10-31 21:24:00.000000000,1730381040000000000,2994,2994,2992,2993,1493,196734,196652
2024-10-31 21:25:00.000000000,1730381100000000000,2993,2995,2993,2994,1169,196652,196770
2024-10-31 21:26:00.000000000,1730381160000000000,2994,2995,2993,2994,1001,196770,196847
2024-10-31 21:27:00.000000000,1730381220000000000,2994,2995,2993,2994,931,196847,197051
2024-10-31 21:28:00.000000000,1730381280000000000,2994,2994,2991,2993,1759,197051,197338
2024-10-31 21:29:00.000000000,1730381340000000000,2993,2995,2992,2994,1112,197338,197362
2024-10-31 21:30:00.000000000,1730381400000000000,2994,2995,2992,2992,1699,197362,197620
