datetime,datetime_nano,SHFE.hc2405.open,SHFE.hc2405.high,SHFE.hc2405.low,SHFE.hc2405.close,SHFE.hc2405.volume,SHFE.hc2405.open_oi,SHFE.hc2405.close_oi
2024-02-29 21:00:00.000000000,1709211600000000000,3907,3914,3907,3914,6710,989265,989639
2024-02-29 21:01:00.000000000,1709211660000000000,3914,3915,3911,3911,2457,989639,989664
2024-02-29 21:02:00.000000000,1709211720000000000,3911,3915,3910,3915,1450,989664,989843
2024-02-29 21:03:00.000000000,1709211780000000000,3915,3916,3913,3915,2046,989843,990130
2024-02-29 21:04:00.000000000,1709211840000000000,3915,3917,3913,3916,1320,990130,990280
2024-02-29 21:05:00.000000000,1709211900000000000,3916,3919,3914,3918,2557,990280,990579
2024-02-29 21:06:00.000000000,1709211960000000000,3918,3918,3916,3917,1064,990579,990512
2024-02-29 21:07:00.000000000,1709212020000000000,3917,3917,3915,3917,789,990512,990599
2024-02-29 21:08:00.000000000,1709212080000000000,3917,3919,3916,3918,936,990599,990965
2024-02-29 21:09:00.000000000,1709212140000000000,3918,3919,3917,3918,683,990965,990923
2024-02-29 21:10:00.000000000,1709212200000000000,3918,3919,3915,3916,1096,990923,990966
2024-02-29 21:11:00.000000000,1709212260000000000,3916,3917,3915,3917,627,990966,990995
2024-02-29 21:12:00.000000000,1709212320000000000,3917,3920,3916,3919,1511,990995,991211
2024-02-29 21:13:00.000000000,1709212380000000000,3919,3920,3918,3919,807,991211,991279
2024-02-29 21:14:00.000000000,1709212440000000000,3919,3922,3918,3919,3689,991279,992537
2024-02-29 21:15:00.000000000,1709212500000000000,3919,3921,3919,3921,1045,992537,992532
2024-02-29 21:16:00.000000000,1709212560000000000,3921,3923,3920,3922,1092,992532,992657
2024-02-29 21:17:00.000000000,1709212620000000000,3922,3922,3919,3921,1104,992657,992905
2024-02-29 21:18:00.000000000,1709212680000000000,3921,3922,3920,3920,834,992905,992720
2024-02-29 21:19:00.000000000,1709212740000000000,3920,3922,3920,3921,1007,992720,992272
2024-02-29 21:20:00.000000000,1709212800000000000,3921,3924,3921,3923,1470,992272,992015
2024-02-29 21:21:00.000000000,1709212860000000000,3923,3923,3922,3923,491,992015,992007
2024-02-29 21:22:00.000000000,1709212920000000000,3923,3924,3922,3923,1249,992007,991619
2024-02-29 21:23:00.000000000,1709212980000000000,3923,3924,3922,3923,580,991619,991472
2024-02-29 21:24:00.000000000,1709213040000000000,3923,3923,3921,3921,654,991472,991329
2024-02-29 21:25:00.000000000,1709213100000000000,3921,3924,3921,3924,1796,991329,991622
2024-02-29 21:26:00.000000000,1709213160000000000,3924,3924,3922,3922,756,991622,991589
2024-02-29 21:27:00.000000000,1709213220000000000,3922,3925,3922,3925,776,991589,991672
2024-02-29 21:28:00.000000000,1709213280000000000,3925,3926,3924,3925,2044,991672,992403
2024-02-29 21:29:00.000000000,1709213340000000000,3925,3925,3924,3924,714,992403,992266
2024-02-29 21:30:00.000000000,1709213400000000000,3924,3926,3924,3926,1104,992266,992681
2024-02-29 21:31:00.000000000,1709213460000000000,3926,3931,3926,3930,4527,992681,992906
2024-02-29 21:32:00.000000000,1709213520000000000,3930,3932,3929,3930,2053,992906,992636
2024-02-29 21:33:00.000000000,1709213580000000000,3930,3931,3928,3928,1464,992636,992673
2024-02-29 21:34:00.000000000,1709213640000000000,3928,3933,3928,3933,2795,992673,992970
2024-02-29 21:35:00.000000000,1709213700000000000,3933,3933,3930,3930,1491,992970,993033
2024-02-29 21:36:00.000000000,1709213760000000000,3930,3931,3928,3929,1126,993033,993217
2024-02-29 21:37:00.000000000,1709213820000000000,3929,3929,3925,3926,1562,993217,993526
2024-02-29 21:38:00.000000000,1709213880000000000,3926,3927,3925,3927,618,993526,993499
2024-02-29 21:39:00.000000000,1709213940000000000,3927,3929,3927,3928,596,993499,993512
2024-02-29 21:40:00.000000000,1709214000000000000,3928,3929,3925,3926,764,993512,993542
2024-02-29 21:41:00.000000000,1709214060000000000,3926,3927,3926,3927,227,993542,993598
2024-02-29 21:42:00.000000000,1709214120000000000,3927,3927,3925,3926,466,993598,993454
2024-02-29 21:43:00.000000000,1709214180000000000,3926,3927,3925,3926,343,993454,993452
2024-02-29 21:44:00.000000000,1709214240000000000,3926,3928,3925,3927,379,993452,993497
2024-02-29 21:45:00.000000000,1709214300000000000,3927,3929,3927,3927,647,993497,993572
2024-02-29 21:46:00.000000000,1709214360000000000,3927,3929,3927,3928,492,993572,993770
2024-02-29 21:47:00.000000000,1709214420000000000,3928,3929,3928,3928,136,993770,993731
2024-02-29 21:48:00.000000000,1709214480000000000,3928,3929,3928,3929,211,993731,993688
2024-02-29 21:49:00.000000000,1709214540000000000,3929,3929,3927,3928,528,993688,993784
2024-02-29 21:50:00.000000000,1709214600000000000,3928,3929,3927,3928,147,993784,993747
2024-02-29 21:51:00.000000000,1709214660000000000,3928,3928,3927,3928,168,993747,993798
2024-02-29 21:52:00.000000000,1709214720000000000,3928,3929,3927,3929,284,993798,993863
2024-02-29 21:53:00.000000000,1709214780000000000,3929,3929,3927,3927,261,993863,993803
2024-02-29 21:54:00.000000000,1709214840000000000,3927,3928,3925,3926,519,993803,993706
2024-02-29 21:55:00.000000000,1709214900000000000,3926,3927,3926,3926,295,993706,993703
2024-02-29 21:56:00.000000000,1709214960000000000,3926,3927,3925,3925,276,993703,993657
2024-02-29 21:57:00.000000000,1709215020000000000,3925,3927,3925,3926,452,993657,993569
2024-02-29 21:58:00.000000000,1709215080000000000,3926,3926,3925,3926,224,993569,993543
2024-02-29 21:59:00.000000000,1709215140000000000,3926,3929,3925,3928,862,993543,993316
2024-02-29 22:00:00.000000000,1709215200000000000,3928,3929,3926,3927,554,993316,993405
2024-02-29 22:01:00.000000000,1709215260000000000,3927,3927,3925,3926,285,993405,993448
2024-02-29 22:02:00.000000000,1709215320000000000,3926,3926,3923,3923,941,993448,993227
2024-02-29 22:03:00.000000000,1709215380000000000,3923,3925,3923,3925,543,993227,993168
2024-02-29 22:04:00.000000000,1709215440000000000,3925,3925,3924,3925,240,993168,993082
2024-02-29 22:05:00.000000000,1709215500000000000,3925,3925,3924,3925,92,993082,993098
2024-02-29 22:06:00.000000000,1709215560000000000,3925,3925,3923,3924,344,993098,993125
2024-02-29 22:07:00.000000000,1709215620000000000,3924,3924,3923,3924,182,993125,993054
2024-02-29 22:08:00.000000000,1709215680000000000,3924,3925,3923,3925,253,993054,993002
2024-02-29 22:09:00.000000000,1709215740000000000,3925,3926,3924,3926,516,993002,992961
2024-02-29 22:10:00.000000000,1709215800000000000,3926,3926,3923,3924,302,992961,992767
2024-02-29 22:11:00.000000000,1709215860000000000,3924,3925,3923,3924,699,992767,992874
2024-02-29 22:12:00.000000000,1709215920000000000,3924,3925,3923,3924,74,992874,992885
2024-02-29 22:13:00.000000000,1709215980000000000,3924,3924,3923,3923,238,992885,992809
2024-02-29 22:14:00.000000000,1709216040000000000,3923,3924,3923,3924,185,992809,992742
2024-02-29 22:15:00.000000000,1709216100000000000,3924,3924,3921,3922,607,992742,992729
2024-02-29 22:16:00.000000000,1709216160000000000,3922,3923,3922,3923,343,992729,992687
2024-02-29 22:17:00.000000000,1709216220000000000,3923,3923,3921,3921,468,992687,992738
2024-02-29 22:18:00.000000000,1709216280000000000,3921,3924,3921,3923,579,992738,992662
2024-02-29 22:19:00.000000000,1709216340000000000,3923,3925,3923,3925,359,992662,992693
2024-02-29 22:20:00.000000000,1709216400000000000,3925,3925,3924,3924,390,992693,992580
2024-02-29 22:21:00.000000000,1709216460000000000,3924,3925,3923,3925,276,992580,992562
2024-02-29 22:22:00.000000000,1709216520000000000,3925,3925,3924,3925,97,992562,992560
2024-02-29 22:23:00.000000000,1709216580000000000,3925,3925,3924,3925,211,992560,992667
2024-02-29 22:24:00.000000000,1709216640000000000,3925,3926,3924,3925,352,992667,992610
2024-02-29 22:25:00.000000000,1709216700000000000,3925,3926,3924,3925,105,992610,992585
2024-02-29 22:26:00.000000000,1709216760000000000,3925,3927,3925,3927,332,992585,992653
2024-02-29 22:27:00.000000000,1709216820000000000,3927,3928,3926,3927,230,992653,992675
2024-02-29 22:28:00.000000000,1709216880000000000,3927,3928,3926,3928,307,992675,992695
2024-02-29 22:29:00.000000000,1709216940000000000,3928,3928,3926,3927,371,992695,992681
2024-02-29 22:30:00.000000000,1709217000000000000,3927,3928,3926,3926,178,992681,992734
2024-02-29 22:31:00.000000000,1709217060000000000,3926,3927,3925,3926,1225,992734,992542
2024-02-29 22:32:00.000000000,1709217120000000000,3926,3927,3925,3925,156,992542,992522
2024-02-29 22:33:00.000000000,1709217180000000000,3925,3926,3925,3926,135,992522,992456
2024-02-29 22:34:00.000000000,1709217240000000000,3926,3926,3924,3924,594,992456,992345
2024-02-29 22:35:00.000000000,1709217300000000000,3924,3925,3923,3924,240,992345,992375
2024-02-29 22:36:00.000000000,1709217360000000000,3924,3924,3921,3921,803,992375,992410
2024-02-29 22:37:00.000000000,1709217420000000000,3921,3924,3921,3923,388,992410,992348
2024-02-29 22:38:00.000000000,1709217480000000000,3923,3923,3921,3921,561,992348,992306
2024-02-29 22:39:00.000000000,1709217540000000000,3921,3924,3920,3923,827,992306,992443
2024-02-29 22:40:00.000000000,1709217600000000000,3923,3924,3923,3923,137,992443,992450
2024-02-29 22:41:00.000000000,1709217660000000000,3923,3924,3923,3924,254,992450,992493
2024-02-29 22:42:00.000000000,1709217720000000000,3924,3924,3922,3923,104,992493,992502
2024-02-29 22:43:00.000000000,1709217780000000000,3923,3924,3922,3924,148,992502,992443
2024-02-29 22:44:00.000000000,1709217840000000000,3924,3925,3923,3924,193,992443,992371
2024-02-29 22:45:00.000000000,1709217900000000000,3924,3924,3918,3919,1635,992371,992223
2024-02-29 22:46:00.000000000,1709217960000000000,3919,3920,3918,3919,377,992223,992078
2024-02-29 22:47:00.000000000,1709218020000000000,3919,3921,3918,3920,414,992078,992056
2024-02-29 22:48:00.000000000,1709218080000000000,3920,3921,3920,3920,336,992056,992037
2024-02-29 22:49:00.000000000,1709218140000000000,3920,3921,3919,3920,236,992037,992064
2024-02-29 22:50:00.000000000,1709218200000000000,3920,3923,3920,3922,550,992064,992054
2024-02-29 22:51:00.000000000,1709218260000000000,3922,3923,3921,3922,155,992054,992047
2024-02-29 22:52:00.000000000,1709218320000000000,3922,3922,3919,3919,253,992047,992100
2024-02-29 22:53:00.000000000,1709218380000000000,3919,3924,3919,3922,596,992100,992113
2024-02-29 22:54:00.000000000,1709218440000000000,3922,3922,3919,3920,424,992113,992040
2024-02-29 22:55:00.000000000,1709218500000000000,3920,3921,3919,3920,329,992040,992003
2024-02-29 22:56:00.000000000,1709218560000000000,3920,3921,3919,3920,794,992003,991969
2024-02-29 22:57:00.000000000,1709218620000000000,3920,3922,3919,3922,489,991969,991699
2024-02-29 22:58:00.000000000,1709218680000000000,3922,3923,3921,3921,765,991699,991317
2024-02-29 22:59:00.000000000,1709218740000000000,3921,3923,3921,3922,1182,991317,990969
2024-03-01 09:00:00.000000000,1709254800000000000,3925,3927,3923,3926,2309,990969,990999
2024-03-01 09:01:00.000000000,1709254860000000000,3926,3927,3923,3923,1297,990999,991135
2024-03-01 09:02:00.000000000,1709254920000000000,3923,3924,3921,3923,1942,991135,991828
2024-03-01 09:03:00.000000000,1709254980000000000,3923,3924,3923,3924,462,991828,991843
2024-03-01 09:04:00.000000000,1709255040000000000,3924,3925,3923,3924,372,991843,991757
2024-03-01 09:05:00.000000000,1709255100000000000,3924,3924,3922,3923,508,991757,991537
2024-03-01 09:06:00.000000000,1709255160000000000,3923,3925,3923,3924,496,991537,991450
2024-03-01 09:07:00.000000000,1709255220000000000,3924,3924,3923,3924,443,991450,991281
2024-03-01 09:08:00.000000000,1709255280000000000,3924,3926,3924,3926,556,991281,991312
2024-03-01 09:09:00.000000000,1709255340000000000,3926,3926,3922,3922,677,991312,991275
2024-03-01 09:10:00.000000000,1709255400000000000,3922,3923,3922,3922,275,991275,991231
2024-03-01 09:11:00.000000000,1709255460000000000,3922,3923,3919,3921,1015,991231,991335
2024-03-01 09:12:00.000000000,1709255520000000000,3921,3921,3919,3920,930,991335,991582
2024-03-01 09:13:00.000000000,1709255580000000000,3920,3921,3919,3921,658,991582,991527
2024-03-01 09:14:00.000000000,1709255640000000000,3921,3921,3918,3918,606,991527,991181
2024-03-01 09:15:00.000000000,1709255700000000000,3918,3920,3918,3919,818,991181,991122
2024-03-01 09:16:00.000000000,1709255760000000000,3919,3920,3919,3919,242,991122,991179
2024-03-01 09:17:00.000000000,1709255820000000000,3919,3920,3918,3918,571,991179,991444
2024-03-01 09:18:00.000000000,1709255880000000000,3918,3918,3916,3917,1231,991444,991346
2024-03-01 09:19:00.000000000,1709255940000000000,3917,3919,3917,3918,312,991346,991382
2024-03-01 09:20:00.000000000,1709256000000000000,3918,3920,3918,3919,462,991382,991283
2024-03-01 09:21:00.000000000,1709256060000000000,3919,3920,3919,3919,478,991283,991316
