datetime,datetime_nano,SHFE.rb2405.open,SHFE.rb2405.high,SHFE.rb2405.low,SHFE.rb2405.close,SHFE.rb2405.volume,SHFE.rb2405.open_oi,SHFE.rb2405.close_oi
2023-11-20 21:00:00.000000000,1700485200000000000,3978,3999,3978,3998,8132,681852,684141
2023-11-20 21:01:00.000000000,1700485260000000000,3998,4002,3997,3998,5242,684141,685102
2023-11-20 21:02:00.000000000,1700485320000000000,3998,4001,3997,3999,2490,685102,684963
2023-11-20 21:03:00.000000000,1700485380000000000,3999,4000,3996,3996,1641,684963,685110
2023-11-20 21:04:00.000000000,1700485440000000000,3996,3998,3993,3998,1126,685110,685262
2023-11-20 21:05:00.000000000,1700485500000000000,3998,4004,3997,4004,4016,685262,685494
2023-11-20 21:06:00.000000000,1700485560000000000,4004,4010,4002,4006,8926,685494,683361
2023-11-20 21:07:00.000000000,1700485620000000000,4006,4010,4005,4008,2206,683361,683115
2023-11-20 21:08:00.000000000,1700485680000000000,4008,4010,4006,4007,2639,683115,683427
2023-11-20 21:09:00.000000000,1700485740000000000,4007,4011,4007,4009,2181,683427,683700
2023-11-20 21:10:00.000000000,1700485800000000000,4009,4011,4007,4010,2456,683700,684289
2023-11-20 21:11:00.000000000,1700485860000000000,4010,4012,4008,4009,1253,684289,684243
2023-11-20 21:12:00.000000000,1700485920000000000,4009,4010,4007,4007,1311,684243,684250
2023-11-20 21:13:00.000000000,1700485980000000000,4007,4009,4007,4009,877,684250,684498
2023-11-20 21:14:00.000000000,1700486040000000000,4009,4010,4007,4008,1655,684498,685627
2023-11-20 21:15:00.000000000,1700486100000000000,4008,4010,4007,4008,740,685627,685794
2023-11-20 21:16:00.000000000,1700486160000000000,4008,4009,4007,4008,588,685794,685702
2023-11-20 21:17:00.000000000,1700486220000000000,4008,4009,4005,4006,941,685702,686064
2023-11-20 21:18:00.000000000,1700486280000000000,4006,4007,4004,4004,1127,686064,685935
2023-11-20 21:19:00.000000000,1700486340000000000,4004,4009,4004,4007,1044,685935,686090
2023-11-20 21:20:00.000000000,1700486400000000000,4007,4010,4007,4010,1248,686090,686964
2023-11-20 21:21:00.000000000,1700486460000000000,4010,4010,4007,4008,592,686964,687267
2023-11-20 21:22:00.000000000,1700486520000000000,4008,4009,4005,4006,939,687267,687352
2023-11-20 21:23:00.000000000,1700486580000000000,4006,4008,4006,4007,405,687352,687306
2023-11-20 21:24:00.000000000,1700486640000000000,4007,4007,4003,4004,796,687306,687246
2023-11-20 21:25:00.000000000,1700486700000000000,4004,4005,4003,4004,720,687246,687175
2023-11-20 21:26:00.000000000,1700486760000000000,4004,4007,4003,4007,1293,687175,687086
2023-11-20 21:27:00.000000000,1700486820000000000,4007,4007,4005,4006,153,687086,687068
2023-11-20 21:28:00.000000000,1700486880000000000,4006,4008,4005,4006,1202,687068,687337
2023-11-20 21:29:00.000000000,1700486940000000000,4006,4006,4003,4004,754,687337,687302
2023-11-20 21:30:00.000000000,1700487000000000000,4004,4007,4003,4006,458,687302,687367
2023-11-20 21:31:00.000000000,1700487060000000000,4006,4006,4003,4004,457,687367,687359
2023-11-20 21:32:00.000000000,1700487120000000000,4004,4007,4004,4005,808,687359,687458
2023-11-20 21:33:00.000000000,1700487180000000000,4005,4008,4002,4004,2710,687458,686875
2023-11-20 21:34:00.000000000,1700487240000000000,4004,4004,4001,4002,1200,686875,687077
2023-11-20 21:35:00.000000000,1700487300000000000,4002,4003,4001,4002,593,687077,686974
2023-11-20 21:36:00.000000000,1700487360000000000,4002,4003,4002,4002,366,686974,686960
2023-11-20 21:37:00.000000000,1700487420000000000,4002,4003,4001,4001,353,686960,686863
2023-11-20 21:38:00.000000000,1700487480000000000,4001,4002,4001,4001,205,686863,686862
2023-11-20 21:39:00.000000000,1700487540000000000,4001,4005,4001,4004,779,686862,686970
2023-11-20 21:40:00.000000000,1700487600000000000,4004,4005,4003,4004,609,686970,687137
2023-11-20 21:41:00.000000000,1700487660000000000,4004,4006,4004,4005,626,687137,687327
2023-11-20 21:42:00.000000000,1700487720000000000,4005,4006,4003,4004,829,687327,687773
2023-11-20 21:43:00.000000000,1700487780000000000,4004,4006,4002,4004,687,687773,687859
2023-11-20 21:44:00.000000000,1700487840000000000,4004,4007,4003,4005,865,687859,687999
2023-11-20 21:45:00.000000000,1700487900000000000,4005,4008,4004,4005,628,687999,688223
2023-11-20 21:46:00.000000000,1700487960000000000,4005,4006,4004,4005,901,688223,688780
2023-11-20 21:47:00.000000000,1700488020000000000,4005,4005,4004,4005,330,688780,688843
2023-11-20 21:48:00.000000000,1700488080000000000,4005,4005,4004,4005,490,688843,689144
2023-11-20 21:49:00.000000000,1700488140000000000,4005,4006,4004,4005,151,689144,689151
2023-11-20 21:50:00.000000000,1700488200000000000,4005,4007,4005,4006,171,689151,689190
2023-11-20 21:51:00.000000000,1700488260000000000,4006,4008,4005,4008,1257,689190,689896
2023-11-20 21:52:00.000000000,1700488320000000000,4008,4008,4007,4007,301,689896,689848
2023-11-20 21:53:00.000000000,1700488380000000000,4007,4007,4005,4005,835,689848,690184
2023-11-20 21:54:00.000000000,1700488440000000000,4005,4008,4005,4007,117,690184,690184
2023-11-20 21:55:00.000000000,1700488500000000000,4007,4009,4006,4008,625,690184,690265
2023-11-20 21:56:00.000000000,1700488560000000000,4008,4008,4005,4005,467,690265,690353
2023-11-20 21:57:00.000000000,1700488620000000000,4005,4006,4002,4004,786,690353,690850
2023-11-20 21:58:00.000000000,1700488680000000000,4004,4005,4002,4003,240,690850,690839
2023-11-20 21:59:00.000000000,1700488740000000000,4003,4006,4003,4005,567,690839,691149
2023-11-20 22:00:00.000000000,1700488800000000000,4005,4006,4004,4004,240,691149,691200
2023-11-20 22:01:00.000000000,1700488860000000000,4004,4005,4003,4004,247,691200,691120
2023-11-20 22:02:00.000000000,1700488920000000000,4004,4004,4001,4001,1519,691120,690372
2023-11-20 22:03:00.000000000,1700488980000000000,4001,4002,3998,4000,798,690372,690113
2023-11-20 22:04:00.000000000,1700489040000000000,4000,4000,3997,3998,1440,690113,690133
2023-11-20 22:05:00.000000000,1700489100000000000,3998,4002,3997,4002,1474,690133,689765
2023-11-20 22:06:00.000000000,1700489160000000000,4002,4002,4000,4002,895,689765,689724
2023-11-20 22:07:00.000000000,1700489220000000000,4002,4002,3999,4001,772,689724,689850
2023-11-20 22:08:00.000000000,1700489280000000000,4001,4004,4001,4002,302,689850,689940
2023-11-20 22:09:00.000000000,1700489340000000000,4002,4004,4001,4004,231,689940,689929
2023-11-20 22:10:00.000000000,1700489400000000000,4004,4005,4003,4005,779,689929,690026
2023-11-20 22:11:00.000000000,1700489460000000000,4005,4005,4001,4004,940,690026,689855
2023-11-20 22:12:00.000000000,1700489520000000000,4004,4005,4003,4004,633,689855,690101
2023-11-20 22:13:00.000000000,1700489580000000000,4004,4005,4003,4005,373,690101,690067
2023-11-20 22:14:00.000000000,1700489640000000000,4005,4005,4003,4004,233,690067,690045
2023-11-20 22:15:00.000000000,1700489700000000000,4004,4005,4003,4003,54,690045,690053
2023-11-20 22:16:00.000000000,1700489760000000000,4003,4005,4002,4003,364,690053,690058
2023-11-20 22:17:00.000000000,1700489820000000000,4003,4006,4002,4005,308,690058,690099
2023-11-20 22:18:00.000000000,1700489880000000000,4005,4006,4003,4004,285,690099,690128
2023-11-20 22:19:00.000000000,1700489940000000000,4004,4006,4004,4005,144,690128,690102
2023-11-20 22:20:00.000000000,1700490000000000000,4005,4006,4003,4003,292,690102,690123
2023-11-20 22:21:00.000000000,1700490060000000000,4003,4004,4001,4001,640,690123,690465
2023-11-20 22:22:00.000000000,1700490120000000000,4001,4003,4000,4001,249,690465,690427
2023-11-20 22:23:00.000000000,1700490180000000000,4001,4004,4001,4003,140,690427,690441
2023-11-20 22:24:00.000000000,1700490240000000000,4003,4005,4002,4005,62,690441,690459
2023-11-20 22:25:00.000000000,1700490300000000000,4005,4006,4004,4006,757,690459,690747
2023-11-20 22:26:00.000000000,1700490360000000000,4006,4007,4004,4006,1576,690747,691375
2023-11-20 22:27:00.000000000,1700490420000000000,4006,4006,4004,4005,84,691375,691399
2023-11-20 22:28:00.000000000,1700490480000000000,4005,4006,4004,4005,242,691399,691507
2023-11-20 22:29:00.000000000,1700490540000000000,4005,4006,4004,4004,115,691507,691505
2023-11-20 22:30:00.000000000,1700490600000000000,4004,4004,4002,4002,127,691505,691585
2023-11-20 22:31:00.000000000,1700490660000000000,4002,4005,4002,4005,278,691585,691535
2023-11-20 22:32:00.000000000,1700490720000000000,4005,4006,4003,4004,193,691535,691591
2023-11-20 22:33:00.000000000,1700490780000000000,4004,4004,4001,4001,194,691591,691707
2023-11-20 22:34:00.000000000,1700490840000000000,4001,4005,4001,4002,806,691707,692025
2023-11-20 22:35:00.000000000,1700490900000000000,4002,4004,4002,4002,101,692025,692090
2023-11-20 22:36:00.000000000,1700490960000000000,4002,4003,3999,4001,442,692090,692202
2023-11-20 22:37:00.000000000,1700491020000000000,4001,4003,4001,4002,165,692202,692241
2023-11-20 22:38:00.000000000,1700491080000000000,4002,4003,4001,4002,310,692241,692298
2023-11-20 22:39:00.000000000,1700491140000000000,4002,4008,4002,4006,2236,692298,692124
2023-11-20 22:40:00.000000000,1700491200000000000,4006,4007,4004,4004,236,692124,692176
2023-11-20 22:41:00.000000000,1700491260000000000,4004,4006,4004,4005,144,692176,692247
2023-11-20 22:42:00.000000000,1700491320000000000,4005,4008,4005,4007,815,692247,692690
2023-11-20 22:43:00.000000000,1700491380000000000,4007,4009,4006,4006,211,692690,692761
2023-11-20 22:44:00.000000000,1700491440000000000,4006,4009,4006,4008,402,692761,692764
2023-11-20 22:45:00.000000000,1700491500000000000,4008,4010,4007,4007,959,692764,692544
2023-11-20 22:46:00.000000000,1700491560000000000,4007,4010,4007,4009,758,692544,692603
2023-11-20 22:47:00.000000000,1700491620000000000,4009,4012,4008,4012,1882,692603,693245
2023-11-20 22:48:00.000000000,1700491680000000000,4012,4013,4011,4012,2625,693245,695336
2023-11-20 22:49:00.000000000,1700491740000000000,4012,4014,4010,4014,1389,695336,695719
2023-11-20 22:50:00.000000000,1700491800000000000,4014,4015,4012,4013,1201,695719,696368
2023-11-20 22:51:00.000000000,1700491860000000000,4013,4015,4013,4014,596,696368,696570
2023-11-20 22:52:00.000000000,1700491920000000000,4014,4014,4010,4011,583,696570,696526
2023-11-20 22:53:00.000000000,1700491980000000000,4011,4015,4011,4015,606,696526,696364
2023-11-20 22:54:00.000000000,1700492040000000000,4015,4015,4013,4015,792,696364,696674
2023-11-20 22:55:00.000000000,1700492100000000000,4015,4015,4011,4012,521,696674,696655
2023-11-20 22:56:00.000000000,1700492160000000000,4012,4015,4012,4014,989,696655,696617
2023-11-20 22:57:00.000000000,1700492220000000000,4014,4015,4012,4012,627,696617,696469
2023-11-20 22:58:00.000000000,1700492280000000000,4012,4014,4011,4012,1397,696469,696511
2023-11-20 22:59:00.000000000,1700492340000000000,4012,4015,4012,4015,1416,696511,696620
2023-11-21 09:00:00.000000000,1700528400000000000,4015,4016,4007,4010,4850,696620,694721
2023-11-21 09:01:00.000000000,1700528460000000000,4010,4015,4009,4012,2107,694721,693859
2023-11-21 09:02:00.000000000,1700528520000000000,4012,4014,4011,4013,1418,693859,693665
2023-11-21 09:03:00.000000000,1700528580000000000,4013,4013,4007,4010,1240,693665,693140
2023-11-21 09:04:00.000000000,1700528640000000000,4010,4010,4004,4004,726,693140,693016
2023-11-21 09:05:00.000000000,1700528700000000000,4004,4007,4001,4002,1501,693016,692597
2023-11-21 09:06:00.000000000,1700528760000000000,4002,4004,4001,4004,1178,692597,692409
