product,window_start,product_listed_date,effective_1d_start,note
a,2020-01-02,2002-03-15,2020-01-02,full_window_from_2020
ag,2020-01-02,2012-05-10,2020-01-02,full_window_from_2020
al,2020-01-02,1999-01-04,2020-01-02,full_window_from_2020
ap,2020-01-02,2017-12-22,2020-01-02,full_window_from_2020
au,2020-01-02,2008-01-09,2020-01-02,full_window_from_2020
b,2020-01-02,2004-12-22,2020-01-02,full_window_from_2020
bb,2020-01-02,2013-12-06,2020-01-02,full_window_from_2020
bu,2020-01-02,2013-10-09,2020-01-02,full_window_from_2020
c,2020-01-02,2004-09-22,2020-01-02,full_window_from_2020
cf,2020-01-02,2004-06-01,2020-01-02,full_window_from_2020
cj,2020-01-02,2019-04-30,2020-01-02,full_window_from_2020
cs,2020-01-02,2014-12-19,2020-01-02,full_window_from_2020
cu,2020-01-02,1999-01-04,2020-01-02,full_window_from_2020
cy,2020-01-02,2017-08-18,2020-01-02,full_window_from_2020
eb,2020-01-02,2019-09-26,2020-01-02,full_window_from_2020
eg,2020-01-02,2018-12-10,2020-01-02,full_window_from_2020
fb,2020-01-02,2013-12-06,2020-01-02,full_window_from_2020
fg,2020-01-02,2012-12-03,2020-01-02,full_window_from_2020
fu,2020-01-02,2004-08-25,2020-01-02,full_window_from_2020
hc,2020-01-02,2014-03-21,2020-01-02,full_window_from_2020
i,2020-01-02,2013-10-18,2020-01-02,full_window_from_2020
ic,2020-01-02,2015-04-16,2020-01-02,full_window_from_2020
if,2020-01-02,2010-04-16,2020-01-02,full_window_from_2020
ih,2020-01-02,2015-04-16,2020-01-02,full_window_from_2020
j,2020-01-02,2011-04-15,2020-01-02,full_window_from_2020
jd,2020-01-02,2013-11-08,2020-01-02,full_window_from_2020
jm,2020-01-02,2013-03-22,2020-01-02,full_window_from_2020
jr,2020-01-02,2013-11-18,2020-01-02,full_window_from_2020
l,2020-01-02,2007-07-31,2020-01-02,full_window_from_2020
m,2020-01-02,2000-07-17,2020-01-02,full_window_from_2020
ma,2020-01-02,2014-06-17,2020-01-02,full_window_from_2020
ni,2020-01-02,2015-03-27,2020-01-02,full_window_from_2020
nr,2020-01-02,2019-08-12,2020-01-02,full_window_from_2020
oi,2020-01-02,2012-07-16,2020-01-02,full_window_from_2020
p,2020-01-02,2007-10-29,2020-01-02,full_window_from_2020
pb,2020-01-02,2011-03-24,2020-01-02,full_window_from_2020
pm,2020-01-02,2012-01-17,2020-01-02,full_window_from_2020
pp,2020-01-02,2014-02-28,2020-01-02,full_window_from_2020
rb,2020-01-02,2009-03-27,2020-01-02,full_window_from_2020
