product,sector
a,agriculture
ag,precious
al,nonferrous
ao,nonferrous
ap,agriculture
au,precious
b,agriculture
bu,energy
bz,chemical
c,agriculture
cf,agriculture
cj,agriculture
cu,nonferrous
eb,chemical
ec,other
eg,chemical
fg,building
fu,energy
hc,steel
i,black
j,black
jd,agriculture
jm,black
l,chemical
lc,new_energy
lh,agriculture
m,agriculture
ma,chemical
ni,nonferrous
oi,agriculture
p,agriculture
pb,nonferrous
pd,precious
pf,chemical
pg,energy
pk,agriculture
pl,chemical
pp,chemical
pr,chemical
ps,new_energy
pt,precious
px,chemical
rb,steel
rm,agriculture
rs,agriculture
ru,chemical
sa,building
sc,energy
sf,black
sh,chemical
si,new_energy
sm,black
sn,nonferrous
sr,agriculture
ss,steel
ta,chemical
ur,chemical
v,chemical
y,agriculture
zn,nonferrous
