product,window_start,note
a,2002-03-15,rq_or_listing_start
ag,2012-05-10,rq_or_listing_start
al,1999-01-04,rq_or_listing_start
ao,2023-06-19,rq_or_listing_start
ap,2017-12-22,rq_or_listing_start
au,2008-01-09,rq_or_listing_start
b,2004-12-22,rq_or_listing_start
br,2023-07-28,rq_or_listing_start
bu,2013-10-09,rq_or_listing_start
bz,2025-07-08,rq_or_listing_start
c,2004-09-22,rq_or_listing_start
cf,2004-06-01,rq_or_listing_start
cj,2019-04-30,rq_or_listing_start
cs,2014-12-19,rq_or_listing_start
cu,1999-01-04,rq_or_listing_start
eb,2019-09-26,rq_or_listing_start
ec,2023-08-18,rq_or_listing_start
eg,2018-12-10,rq_or_listing_start
fg,2012-12-03,rq_or_listing_start
fu,2004-08-25,rq_or_listing_start
hc,2014-03-21,rq_or_listing_start
i,2013-10-18,rq_or_listing_start
ic,2015-04-16,rq_or_listing_start
if,2010-04-16,rq_or_listing_start
ih,2015-04-16,rq_or_listing_start
im,2022-07-22,rq_or_listing_start
j,2011-04-15,rq_or_listing_start
jd,2013-11-08,rq_or_listing_start
jm,2013-03-22,rq_or_listing_start
l,2007-07-31,rq_or_listing_start
lc,2023-07-21,rq_or_listing_start
lh,2021-01-08,rq_or_listing_start
lu,2020-06-22,rq_or_listing_start
m,2000-07-17,rq_or_listing_start
ma,2014-06-17,rq_or_listing_start
ni,2015-03-27,rq_or_listing_start
nr,2019-08-12,rq_or_listing_start
oi,2012-07-16,rq_or_listing_start
p,2007-10-29,rq_or_listing_start
pb,2011-03-24,rq_or_listing_start
pd,2025-11-27,rq_or_listing_start
pf,2020-10-12,rq_or_listing_start
pg,2020-03-30,rq_or_listing_start
pk,2021-02-01,rq_or_listing_start
pl,2025-07-22,rq_or_listing_start
pp,2014-02-28,rq_or_listing_start
pr,2024-08-30,rq_or_listing_start
ps,2024-12-26,rq_or_listing_start
pt,2025-11-27,rq_or_listing_start
px,2023-09-15,rq_or_listing_start
rb,2009-03-27,rq_or_listing_start
rm,2012-12-28,rq_or_listing_start
rs,2012-12-28,rq_or_listing_start
ru,1999-01-04,rq_or_listing_start
sa,2019-12-06,rq_or_listing_start
sc,2018-03-26,rq_or_listing_start
sf,2014-08-08,rq_or_listing_start
sh,2023-09-15,rq_or_listing_start
si,2022-12-22,rq_or_listing_start
sm,2014-08-08,rq_or_listing_start
sn,2015-03-27,rq_or_listing_start
sp,2018-11-27,rq_or_listing_start
sr,2006-01-06,rq_or_listing_start
ss,2019-09-25,rq_or_listing_start
ta,2006-12-18,rq_or_listing_start
ur,2019-08-09,rq_or_listing_start
v,2009-05-25,rq_or_listing_start
y,2006-01-09,rq_or_listing_start
zn,2007-03-26,rq_or_listing_start
