product,contract,plan_status,reason,through,dataset,year,month,expected_start,expected_end,expected_bar_count,missing_start,missing_end,missing_bar_count
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,4,2022-04-19T07:00:00+00:00,2022-04-29T07:00:00+00:00,9,2022-04-19T07:00:00+00:00,2022-04-29T07:00:00+00:00,9
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,5,2022-05-05T07:00:00+00:00,2022-05-31T07:00:00+00:00,19,2022-05-05T07:00:00+00:00,2022-05-31T07:00:00+00:00,19
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,6,2022-06-01T07:00:00+00:00,2022-06-30T07:00:00+00:00,21,2022-06-01T07:00:00+00:00,2022-06-30T07:00:00+00:00,21
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,7,2022-07-01T07:00:00+00:00,2022-07-29T07:00:00+00:00,21,2022-07-01T07:00:00+00:00,2022-07-29T07:00:00+00:00,21
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,8,2022-08-01T07:00:00+00:00,2022-08-31T07:00:00+00:00,23,2022-08-01T07:00:00+00:00,2022-08-31T07:00:00+00:00,23
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,9,2022-09-01T07:00:00+00:00,2022-09-30T07:00:00+00:00,21,2022-09-01T07:00:00+00:00,2022-09-30T07:00:00+00:00,21
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,10,2022-10-10T07:00:00+00:00,2022-10-31T07:00:00+00:00,16,2022-10-10T07:00:00+00:00,2022-10-31T07:00:00+00:00,16
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,11,2022-11-01T07:00:00+00:00,2022-11-30T07:00:00+00:00,22,2022-11-01T07:00:00+00:00,2022-11-30T07:00:00+00:00,22
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2022,12,2022-12-01T07:00:00+00:00,2022-12-30T07:00:00+00:00,22,2022-12-01T07:00:00+00:00,2022-12-30T07:00:00+00:00,22
PF,PF2304,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-03-09,"[""contract"", ""pf"", ""PF2304"", ""1d""]",2023,1,2023-01-03T07:00:00+00:00,2023-01-31T07:00:00+00:00,16,2023-01-03T07:00:00+00:00,2023-01-31T07:00:00+00:00,16
