product,contract,required_through,first_source_exception_date,reason
CJ,CJ2305,2023-04-17,2022-05-20,SOURCE_NONPOSITIVE_PRICE
CJ,CJ2309,2023-08-07,2022-09-30,SOURCE_NONPOSITIVE_PRICE
PF,PF2302,2023-01-06,2022-03-04,SOURCE_NONPOSITIVE_PRICE
PF,PF2303,2023-02-07,2022-03-25,SOURCE_NONPOSITIVE_PRICE
PF,PF2308,2023-07-04,2022-08-19,SOURCE_NONPOSITIVE_PRICE
PF,PF2311,2023-10-09,2022-11-25,SOURCE_NONPOSITIVE_PRICE
PF,PF2405,2024-04-03,2023-05-26,SOURCE_NONPOSITIVE_PRICE
PF,PF2406,2024-05-08,2023-07-07,SOURCE_NONPOSITIVE_PRICE
PF,PF2409,2024-07-17,2023-09-22,SOURCE_NONPOSITIVE_PRICE
PF,PF2504,2025-03-06,2024-04-26,SOURCE_NONPOSITIVE_PRICE
PF,PF2508,2025-07-14,2024-08-16,SOURCE_NONPOSITIVE_PRICE
PF,PF2512,2025-11-11,2024-12-27,SOURCE_NONPOSITIVE_PRICE
PF,PF2603,2026-02-04,2025-03-28,SOURCE_NONPOSITIVE_PRICE
PR,PR2510,2025-08-13,2024-11-01,SOURCE_NONPOSITIVE_PRICE
PX,PX2501,2024-12-19,2024-01-19,SOURCE_NONPOSITIVE_PRICE
RS,RS2311,2023-06-14,2022-12-09,SOURCE_NONPOSITIVE_PRICE
RS,RS2309,2023-06-28,2022-09-23,SOURCE_NONPOSITIVE_PRICE
RS,RS2311,2023-11-01,2022-12-09,SOURCE_NONPOSITIVE_PRICE
RS,RS2407,2023-11-27,2023-07-21,SOURCE_NONPOSITIVE_PRICE
RS,RS2407,2023-12-22,2023-07-21,SOURCE_NONPOSITIVE_PRICE
RS,RS2409,2023-12-29,2023-10-13,SOURCE_NONPOSITIVE_PRICE
RS,RS2409,2024-01-30,2023-10-13,SOURCE_NONPOSITIVE_PRICE
RS,RS2409,2024-02-20,2023-10-13,SOURCE_NONPOSITIVE_PRICE
RS,RS2407,2024-02-23,2023-07-21,SOURCE_NONPOSITIVE_PRICE
RS,RS2411,2024-11-04,2023-12-29,SOURCE_NONPOSITIVE_PRICE
RS,RS2507,2025-07-01,2024-07-26,SOURCE_NONPOSITIVE_PRICE
RS,RS2509,2025-09-02,2024-10-25,SOURCE_NONPOSITIVE_PRICE
RS,RS2511,2025-11-13,2024-11-22,SOURCE_NONPOSITIVE_PRICE
RS,RS2608,2025-11-17,2025-09-12,SOURCE_NONPOSITIVE_PRICE
RS,RS2607,2025-11-21,2025-07-18,SOURCE_NONPOSITIVE_PRICE
RS,RS2607,2025-12-31,2025-07-18,SOURCE_NONPOSITIVE_PRICE
RS,RS2607,2026-01-29,2025-07-18,SOURCE_NONPOSITIVE_PRICE
SF,SF2303,2023-02-03,2022-03-18,SOURCE_NONPOSITIVE_PRICE
SF,SF2311,2023-10-10,2022-11-18,SOURCE_NONPOSITIVE_PRICE
SF,SF2405,2024-04-16,2023-05-19,SOURCE_NONPOSITIVE_PRICE
SF,SF2507,2025-06-05,2024-07-19,SOURCE_NONPOSITIVE_PRICE
SM,SM2305,2023-04-14,2022-05-27,SOURCE_NONPOSITIVE_PRICE
SM,SM2306,2023-05-15,2022-06-24,SOURCE_NONPOSITIVE_PRICE
SM,SM2402,2024-01-02,2023-03-10,SOURCE_NONPOSITIVE_PRICE
SR,SR2303,2023-02-01,2022-03-18,SOURCE_NONPOSITIVE_PRICE
