product,strategy,status,reason,contract,trading_day
CJ,trend,SOURCE_EXCEPTION,SOURCE_NONPOSITIVE_PRICE,CJ2305,2022-05-20
CJ,oscillation,SOURCE_EXCEPTION,SOURCE_NONPOSITIVE_PRICE,CJ2305,2022-05-20
CJ,main_rise,SOURCE_EXCEPTION,SOURCE_NONPOSITIVE_PRICE,CJ2305,2022-05-20
OI,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,OI2611,2025-11-28
OI,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,OI2611,2025-11-28
OI,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,OI2611,2025-11-28
PF,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PF2304,2022-04-22
PF,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PF2304,2022-04-22
PF,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PF2304,2022-04-22
PK,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PK2411,2023-11-17
PK,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PK2411,2023-11-17
PK,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PK2411,2023-11-17
PL,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PL2603,2025-07-25
PL,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PL2603,2025-07-25
PL,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PL2603,2025-07-25
PR,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PR2506,2024-08-30
PR,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PR2506,2024-08-30
PR,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PR2506,2024-08-30
PX,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PX2505,2024-05-24
PX,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PX2505,2024-05-24
PX,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,PX2505,2024-05-24
RS,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,RS2609,2025-09-30
RS,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,RS2609,2025-09-30
RS,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,RS2609,2025-09-30
SF,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SF2306,2022-06-17
SF,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SF2306,2022-06-17
SF,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SF2306,2022-06-17
SH,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SH2501,2024-01-19
SH,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SH2501,2024-01-19
SH,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SH2501,2024-01-19
SM,trend,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SM2310,2022-10-28
SM,oscillation,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SM2310,2022-10-28
SM,main_rise,DATA_UNAVAILABLE,REPLAY_ENDPOINTS_MISSING,SM2310,2022-10-28
SR,trend,SOURCE_EXCEPTION,SOURCE_NONPOSITIVE_PRICE,SR2303,2022-03-18
SR,oscillation,SOURCE_EXCEPTION,SOURCE_NONPOSITIVE_PRICE,SR2303,2022-03-18
SR,main_rise,SOURCE_EXCEPTION,SOURCE_NONPOSITIVE_PRICE,SR2303,2022-03-18
