product,contract,week_end,issue,pre_first_owner,fields,details
OI,OI2611,2025-11-21,PROVEN_QUALITY_INTERRUPTION,True,,"{""week_end"": ""2025-11-21"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""PROVEN_QUALITY_INTERRUPTION"", ""stored_values"": null, ""quality_facts"": [{""day"": ""2025-11-17"", ""classification"": ""NONPOSITIVE_CLOSE""}, {""day"": ""2025-11-18"", ""classification"": ""NONPOSITIVE_CLOSE""}, {""day"": ""2025-11-21"", ""classification"": ""NONPOSITIVE_CLOSE""}]}"
OI,OI2611,2025-11-28,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2025-11-28"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2025-12-05,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2025-12-05"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2025-12-12,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2025-12-12"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2025-12-19,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2025-12-19"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2025-12-26,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2025-12-26"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2025-12-31,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2025-12-31"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 3, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-01-09,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-01-09"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-01-16,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-01-16"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-01-23,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-01-23"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-01-30,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-01-30"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-02-06,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-02-06"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-02-13,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-02-13"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-02-27,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-02-27"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 4, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-03-06,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-03-06"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-03-13,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-03-13"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-03-20,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-03-20"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-03-27,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-03-27"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-03,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-03"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-10,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-10"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 4, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-17,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-17"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-24,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-24"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-04-30,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-04-30"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 4, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-08,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-08"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 3, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-15,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-15"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-22,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-22"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-05-29,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-05-29"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-06-05,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-06-05"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
OI,OI2611,2026-06-12,W1_MISSING_D1_COMPLETE,True,,"{""week_end"": ""2026-06-12"", ""stored_weekly"": false, ""pre_first_owner"": true, ""kind"": ""W1_MISSING_D1_COMPLETE"", ""no_trade_days"": [], ""daily_count"": 5, ""missing_week_type"": ""NORMAL""}"
